Utility ID,Utility Name,Parent Company
50123,"Leeward Asset Management, LLC",Duke Energy Corp.
3046,Duke Energy Progress - (NC),Duke Energy Corp.
15470,"Duke Energy Indiana, LLC",Duke Energy Corp.
814,Entergy Arkansas LLC,Entergy Corp.
12685,Entergy Mississippi LLC,Entergy Corp.
6452,Florida Power & Light Co,"NextEra Energy, Inc."
5248,Dominion Energy Inc.,Dominion Energy
195,Alabama Power Co,Southern Co.
12686,Mississippi Power Co,Southern Co.
7140,Georgia Power Co,Southern Co.
17539,"Dominion Energy South Carolina, Inc",Dominion Energy
5517,Dynegy Midwest Generation Inc,Vistra Corp.
55937,Entergy Texas Inc.,Entergy Corp.
15466,Public Service Co of Colorado,"Xcel Energy, Inc."
58468,Dominion Renewable Energy,Dominion Energy
13781,Northern States Power Co - Minnesota,"Xcel Energy, Inc."
12341,MidAmerican Energy Co,"Berkshire Hathaway, Inc."
17698,Southwestern Electric Power Co,"American Electric Power Co., Inc."
5416,"Duke Energy Carolinas, LLC",Duke Energy Corp.
11241,Entergy Louisiana LLC,Entergy Corp.
6455,"Duke Energy Florida, LLC",Duke Energy Corp.
17166,Sierra Pacific Power Co,"Berkshire Hathaway, Inc."
14354,PacifiCorp,"Berkshire Hathaway, Inc."
13407,Nevada Power Co,"Berkshire Hathaway, Inc."
5504,Vistra Corp,Vistra Corp.
15474,Public Service Co of Oklahoma,"American Electric Power Co., Inc."
55983,Luminant Generation Company LLC,Vistra Corp.
17718,Southwestern Public Service Co,"Xcel Energy, Inc."
9324,Indiana Michigan Power Co,"American Electric Power Co., Inc."
733,Appalachian Power Co,"American Electric Power Co., Inc."
49963,"FPL Energy Operating Services, Inc.","NextEra Energy, Inc."
19876,Virginia Electric & Power Co,Dominion Energy
13478,"Entergy New Orleans, LLC",Entergy Corp.
520,Illinois Power Generating Co,Vistra Corp.
60571,"AEP Onsite Partners, LLC","American Electric Power Co., Inc."
22053,Kentucky Power Co,"American Electric Power Co., Inc."
17650,Southern Power Co,Southern Co.
61905,Oleander Holdings LLC,"NextEra Energy, Inc."
3542,"Duke Energy Indiana, LLC",Duke Energy Corp.
55729,Duke Energy Kentucky Inc,Duke Energy Corp.
59917,Luminant Dick's Creek,Vistra Corp.
57359,Richland-Stryker Generation LLC,Vistra Corp.
59980,Walnut Creek LLC,Duke Energy Corp.
12501,Midlothian Energy LLC,Vistra Corp.
12568,Milford Power Co LLC,Vistra Corp.
656,ANP Blackstone Energy Company LLC,Vistra Corp.
641,Bellingham Power Generation LLC,Vistra Corp.
60477,LaFrontera Holdings LLC,Vistra Corp.
21668,Wise County Power Company LLC,Vistra Corp.
5761,Ennis Power Company LLC,Vistra Corp.
54802,Dynegy -Moss Landing LLC,Vistra Corp.
4966,Casco Bay Energy Co LLC,Vistra Corp.
10576,Lake Road Generating Co LP,Vistra Corp.
11741,Masspower,Vistra Corp.
57141,Dynegy Kendall Energy LLC,Vistra Corp.
1074,"Hays Energy, LLC",Vistra Corp.
27031,Liberty Electric Power LLC,Vistra Corp.
59924,Dynegy Hanging Rock Energy Facility,Vistra Corp.
59923,"Fayette Power Company, LLC",Vistra Corp.
59922,Dynegy Washington Energy Facility,Vistra Corp.
8503,Hermiston Generating Co LP,"Berkshire Hathaway, Inc."
49919,Falcon Power Operating Company,"Berkshire Hathaway, Inc."
4210,Cordova Energy Co LLC,"Berkshire Hathaway, Inc."
16729,Saranac Power Partners LP,"Berkshire Hathaway, Inc."
15300,"BHER Power Resources, Inc","Berkshire Hathaway, Inc."
21970,Northeast Energy Associates LP,"NextEra Energy, Inc."
17554,"South Carolina Genertg Co, Inc",Dominion Energy
59919,Luminant Miami Fort,Vistra Corp.
59918,Dynegy Kincaid Generation,Vistra Corp.
55906,NextEra Energy Point Beach LLC,"NextEra Energy, Inc."
54803,"Dynegy Oakland, LLC",Vistra Corp.
31719,Constellation Nuclear,"NextEra Energy, Inc."
14876,FPL Energy Cape LLC,"NextEra Energy, Inc."
34719,FPL Energy Sooner Wind LLC,"NextEra Energy, Inc."
62023,Skeleton Creek Energy Center,"NextEra Energy, Inc."
61530,"Armadillo Flats Wind Project, LLC","NextEra Energy, Inc."
61458,"Minco Wind IV, LLC","NextEra Energy, Inc."
58180,"Blackwell Wind, LLC","NextEra Energy, Inc."
56925,"FPLE Wind, LLC","NextEra Energy, Inc."
50014,"FPL Energy Weatherford, LLC","NextEra Energy, Inc."
61537,"Pratt Wind, LLC","NextEra Energy, Inc."
58090,NextEra Energy Resources Ensign Wind,"NextEra Energy, Inc."
58143,Cimarron Wind Energy LLC,"NextEra Energy, Inc."
7531,Gray County Wind Energy LLC,"NextEra Energy, Inc."
61531,"Casa Mesa Wind, LLC","NextEra Energy, Inc."
61502,"Sholes Wind Energy Center, LLC","NextEra Energy, Inc."
61291,"Wildcat Ranch Wind Project, LLC","NextEra Energy, Inc."
60397,Osborn Wind Energy LLC,"NextEra Energy, Inc."
61416,"Crowned Ridge Wind, LLC","NextEra Energy, Inc."
58353,NextEra Energy Majestic Wind,"NextEra Energy, Inc."
56561,Day County Wind LLC,"NextEra Energy, Inc."
59102,Wessington Wind,"NextEra Energy, Inc."
34717,FPL Energy New Mexico Wind LLC,"NextEra Energy, Inc."
34721,FPL Energy South Dakota Wind LLC,"NextEra Energy, Inc."
56122,FPL Energy Ashtabula Wind LLC,"NextEra Energy, Inc."
55799,FPL Energy Langdon Wind LLC,"NextEra Energy, Inc."
34723,FPL Energy North Dakota Wind LLC,"NextEra Energy, Inc."
61915,"Emmons-Logan Wind, LLC","NextEra Energy, Inc."
60562,"Oliver Wind III, LLC","NextEra Energy, Inc."
56415,Wilton Wind II LLC,"NextEra Energy, Inc."
54799,FPL Energy Oliver County Wind II LLC,"NextEra Energy, Inc."
55696,FPL Energy Oliver County Wind,"NextEra Energy, Inc."
54717,FPL Energy Burleigh County Wind LLC,"NextEra Energy, Inc."
55958,Capricorn Ridge Wind LLC,"NextEra Energy, Inc."
50063,FPL Energy Horse Hollow LLC,"NextEra Energy, Inc."
50012,"FPL Energy Callahan Wind, LLC","NextEra Energy, Inc."
14629,Pecos Wind II LP,"NextEra Energy, Inc."
61563,"Blue Summit II Wind, LLC","NextEra Energy, Inc."
61562,"Torrecillas Wind Energy, LLC","NextEra Energy, Inc."
61133,"Lorenzo Wind, LLC","NextEra Energy, Inc."
58360,Blue Summit Wind LLC,"NextEra Energy, Inc."
57460,NextEra Wolf Ridge LLC,"NextEra Energy, Inc."
54870,FPL Energy Red Canyon LLC,"NextEra Energy, Inc."
6354,FPL Energy Upton Wind LP,"NextEra Energy, Inc."
57026,"NextEra Energy Montezuma Wind II, LLC","NextEra Energy, Inc."
57024,"Vasco Winds, LLC","NextEra Energy, Inc."
56555,FPL Energy Montezuma Wind,"NextEra Energy, Inc."
8565,"FPLE High Winds, LLC","NextEra Energy, Inc."
58121,North Sky River Energy LLC,"NextEra Energy, Inc."
55862,Logan Wind Energy LLC,"NextEra Energy, Inc."
55785,FPL Peetz Table Wind Energy,"NextEra Energy, Inc."
63487,"Bronco Plains Wind, LLC","NextEra Energy, Inc."
57503,Limon,"NextEra Energy, Inc."
63582,"Cedar Springs Wind III, LLC","NextEra Energy, Inc."
63580,"Cedar Springs Wind, LLC","NextEra Energy, Inc."
62913,"Roundhouse Renewable Energy, LLC","NextEra Energy, Inc."
62916,Mohave County Wind Farm,"NextEra Energy, Inc."
56698,Red Mesa Wind LLC,"NextEra Energy, Inc."
