ReEDS BA,Capacity weighted avg. coal VOM ($/MWh)
p1,5.06
p2,5.334578941
p3,3.08
p4,5.269957224
p7,1.52
p10,5.034121919
p12,3.08
p15,5.716743902
p18,6.45592437
p20,6.020457831
p21,6.170589901
p23,5.653361188
p24,6.217280248
p25,4.0941239
p26,5.129169263
p28,6.52
p29,5.88229
p33,5.480775816
p34,5.798935282
p35,6.62
p36,5.927617352
p37,5.73936521
p38,4.236334232
p40,5.310876494
p41,4.167387816
p43,5.306552807
p45,5.81474313
p46,5.73
p48,4.296479942
p50,5.932861456
p51,4.083778894
p52,5.11
p53,6.539631028
p54,5.397867435
p55,5.084278059
p56,6.17415879
p58,4.933280369
p63,6.592624357
p64,5.305650499
p65,5.810594315
p67,4.605425617
p70,5.688232615
p72,4.720550964
p73,5.690645161
p75,6.232302632
p79,5.06
p82,6.62
p84,3.96
p85,3.89741573
p90,6.62
p92,6.10471341
p93,2.166666667
p94,6.62
p96,5.289914738
p97,5.266893098
p98,5.132831559
p99,3.118717949
p101,5.06
p105,6.62
p107,4.722807018
p109,6.62
p112,5.047608977
p116,5.946659292
p122,5.204697406
p123,6.62
