region,year,avg_added_mw,flat_true_peak_added_mw,flat_false_peak_added_mw,peak_diff_mw,peak_ratio
p1,2023,0.0,0.0,0.0,0.0,
p1,2024,41.9,41.9,209.8,167.9,5.0
p1,2025,84.1,84.1,424.3,340.2,5.0
p1,2026,126.6,126.6,643.5,516.9,5.1
p1,2027,169.5,169.5,867.7,698.2,5.1
p1,2028,212.7,212.7,1096.9,884.2,5.2
p1,2029,256.2,256.2,1331.2,1075.0,5.2
p1,2030,300.1,300.1,1570.7,1270.6,5.2
p1,2031,323.4,323.4,1699.9,1376.5,5.3
p1,2032,346.8,346.8,1830.6,1483.8,5.3
p1,2033,370.3,370.3,1962.8,1592.6,5.3
p1,2034,393.9,393.9,2096.7,1702.8,5.3
p1,2035,417.6,417.6,2232.0,1814.4,5.3
p1,2036,441.4,441.4,2369.0,1927.6,5.4
p1,2037,465.3,465.3,2507.6,2042.3,5.4
p1,2038,489.2,489.2,2647.8,2158.6,5.4
p1,2039,513.3,513.3,2789.7,2276.4,5.4
p1,2040,537.5,537.5,2933.2,2395.8,5.5
p1,2041,555.8,555.8,3042.7,2486.9,5.5
p1,2042,574.1,574.1,3153.0,2578.9,5.5
p1,2043,592.5,592.5,3264.4,2671.9,5.5
p1,2044,611.0,611.0,3376.8,2765.8,5.5
p1,2045,629.5,629.5,3490.1,2860.7,5.5
p1,2046,648.0,648.0,3604.5,2956.5,5.6
p1,2047,666.7,666.7,3719.9,3053.2,5.6
p1,2048,685.3,685.3,3836.3,3150.9,5.6
p1,2049,704.1,704.1,3953.7,3249.6,5.6
p1,2050,722.9,722.9,4072.2,3349.3,5.6
p10,2023,0.0,0.0,0.0,0.0,
p10,2024,56.3,56.3,296.0,239.6,5.3
p10,2025,112.9,112.9,595.0,482.2,5.3
p10,2026,169.6,169.6,897.2,727.6,5.3
p10,2027,226.5,226.5,1202.5,976.0,5.3
p10,2028,283.7,283.7,1511.0,1227.4,5.3
p10,2029,341.0,341.0,1822.8,1481.8,5.3
p10,2030,398.5,398.5,2137.8,1739.2,5.4
p10,2031,428.9,428.9,2305.2,1876.3,5.4
p10,2032,459.4,459.4,2473.6,2014.2,5.4
p10,2033,489.9,489.9,2643.0,2153.1,5.4
p10,2034,520.4,520.4,2813.2,2292.8,5.4
p10,2035,551.1,551.1,2984.4,2433.3,5.4
p10,2036,581.7,581.7,3156.5,2574.8,5.4
p10,2037,612.5,612.5,3329.6,2717.1,5.4
p10,2038,643.3,643.3,3503.6,2860.4,5.4
p10,2039,674.1,674.1,3678.6,3004.5,5.5
p10,2040,705.0,705.0,3854.6,3149.5,5.5
p10,2041,728.3,728.3,3987.5,3259.2,5.5
p10,2042,751.6,751.6,4121.0,3369.4,5.5
p10,2043,774.9,774.9,4255.1,3480.2,5.5
p10,2044,798.3,798.3,4389.7,3591.4,5.5
p10,2045,821.7,821.7,4524.9,3703.2,5.5
p10,2046,845.2,845.2,4660.6,3815.5,5.5
p10,2047,868.6,868.6,4796.9,3928.3,5.5
p10,2048,892.1,892.1,4933.8,4041.6,5.5
p10,2049,915.7,915.7,5071.2,4155.5,5.5
p10,2050,939.3,939.3,5209.2,4269.9,5.5
p100,2023,0.0,0.0,0.0,0.0,
p100,2024,35.1,35.1,185.7,150.6,5.3
p100,2025,73.4,73.4,420.4,347.0,5.7
p100,2026,115.2,115.2,717.1,601.9,6.2
p100,2027,160.7,160.7,1092.1,931.4,6.8
p100,2028,210.4,210.4,1566.3,1355.9,7.4
p100,2029,264.6,264.6,2165.6,1901.0,8.2
p100,2030,323.7,323.7,2923.3,2599.6,9.0
p100,2031,359.1,359.1,3450.1,3091.0,9.6
