GROUP_NAME,LOAD_ZONE
AB,p140
AB,p141
AGU_GUA_JAL_NAY_QUE_ZAC,p178
AGU_GUA_JAL_NAY_QUE_ZAC,p179
AGU_GUA_JAL_NAY_QUE_ZAC,p180
AGU_GUA_JAL_NAY_QUE_ZAC,p182
AGU_GUA_JAL_NAY_QUE_ZAC,p186
AL,p89
AL,p90
AR,p56
AR,p85
AZ,p27
AZ,p28
AZ,p29
AZ,p30
BC,p137
BC,p138
BC,p139
BCN,p201
BCN,p202
BCN,p203
BCN,p204
BCS,p205
CA,p10
CA,p11
CA,p8
CA,p9
CAM_CHP_TAB,p194
CAM_CHP_TAB,p195
CAM_CHP_TAB,p197
CHH,p163
CHH,p164
CHH,p165
CO,p33
CO,p34
COA_DGO_NLE,p166
COA_DGO_NLE,p167
COA_DGO_NLE,p168
COA_DGO_NLE,p172
COA_DGO_NLE,p173
COL,p183
CT,p132
DE,p125
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p169
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p170
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p171
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p175
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p177
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p187
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p188
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p189
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p190
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p192
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p193
DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,p196
FL,p101
FL,p102
FL,p91
GA,p94
GRO_MIC,p184
GRO_MIC,p185
GRO_MIC,p191
IA,p45
IA,p69
IA,p70
ID,p14
ID,p15
ID,p16
IL,p80
IL,p81
IL,p82
IL,p83
IN,p105
IN,p106
IN,p107
KS,p52
KS,p53
KY,p108
KY,p109
KY,p110
KY,p93
LA,p58
LA,p86
MA,p131
MB,p143
MD,p121
MD,p123
ME,p134
MEX,p135
MEX,p136
MI,p103
MI,p104
MI,p74
MN,p42
MN,p43
MN,p44
MN,p68
MO,p54
MO,p55
MO,p71
MO,p72
MO,p73
MO,p84
MS,p87
MS,p88
MT,p17
MT,p18
MT,p19
MT,p20
MT,p35
NB,p152
NC,p97
NC,p98
ND,p36
ND,p37
NE,p39
NE,p40
NE,p41
NFI,p155
NH,p130
NJ,p126
NL,p154
NM,p31
NM,p47
NS,p153
NV,p12
NV,p13
NY,p127
NY,p128
OH,p111
OH,p112
OH,p113
OH,p114
OK,p49
OK,p50
OK,p51
ON,p144
ON,p145
ON,p146
ON,p147
OR,p5
OR,p6
OR,p7
PA,p115
PA,p119
PA,p120
PA,p122
PEI,p156
QC,p148
QC,p149
QC,p150
QC,p151
RI,p133
ROO,p199
ROO,p200
SC,p95
SC,p96
SD,p32
SD,p38
SIN_SON,p157
SIN_SON,p158
SIN_SON,p159
SIN_SON,p160
SIN_SON,p161
SIN_SON,p162
SK,p142
SLP,p174
SLP,p176
SLP,p181
TN,p92
TX,p48
TX,p57
TX,p59
TX,p60
TX,p61
TX,p62
TX,p63
TX,p64
TX,p65
TX,p66
TX,p67
UT,p25
UT,p26
VA,p100
VA,p118
VA,p124
VA,p99
VT,p129
WA,p1
WA,p2
WA,p3
WA,p4
WI,p46
WI,p75
WI,p76
WI,p77
WI,p78
WI,p79
WV,p116
WV,p117
WY,p21
WY,p22
WY,p23
WY,p24
YUC,p198
