GROUP_NAME,LOAD_ZONE
Arizona_Public_Service_Co,p28
Arizona_Public_Service_Co,p29
Arizona_Public_Service_Co,p30
Avista_Corp,p14
Avista_Corp,p3
Bonneville_Power_Administration,p2
Bonneville_Power_Administration,p5
Bonneville_Power_Administration,p7
CAISO,p10
CAISO,p11
CAISO,p9
CAN,p137
CAN,p138
CAN,p139
CAN,p140
CAN,p141
CAN,p142
CAN,p143
CAN,p144
CAN,p145
CAN,p146
CAN,p147
CAN,p148
CAN,p149
CAN,p150
CAN,p151
CAN,p152
CAN,p153
CAN,p154
CAN,p155
CAN,p156
Duke_Energy_Carolinas_LLC,p95
Duke_Energy_Carolinas_LLC,p97
Duke_Energy_Progress_East,p98
ERCOT,p60
ERCOT,p61
ERCOT,p62
ERCOT,p63
ERCOT,p64
ERCOT,p65
ERCOT,p67
El_Paso_Electric,p59
Florida_Power_and_Light,p102
ISONE,p129
ISONE,p130
ISONE,p131
ISONE,p132
ISONE,p133
ISONE,p134
Idaho_Power_Co,p15
Idaho_Power_Co,p16
MEX,p135
MEX,p136
MEX,p157
MEX,p158
MEX,p159
MEX,p160
MEX,p161
MEX,p162
MEX,p163
MEX,p164
MEX,p165
MEX,p166
MEX,p167
MEX,p168
MEX,p169
MEX,p170
MEX,p171
MEX,p172
MEX,p173
MEX,p174
MEX,p175
MEX,p176
MEX,p177
MEX,p178
MEX,p179
MEX,p180
MEX,p181
MEX,p182
MEX,p183
MEX,p184
MEX,p185
MEX,p186
MEX,p187
MEX,p188
MEX,p189
MEX,p190
MEX,p191
MEX,p192
MEX,p193
MEX,p194
MEX,p195
MEX,p196
MEX,p197
MEX,p198
MEX,p199
MEX,p200
MEX,p201
MEX,p202
MEX,p203
MEX,p204
MEX,p205
MISO,p103
MISO,p105
MISO,p106
MISO,p107
MISO,p108
MISO,p37
MISO,p42
MISO,p43
MISO,p44
MISO,p45
MISO,p46
MISO,p58
MISO,p66
MISO,p68
MISO,p69
MISO,p70
MISO,p71
MISO,p72
MISO,p73
MISO,p74
MISO,p75
MISO,p76
MISO,p77
MISO,p78
MISO,p79
MISO,p81
MISO,p82
MISO,p83
MISO,p84
MISO,p85
MISO,p86
MISO,p87
NYISO,p127
NYISO,p128
Nevada_Power_Co,p12
Nevada_Power_Co,p13
Northwestern_Energy,p17
Northwestern_Energy,p18
Northwestern_Energy,p20
PJM,p100
PJM,p104
PJM,p109
PJM,p110
PJM,p111
PJM,p112
PJM,p113
PJM,p114
PJM,p115
PJM,p116
PJM,p117
PJM,p118
PJM,p119
PJM,p120
PJM,p121
PJM,p122
PJM,p123
PJM,p124
PJM,p125
PJM,p126
PJM,p80
PJM,p99
PUD_No2_of_Grant_County,p4
PacifiCorp_East,p21
PacifiCorp_East,p22
PacifiCorp_East,p25
PacifiCorp_East,p26
PacifiCorp_West,p6
PacifiCorp_West,p8
PowerSouth_Energy_Coop,p90
Public_Service_Co_of_Colorado,p33
Public_Service_Co_of_Colorado,p34
Public_Service_Co_of_New_Mexico,p31
Puget_Sound_Energy_Inc,p1
SPP,p35
SPP,p36
SPP,p38
SPP,p39
SPP,p40
SPP,p41
SPP,p47
SPP,p48
SPP,p49
SPP,p50
SPP,p51
SPP,p52
SPP,p53
SPP,p54
SPP,p55
SPP,p56
SPP,p57
Seminole_Electric_Coop_Inc,p101
South_Carolina_Electric_Gas_Co,p96
Southern_Co_Services_Inc,p89
Southern_Co_Services_Inc,p91
Southern_Co_Services_Inc,p94
Tennessee_Valley_Authority,p88
Tennessee_Valley_Authority,p92
Tennessee_Valley_Authority,p93
WAPA_Desert_Southwest_Region,p27
WAPA_Rocky_Mountain_Region,p23
WAPA_Rocky_Mountain_Region,p24
WAPA_Rocky_Mountain_Region,p32
WAPA_Upper_Great_Plains_West,p19
