region,year,dc_avg_added_mw,dc_peak_added_mw,nondc_avg_added_mw,nondc_peak_added_mw,dc_minus_nondc_avg_mw,dc_avg_share_of_total
p1,2023,0.0,0.0,0.0,0.0,0.0,
p1,2024,41.89246187501976,41.89246187501976,41.36436250378938,71.05137070360979,0.5280993712303825,0.50317150801253
p1,2025,84.10592450275999,84.10592450275999,83.04168365460009,142.64030900159923,1.0642408481598977,0.5031835359772483
p1,2026,126.64284754967957,126.64284754967957,125.03433126638993,214.7708820768603,1.6085162832896458,0.5031955942347581
p1,2027,169.50570952940961,169.50570952940961,167.3446910677494,287.4471878841596,2.1610184616602055,0.5032076827841516
p1,2028,212.69700794718938,212.69700794718938,209.97516683747017,360.67335538301086,2.7218411097192075,0.5032198016241617
p1,2029,256.21925944535997,256.21925944535997,252.9281805410801,434.45354477219007,3.291078904279857,0.5032319507531723
p1,2030,300.07499995004946,300.07499995004946,296.20617246846996,508.7919477261603,3.868827481579501,0.503244130169235
p1,2031,323.3872306446501,323.3872306446501,394.3461586428202,677.3665398736994,-70.95892799817011,0.45056734920148095
p1,2032,346.7936928793897,346.7936928793897,494.15728176933953,848.8116360953009,-147.36358888994982,0.41238277061780887
p1,2033,370.2947675523001,370.2947675523001,595.6679981258794,1023.1761156052999,-225.37323057357935,0.3833426926060912
p1,2034,393.89083710108025,393.89083710108025,698.9072485464394,1200.5096899381006,-305.01641144535915,0.3604424662472635
p1,2035,417.58228550930016,417.58228550930016,803.9044666723003,1380.8629171206994,-386.3221811630001,0.3418639496199935
p1,2036,441.36949831263973,441.36949831263973,910.6895873435496,1564.2872160868992,-469.3200890309099,0.3264424631993295
p1,2037,465.25286260517987,465.25286260517987,1019.2930551335794,1750.8348813370994,-554.0401925283995,0.31339742142422033
p1,2038,489.2327670456798,489.2327670456798,1129.74583302882,1940.5590978473992,-640.5130659831402,0.30218606164600753
p1,2039,513.3096018639399,513.3096018639399,1242.07941125639,2133.5139562325003,-728.76980939245,0.2924192859971792
p1,2040,537.4837588671098,537.4837588671098,1356.3258162619595,2329.754468167401,-818.8420573948497,0.2838108783088598
p1,2041,555.7697481186296,555.7697481186296,1417.6191686534594,2435.0377709630993,-861.8494205348297,0.2816321422478206
p1,2042,574.1114233792396,574.1114233792396,1479.4630970848102,2541.266795629899,-905.3516737055706,0.27956688089873
p1,2043,592.5089542285896,592.5089542285896,1541.8625471816595,2648.4500372459006,-949.3535929530699,0.2776034789806271
p1,2044,610.9625107627298,610.9625107627298,1604.8225089944399,2756.5960671970006,-993.85999823171,0.27573185363880015
p1,2045,629.4722635957396,629.4722635957396,1668.3480173973694,2865.7135338630997,-1038.8757538016298,0.273943209920527
p1,2046,648.0383838612297,648.0383838612297,1732.44415249115,2975.8111633091994,-1084.4057686299202,0.272229841624556
p1,2047,666.6610432139796,666.6610432139796,1797.1160400091794,3086.8977599835,-1130.4549967951998,0.27058496799630966
p1,2048,685.3404138315,685.3404138315,1862.3688517274795,3198.9822074211006,-1177.0284378959796,0.2690025989606522
p1,2049,704.0766684156197,704.0766684156197,1928.20780587825,3312.073468955199,-1224.1311374626302,0.26747742323879853
p1,2050,722.8699801941202,722.8699801941202,1994.6381675672,3426.1805884328005,-1271.7681873730799,0.2660047149406413
p10,2023,0.0,0.0,0.0,0.0,0.0,
p10,2024,56.32548349839999,56.32548349839999,110.47057302209942,199.09506688909823,-54.145089523699426,0.33769073845866093
p10,2025,112.85275028989963,112.85275028989963,221.7173369719003,399.58902020049936,-108.86458668200066,0.33730675450848885
p10,2026,169.58252325349895,169.58252325349895,333.7457455402,601.4916888225998,-164.16322228670106,0.3369223104832333
p10,2027,226.51552785740023,226.51552785740023,446.56129073669945,804.8129707039989,-220.04576287929922,0.3365374079150999
p10,2028,283.65249216919983,283.65249216919983,560.1695031591989,1009.5628333382992,-276.5170109899991,0.33615204834617746
p10,2029,340.99414686449927,340.99414686449927,674.5759522647986,1215.7513142530988,-333.58180540029934,0.3357662333273219
p10,2030,398.5412252365986,398.5412252365986,789.7862466427996,1423.3885215019982,-391.245021406201,0.33537996441863466
p10,2031,428.93040914479934,428.93040914479934,1065.347118461299,1920.0167973028983,-636.4167093164997,0.2870486915720172
p10,2032,459.3768781975996,459.3768781975996,1345.5065834447978,2424.932865850202,-886.1297052471982,0.2545188583974161
p10,2033,489.8807403804003,489.8807403804003,1630.3413834722978,2938.2750348318004,-1140.4606430918975,0.2310516124085283
p10,2034,520.4421038821001,520.4421038821001,1919.9295411006988,3460.1839200311006,-1399.4874372185986,0.21326346130602108
p10,2035,551.0610770956991,551.0610770956991,2214.3503809365993,3990.8024838448982,-1663.2893038409002,0.19926910894041108
p10,2036,581.737768618299,581.737768618299,2513.684551365399,4530.2760744433035,-1931.9467827470999,0.1879348626721031
p10,2037,612.4722872518996,612.4722872518996,2818.0140466424,5078.752465584701,-2205.5417593905004,0.17853803444732544
p10,2038,643.2647420033991,643.2647420033991,3127.4222293529983,5636.381897093597,-2484.1574873495993,0.17059616639882544
p10,2039,674.1152420853996,674.1152420853996,3441.993853247399,6203.3171160148995,-2767.8786111619993,0.16377487245169714
p10,2040,705.0238969162983,705.0238969162983,3761.8150864567997,6779.7134184548995,-3056.7911895405014,0.15783508193167625
p10,2041,728.2981462726984,728.2981462726984,3911.245074644101,7049.022906760198,-3182.9469283714025,0.15697626072093854
p10,2042,751.6053699864005,751.6053699864005,4061.821071547698,7320.397783845401,-3310.2157015612975,0.15614767964478432
p10,2043,774.9456147748006,774.9456147748006,4213.551866139498,7593.8538895936,-3438.6062513646975,0.1553464981669726
p10,2044,798.3189274212982,798.3189274212982,4366.446314796,7869.407185367003,-3568.1273873747014,0.15457022536005335
p10,2045,821.7253547755008,821.7253547755008,4520.513341814798,8147.073754939098,-3698.787987039297,0.15381666777637054
p10,2046,845.1649437534998,845.1649437534998,4675.761939935901,8426.869805432703,-3830.596996182401,0.15308388637610645
p10,2047,868.6377413378996,868.6377413378996,4832.201170866299,8708.811668266499,-3963.5634295284,0.15237016072815945
p10,2048,892.1437945777998,892.1437945777998,4989.840165809199,8992.915800108,-4097.696371231399,0.15167395909034442
p10,2049,915.6831505887985,915.6831505887985,5148.6881259968995,9279.198783834501,-4233.004975408101,0.1509939132724633
p10,2050,939.2558565536001,939.2558565536001,5308.754323227398,9567.677329500497,-4369.498466673798,0.15032879741347066
p100,2023,0.0,0.0,0.0,0.0,0.0,
p100,2024,35.11472295651595,35.11472295651595,1.8611883962639695,3.3755024814180388,33.25353456025198,0.9496648404820442
p100,2025,73.41050153512896,73.41050153512896,3.731313415643001,6.767212668386037,69.67918811948596,0.9516304689224108
p100,2026,115.17550873049498,115.17550873049498,5.610417967942965,10.17520838330995,109.56509076255202,0.9535507312706197
p100,2027,160.72402323446795,160.72402323446795,7.498545169004956,13.599567822261974,153.225478065463,0.955424856247468
p100,2028,210.398794360784,210.398794360784,9.395738341690958,17.040369556782025,201.00305601909304,0.9572521744459881
p100,2029,264.57362120912194,264.57362120912194,11.302041016884004,20.497692535671945,253.27158019223793,0.9590321200294029
p100,2030,323.65616547660295,323.65616547660295,13.217496934481971,23.97161608681597,310.438668542121,0.9607642317898015
p100,2031,359.0980268373979,359.0980268373979,17.855474824045984,32.38318038971602,341.24255201335194,0.9526321555699921
p100,2032,396.305902495885,396.305902495885,22.54711732497998,40.89207230824195,373.758785170905,0.9461693810047664
p100,2033,435.367790271025,435.367790271025,27.29304537394495,49.49941799020996,408.07474489708005,0.9410085244498874
p100,2034,476.37607277988093,476.37607277988093,32.09388709227096,58.20635661374399,444.28218568760997,0.936881449003712
p100,2035,519.427735925471,519.427735925471,36.950277869085994,67.014040538048,482.477458056385,0.9335878180787893
p100,2036,564.624598271537,564.624598271537,41.862860445408955,75.92363545591604,522.7617378261281,0.9309748951215382
p100,2037,612.073551846712,612.073551846712,46.83228499921796,84.93632054801606,565.241266847494,0.9289241612680255
p100,2038,661.886814947602,661.886814947602,51.85920923149695,94.05328863895295,610.0276057161051,0.9273422093087779
p100,2039,714.182197538642,714.182197538642,56.94429845329,103.27574635513395,657.237899085352,0.9261544004138514
p100,2040,769.083379876452,769.083379876452,62.088225673745,112.60491428446903,706.995154202707,0.9253003528282882
p100,2041,814.4899838582519,814.4899838582519,65.75902982759396,119.26238569090594,748.7309540306579,0.9252949690312714
p100,2042,861.6790309855719,861.6790309855719,69.45979735373999,125.97419949370499,792.2192336318319,0.9254033928779216
p100,2043,910.720491335182,910.720491335182,73.190772831745,132.74079926909303,837.529718503437,0.925612425126858
p100,2044,961.687081669862,961.687081669862,76.952202837583,139.56263221404004,884.734878832279,0.9259105601093491
p100,2045,1014.6543732600019,1014.6543732600019,80.74433595993298,146.44014917581205,933.9100373000689,0.9262877203703905
p100,2046,1069.700903937672,1069.700903937672,84.567422816609,153.37380468177298,985.1334811210629,0.926735039976011
p100,2047,1126.908294549502,1126.908294549502,88.42171607112095,160.36405696941597,1038.486578478381,0.9272446863827815
p100,2048,1186.361369980872,1186.361369980872,92.30747044937698,167.41136801665402,1094.053899531495,0.9278097130932531
