"Sector","Year","DemandTWh","Zone","Scenario"
"Residential",2025,150.410507202148,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2025,153.157180786133,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2025,142.04866027832,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2025,0.0938989520072937,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2026,151.595916748047,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2026,178.679885864258,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2026,147.428466796875,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2026,0.101314030587673,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2027,151.600830078125,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2027,180.858901977539,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2027,145.598068237305,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2027,0.109429948031902,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2028,153.198959350586,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2028,182.744384765625,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2028,144.989456176758,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2028,0.115602195262909,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2029,154.285110473633,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2029,184.312438964844,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2029,144.825576782227,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2029,0.121259666979313,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2030,155.368103027344,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2030,186.145614624023,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2030,145.096908569336,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2030,0.126647144556046,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2031,156.097579956055,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2031,188.213195800781,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2031,144.663330078125,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2031,0.131857052445412,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2032,157.669326782227,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2032,191.553909301758,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2032,144.668899536133,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2032,0.136847034096718,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2033,160.00959777832,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2033,195.613525390625,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2033,145.091751098633,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2033,0.141982182860375,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2034,162.66535949707,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2034,199.950119018555,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2034,146.431976318359,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2034,0.146916210651398,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2035,165.571151733398,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2035,204.502975463867,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2035,147.997604370117,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2035,0.15225188434124,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2036,168.242309570312,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2036,208.94255065918,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2036,149.482849121094,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2036,0.156901776790619,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2037,170.750473022461,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2037,213.245986938477,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2037,151.056137084961,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2037,0.162045165896416,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2038,172.591751098633,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2038,216.994400024414,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2038,151.712936401367,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2038,0.166981846094131,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2039,174.522979736328,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2039,220.830993652344,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2039,153.363662719727,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2039,0.172069549560547,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2040,176.467346191406,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2040,224.858764648438,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2040,155.007232666016,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2040,0.176700368523598,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2041,179.060119628906,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2041,229.398498535156,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2041,156.020812988281,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2041,0.180849850177765,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2042,181.538040161133,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2042,233.653381347656,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2042,157.106353759766,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2042,0.184749960899353,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2043,183.783630371094,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2043,237.54655456543,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2043,158.047760009766,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2043,0.189007103443146,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2044,185.771408081055,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2044,241.176208496094,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2044,159.039291381836,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2044,0.192884549498558,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2045,187.561264038086,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2045,244.681793212891,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2045,160.454086303711,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2045,0.197072774171829,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2046,189.315490722656,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2046,247.973526000977,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2046,161.800384521484,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2046,0.201354533433914,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2047,190.813629150391,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2047,251.021026611328,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2047,163.582580566406,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2047,0.205522164702415,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2048,192.338439941406,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2048,253.945755004883,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2048,164.822937011719,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2048,0.209658235311508,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2049,193.866180419922,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2049,256.716491699219,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2049,166.358123779297,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2049,0.213546738028526,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2050,195.347961425781,"Texas Reliability Entity","Counterfactual Baseline case"
"Commercial",2050,259.428161621094,"Texas Reliability Entity","Counterfactual Baseline case"
"Industrial",2050,167.434967041016,"Texas Reliability Entity","Counterfactual Baseline case"
"Transportation",2050,0.217441901564598,"Texas Reliability Entity","Counterfactual Baseline case"
"Residential",2025,135.994979858398,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2025,101.966506958008,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2025,16.3988971710205,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2025,0.236737072467804,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2026,135.596649169922,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2026,103.771003723145,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2026,17.0430088043213,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2026,0.249080002307892,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2027,134.012191772461,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2027,105.727920532227,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2027,16.9594612121582,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2027,0.258110821247101,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2028,135.878204345703,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2028,107.901779174805,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2028,16.8708515167236,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2028,0.265229940414429,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2029,137.562149047852,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2029,110.222808837891,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2029,16.8030166625977,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2029,0.270242899656296,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2030,139.028442382812,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2030,112.346817016602,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2030,16.8424739837646,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2030,0.273477077484131,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2031,140.306198120117,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2031,114.459007263184,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2031,16.8946151733398,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2031,0.275216728448868,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2032,141.93586730957,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2032,117.136161804199,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2032,16.921501159668,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2032,0.275964826345444,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2033,143.892349243164,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2033,120.06282043457,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2033,16.9854469299316,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2033,0.275941789150238,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2034,146.177886962891,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2034,123.348480224609,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2034,17.1165046691894,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2034,0.275207430124283,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2035,148.657455444336,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2035,126.767631530762,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2035,17.281982421875,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2035,0.274481564760208,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2036,151.073104858398,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2036,130.163558959961,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2036,17.4874076843262,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2036,0.278511434793472,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2037,153.325424194336,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2037,133.517303466797,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2037,17.7069625854492,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2037,0.280795067548752,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2038,155.403244018555,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2038,136.729827880859,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2038,17.8944892883301,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2038,0.282548040151596,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2039,157.370468139648,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2039,139.918319702148,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2039,18.1068439483643,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2039,0.282783329486847,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2040,158.986114501953,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2040,142.988876342773,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2040,18.3312816619873,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2040,0.284773498773575,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2041,160.592910766602,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2041,146.045486450195,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2041,18.5286617279053,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2041,0.286307513713837,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2042,162.210006713867,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2042,149.02848815918,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2042,18.6863059997559,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2042,0.288528800010681,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2043,163.766876220703,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2043,151.889205932617,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2043,18.8023567199707,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2043,0.288547515869141,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2044,165.201354980469,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2044,154.682907104492,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2044,18.9202938079834,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2044,0.289850831031799,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2045,166.605224609375,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2045,157.472869873047,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2045,19.0837078094482,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2045,0.290553092956543,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2046,167.993637084961,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2046,160.028625488281,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2046,19.2611999511719,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2046,0.290821850299835,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2047,169.239120483398,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2047,162.441360473633,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2047,19.4378986358643,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2047,0.291052132844925,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2048,170.418838500977,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2048,164.670959472656,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2048,19.6008052825928,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2048,0.291188955307007,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2049,171.486633300781,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2049,166.678771972656,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2049,19.7367401123047,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2049,0.29158627986908,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2050,172.468307495117,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Commercial",2050,168.607513427734,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Industrial",2050,19.8828868865967,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Transportation",2050,0.292960613965988,"Florida Reliability Coordinating Council","Counterfactual Baseline case"
"Residential",2025,66.8565826416016,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2025,70.1077194213867,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2025,78.2698593139648,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2025,0.194111406803131,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2026,67.1482238769531,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2026,72.541618347168,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2026,80.2955093383789,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2026,0.197949036955833,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2027,65.6972427368164,"Midcontinent / West","Counterfactual Baseline case"
