Scenario,State,Year,Nominal Capacity (GW),Peak Load (GW),Annual Energy (TWh)
Historical,AK,2021,0.0,0.0,0.0
Historical,AK,2022,0.0,0.0,0.0
Historical,AK,2023,0.0,0.0,0.0
Historical,AK,2024,0.0,0.0,0.0
Historical,AL,2021,0.017,0.017,0.147
Historical,AL,2022,0.167,0.127,0.842
Historical,AL,2023,0.17,0.156,1.15
Historical,AL,2024,0.353,0.2,1.69
Historical,AR,2021,0.0,0.0,0.0
Historical,AR,2022,0.0,0.0,0.0
Historical,AR,2023,0.0,0.0,0.0
Historical,AR,2024,0.011,0.002,0.018
Historical,AZ,2021,0.472,0.467,3.94
Historical,AZ,2022,0.652,0.578,4.74
Historical,AZ,2023,0.74,0.627,5.23
Historical,AZ,2024,1.86,0.877,7.4
Historical,CA,2021,0.935,0.862,7.3
Historical,CA,2022,1.06,0.93,7.8
Historical,CA,2023,1.23,0.981,8.27
Historical,CA,2024,1.5,1.07,9.06
Historical,CO,2021,0.092,0.094,0.793
Historical,CO,2022,0.248,0.194,1.43
Historical,CO,2023,0.258,0.223,1.73
Historical,CO,2024,0.241,0.232,1.96
Historical,CT,2021,0.029,0.031,0.26
Historical,CT,2022,0.03,0.031,0.265
Historical,CT,2023,0.03,0.032,0.267
Historical,CT,2024,0.029,0.032,0.269
Historical,DE,2021,0.0,0.0,0.0
Historical,DE,2022,0.0,0.0,0.0
Historical,DE,2023,0.0,0.0,0.0
Historical,DE,2024,0.014,0.003,0.022
Historical,FL,2021,0.08,0.109,0.919
Historical,FL,2022,0.097,0.122,0.996
Historical,FL,2023,0.158,0.137,1.13
Historical,FL,2024,0.188,0.155,1.3
Historical,GA,2021,0.297,0.284,2.39
Historical,GA,2022,0.789,0.574,4.48
Historical,GA,2023,1.17,0.731,5.97
Historical,GA,2024,1.77,0.958,8.05
Historical,HI,2021,0.001,0.001,0.007
Historical,HI,2022,0.001,0.001,0.009
Historical,HI,2023,0.001,0.001,0.009
Historical,HI,2024,0.008,0.002,0.021
Historical,IA,2021,0.141,0.14,1.17
Historical,IA,2022,0.707,0.519,3.91
Historical,IA,2023,0.826,0.659,5.32
Historical,IA,2024,1.7,0.94,7.89
Historical,ID,2021,0.015,0.016,0.139
Historical,ID,2022,0.017,0.018,0.146
Historical,ID,2023,0.017,0.018,0.15
Historical,ID,2024,0.089,0.031,0.265
Historical,IL,2021,0.793,0.788,6.68
Historical,IL,2022,0.985,0.918,7.51
Historical,IL,2023,1.07,0.968,8.0
Historical,IL,2024,1.6,1.08,9.19
Historical,IN,2021,0.019,0.021,0.176
Historical,IN,2022,0.022,0.022,0.187
Historical,IN,2023,0.16,0.047,0.391
Historical,IN,2024,0.292,0.097,0.82
Historical,KS,2021,0.001,0.001,0.008
Historical,KS,2022,0.001,0.001,0.008
Historical,KS,2023,0.001,0.001,0.009
Historical,KS,2024,0.044,0.009,0.08
Historical,KY,2021,0.009,0.008,0.067
Historical,KY,2022,0.15,0.089,0.647
Historical,KY,2023,0.185,0.119,0.952
Historical,KY,2024,0.375,0.174,1.46
Historical,LA,2021,0.002,0.002,0.019
