ba,emm,abbr,name,load_share_of_ba,county_share_of_ba,share_of_emm_load,ba_load_mwh,emm_load_mwh,states,transreg,nercr,split
p1,23,NWPP,WECC/NW Pool,1.0,1.0,0.366031,60713670,165870137,WA,NorthernGrid,WECC_NW,False
p2,23,NWPP,WECC/NW Pool,1.0,1.0,0.113097,18759438,165870137,WA,NorthernGrid,WECC_NW,False
p3,23,NWPP,WECC/NW Pool,1.0,1.0,0.058029,9625216,165870137,WA,NorthernGrid,WECC_NW,False
p4,23,NWPP,WECC/NW Pool,1.0,1.0,0.010082,1672257,165870137,WA,NorthernGrid,WECC_NW,False
p5,23,NWPP,WECC/NW Pool,1.0,1.0,0.269476,44698087,165870137,OR,NorthernGrid,WECC_NW,False
p6,23,NWPP,WECC/NW Pool,1.0,1.0,0.044146,7322473,165870137,OR,NorthernGrid,WECC_NW,False
p7,25,BASN,WECC/Basin,0.7541,0.5,0.00595,786831,99728262,OR,NorthernGrid,WECC_NW,True
p7,23,NWPP,WECC/NW Pool,0.2459,0.5,0.001166,786831,165870137,OR,NorthernGrid,WECC_NW,True
p8,23,NWPP,WECC/NW Pool,0.5401,0.3333,0.001888,579749,165870137,CA,NorthernGrid,WECC_NW,True
p8,25,BASN,WECC/Basin,0.4599,0.6667,0.002674,579749,99728262,CA,NorthernGrid,WECC_NW,True
p9,21,CANO,WECC/CA North,1.0,1.0,1.0,109395298,109395298,CA,CAISO,WECC_CA,False
p10,22,CASO,WECC/CA South,1.0,1.0,0.86176,144087297,167201173,CA,CAISO,WECC_CA,False
p11,22,CASO,WECC/CA South,1.0,1.0,0.13824,23113876,167201173,CA,CAISO,WECC_CA,False
p12,25,BASN,WECC/Basin,1.0,1.0,0.101922,10164471,99728262,NV,NorthernGrid,WECC_NW,False
p13,25,BASN,WECC/Basin,1.0,1.0,0.284428,28365505,99728262,NV,NorthernGrid,WECC_NW,False
p14,23,NWPP,WECC/NW Pool,1.0,1.0,0.028883,4790796,165870137,ID,NorthernGrid,WECC_NW,False
p15,25,BASN,WECC/Basin,1.0,1.0,0.133956,13359243,99728262,ID,NorthernGrid,WECC_NW,False
p16,25,BASN,WECC/Basin,1.0,1.0,0.071092,7089926,99728262,ID,NorthernGrid,WECC_NW,False
p17,23,NWPP,WECC/NW Pool,1.0,1.0,0.035891,5953238,165870137,MT,NorthernGrid,WECC_NW,False
p18,23,NWPP,WECC/NW Pool,1.0,1.0,0.032706,5424982,165870137,MT,NorthernGrid,WECC_NW,False
p19,19,SPPN,SPP/North,1.0,1.0,0.002349,121005,51510391,MT,NorthernGrid,WECC_NW,False
p20,23,NWPP,WECC/NW Pool,1.0,1.0,0.01668,2766697,165870137,MT,NorthernGrid,WECC_NW,False
p21,25,BASN,WECC/Basin,0.5084,0.3,0.037707,7397186,99728262,WY,NorthernGrid,WECC_NW,True
p21,23,NWPP,WECC/NW Pool,0.4916,0.7,0.021925,7397186,165870137,WY,NorthernGrid,WECC_NW,True
p22,24,RMRG,WECC/Rockies,1.0,1.0,0.016815,1118970,66546505,WY,NorthernGrid,WECC_NW,False
p23,24,RMRG,WECC/Rockies,1.0,1.0,0.026091,1736241,66546505,WY,WestConnect,WECC_NW,False
p24,24,RMRG,WECC/Rockies,0.5985,0.625,0.068993,7670671,66546505,WY,WestConnect,WECC_NW,True
p24,25,BASN,WECC/Basin,0.4015,0.375,0.030878,7670671,99728262,WY,WestConnect,WECC_NW,True
p25,25,BASN,WECC/Basin,1.0,1.0,0.316618,31575802,99728262,UT,NorthernGrid,WECC_NW,False
p26,25,BASN,WECC/Basin,1.0,1.0,0.014774,1473432,99728262,UT,NorthernGrid,WECC_NW,False
p27,20,SRSG,WECC/Southwest,1.0,1.0,0.02122,2495113,117581558,AZ,WestConnect,WECC_SW,False
p28,20,SRSG,WECC/Southwest,1.0,1.0,0.563475,66254327,117581558,AZ,WestConnect,WECC_SW,False
p29,20,SRSG,WECC/Southwest,1.0,1.0,0.006631,779701,117581558,AZ,WestConnect,WECC_SW,False
p30,20,SRSG,WECC/Southwest,1.0,1.0,0.109779,12907931,117581558,AZ,WestConnect,WECC_SW,False
p31,20,SRSG,WECC/Southwest,1.0,1.0,0.189756,22311852,117581558,NM,WestConnect,WECC_SW,False
p32,24,RMRG,WECC/Rockies,1.0,1.0,0.035782,2381170,66546505,SD,WestConnect,WECC_NW,False
p33,24,RMRG,WECC/Rockies,1.0,1.0,0.654588,43560529,66546505,CO,WestConnect,WECC_NW,False
p34,24,RMRG,WECC/Rockies,1.0,1.0,0.197731,13158325,66546505,CO,WestConnect,WECC_NW,False
p35,19,SPPN,SPP/North,1.0,1.0,0.015174,781615,51510391,MT,SPP,SPP,False
p36,19,SPPN,SPP/North,1.0,1.0,0.156135,8042599,51510391,ND,SPP,SPP,False
p37,3,MISW,MISO/West,1.0,1.0,0.068884,14538496,211056250,ND,MISO,MISO,False
p38,19,SPPN,SPP/North,1.0,1.0,0.204009,10508587,51510391,SD,SPP,SPP,False
p39,19,SPPN,SPP/North,1.0,1.0,0.032288,1663162,51510391,NE,SPP,SPP,False
p40,19,SPPN,SPP/North,1.0,1.0,0.19559,10074905,51510391,NE,SPP,SPP,False
p41,19,SPPN,SPP/North,1.0,1.0,0.394455,20318517,51510391,NE,SPP,SPP,False
p42,3,MISW,MISO/West,1.0,1.0,0.016793,3544322,211056250,MN,MISO,MISO,False
p43,3,MISW,MISO/West,1.0,1.0,0.280154,59128317,211056250,MN,MISO,MISO,False
p44,3,MISW,MISO/West,1.0,1.0,0.007833,1653192,211056250,MN,MISO,MISO,False
p45,3,MISW,MISO/West,1.0,1.0,0.053655,11324160,211056250,IA,MISO,MISO,False
p46,3,MISW,MISO/West,1.0,1.0,0.046439,9801257,211056250,WI,MISO,MISO,False
p47,17,SPPS,SPP/South,1.0,1.0,0.030691,3274935,106707640,NM,SPP,SPP,False
p48,17,SPPS,SPP/South,1.0,1.0,0.12664,13513457,106707640,TX,SPP,SPP,False
p49,17,SPPS,SPP/South,1.0,1.0,0.004283,457064,106707640,OK,SPP,SPP,False
p50,17,SPPS,SPP/South,1.0,1.0,0.405544,43274688,106707640,OK,SPP,SPP,False
p51,17,SPPS,SPP/South,1.0,1.0,0.205516,21930160,106707640,OK,SPP,SPP,False
p52,18,SPPC,SPP/Central,1.0,1.0,0.021322,1584293,74301613,KS,SPP,SPP,False
p53,18,SPPC,SPP/Central,1.0,1.0,0.532004,39528780,74301613,KS,SPP,SPP,False
p54,18,SPPC,SPP/Central,1.0,1.0,0.27889,20722010,74301613,MO,SPP,SPP,False
p55,18,SPPC,SPP/Central,1.0,1.0,0.167783,12466529,74301613,MO,SPP,SPP,False
p56,17,SPPS,SPP/South,1.0,1.0,0.1493,15931485,106707640,AR,SPP,SPP,False
p57,17,SPPS,SPP/South,1.0,1.0,0.078025,8325851,106707640,TX,SPP,SPP,False
p58,6,MISS,MISO/South,1.0,1.0,0.494425,105628807,213639562,LA,MISO,MISO,False
p59,20,SRSG,WECC/Southwest,1.0,1.0,0.109138,12832634,117581558,TX,WestConnect,WECC_SW,False
p60,1,TRE,TRE (Texas),1.0,1.0,0.00799,3284200,411044288,TX,ERCOT,ERCOT,False
p61,1,TRE,TRE (Texas),1.0,1.0,0.01533,6301145,411044288,TX,ERCOT,ERCOT,False
p62,1,TRE,TRE (Texas),1.0,1.0,0.014542,5977610,411044288,TX,ERCOT,ERCOT,False
p63,1,TRE,TRE (Texas),1.0,1.0,0.369127,151727633,411044288,TX,ERCOT,ERCOT,False
