LOAD_ZONE,PERIOD,historical_gen_twh,historical_load_twh,historical_annual_ratio,historical_min_annual_ratio,historical_max_annual_ratio,historical_peak_load_mw,min_annual_ratio,max_annual_ratio,min_peak_share,max_peak_share
Arizona_Public_Service_Co,,54.385,76.183,0.714,0.669,0.754,13689.0,,,,
Avista_Corp,,2.188,16.348,0.134,0.125,0.142,2166.0,,,,
Bonneville_Power_Administration,,32.281,67.845,0.476,0.432,0.505,6917.0,,,,
CAISO,,78.638,271.259,0.29,0.279,0.301,26517.0,,,,
Duke_Energy_Carolinas_LLC,,48.548,98.457,0.493,0.479,0.51,13897.0,,,,
Duke_Energy_Progress_East,,23.967,66.485,0.361,0.338,0.379,13014.0,,,,
ERCOT,,236.81,376.138,0.629,0.611,0.639,29727.0,,,,
El_Paso_Electric,,3.048,7.464,0.409,0.401,0.42,1495.0,,,,
Florida_Power_and_Light,,60.705,87.046,0.697,0.687,0.714,17693.0,,,,
ISONE,,58.044,118.254,0.491,0.469,0.501,11254.0,,,,
Idaho_Power_Co,,1.672,21.302,0.079,0.072,0.092,2863.0,,,,
MISO,,462.495,691.183,0.669,0.631,0.7,17178.0,,,,
NYISO,,53.275,145.11,0.367,0.346,0.389,24604.0,,,,
Nevada_Power_Co,,26.909,40.698,0.662,0.61,0.704,5881.0,,,,
Northwestern_Energy,,11.037,14.48,0.76,0.628,0.816,1301.0,,,,
PJM,,473.823,763.022,0.621,0.605,0.63,21213.0,,,,
PUD_No2_of_Grant_County,,0.0,4.707,0.0,0.0,0.0,849.0,,,,
PacifiCorp_East,,43.837,42.365,1.037,0.834,1.167,5379.0,,,,
PacifiCorp_West,,3.133,13.337,0.235,0.208,0.254,2018.0,,,,
PowerSouth_Energy_Coop,,49.526,41.339,1.198,1.162,1.224,7952.0,,,,
Public_Service_Co_of_Colorado,,35.08,58.129,0.604,0.56,0.636,7318.0,,,,
Public_Service_Co_of_New_Mexico,,17.055,19.03,0.901,0.703,1.026,3465.0,,,,
Puget_Sound_Energy_Inc,,3.706,46.622,0.079,0.064,0.106,8577.0,,,,
SPP,,148.764,248.029,0.601,0.569,0.639,8750.0,,,,
Seminole_Electric_Coop_Inc,,135.293,153.029,0.886,0.833,0.939,31105.0,,,,
South_Carolina_Electric_Gas_Co,,26.368,54.379,0.485,0.475,0.504,10604.0,,,,
Southern_Co_Services_Inc,,109.105,198.741,0.549,0.532,0.571,27217.0,,,,
Tennessee_Valley_Authority,,57.398,124.759,0.46,0.441,0.471,18593.0,,,,
WAPA_Desert_Southwest_Region,,5.653,10.225,0.553,0.448,0.617,2247.0,,,,
WAPA_Rocky_Mountain_Region,,20.413,8.92,2.29,2.232,2.412,941.0,,,,
WAPA_Upper_Great_Plains_West,,0.0,0.107,0.0,0.0,0.0,17.0,,,,
