LOAD_ZONE,PERIOD,historical_gen_twh,historical_load_twh,historical_annual_ratio,historical_min_annual_ratio,historical_max_annual_ratio,historical_peak_load_mw,min_annual_ratio,max_annual_ratio,min_peak_share,max_peak_share
AL,,79.306,86.405,0.918,0.884,0.975,8600.0,,,,
AR,,40.837,48.69,0.837,0.726,0.922,6650.0,,,,
AZ,,60.039,86.408,0.695,0.643,0.728,13689.0,,,,
CA,,78.831,272.7,0.289,0.278,0.3,26517.0,,,,
CO,,35.08,58.129,0.604,0.56,0.636,7318.0,,,,
CT,,24.162,28.523,0.847,0.839,0.863,6274.0,,,,
DE,,3.359,11.623,0.289,0.256,0.322,2642.0,,,,
FL,,203.2,253.652,0.802,0.771,0.843,31105.0,,,,
GA,,72.123,140.098,0.515,0.498,0.532,27217.0,,,,
IA,,23.162,53.581,0.432,0.375,0.494,6494.0,,,,
ID,,3.44,25.685,0.134,0.123,0.149,2863.0,,,,
IL,,52.443,136.392,0.384,0.361,0.407,18962.0,,,,
IN,,75.977,99.945,0.761,0.696,0.785,10805.0,,,,
KS,,19.798,41.215,0.481,0.419,0.518,8324.0,,,,
KY,,58.374,74.522,0.784,0.733,0.83,8808.0,,,,
LA,,52.863,93.598,0.565,0.542,0.583,13516.0,,,,
MA,,15.709,53.293,0.295,0.283,0.315,11254.0,,,,
MD,,17.529,70.462,0.249,0.229,0.268,13188.0,,,,
ME,,4.045,11.863,0.339,0.23,0.403,1929.0,,,,
MI,,65.001,99.91,0.65,0.587,0.696,17178.0,,,,
MN,,25.047,66.29,0.378,0.356,0.404,10059.0,,,,
MO,,56.568,79.18,0.716,0.583,0.802,7640.0,,,,
MS,,54.823,48.669,1.127,1.079,1.2,6959.0,,,,
MT,,11.112,15.252,0.727,0.612,0.775,1301.0,,,,
NC,,62.954,137.686,0.457,0.44,0.468,13897.0,,,,
ND,,24.095,23.885,1.015,0.884,1.129,3137.0,,,,
NE,,19.369,32.622,0.594,0.55,0.619,3809.0,,,,
NH,,5.345,11.038,0.484,0.423,0.543,2220.0,,,,
NJ,,30.928,76.249,0.406,0.389,0.416,17237.0,,,,
NM,,21.672,26.887,0.81,0.673,0.923,3465.0,,,,
NV,,26.909,40.698,0.662,0.61,0.704,5881.0,,,,
NY,,53.275,145.11,0.367,0.346,0.389,24604.0,,,,
OH,,101.37,148.383,0.683,0.664,0.71,11340.0,,,,
OK,,45.301,66.657,0.682,0.612,0.773,8750.0,,,,
OR,,20.314,53.504,0.38,0.343,0.404,6917.0,,,,
PA,,147.5,144.313,1.022,0.998,1.061,21213.0,,,,
RI,,8.399,7.907,1.063,0.873,1.182,1786.0,,,,
SC,,35.929,81.634,0.441,0.423,0.457,10604.0,,,,
SD,,2.476,13.189,0.188,0.171,0.197,2051.0,,,,
TN,,28.155,100.322,0.281,0.274,0.289,18593.0,,,,
TX,,283.211,445.379,0.636,0.62,0.645,29727.0,,,,
UT,,31.272,33.456,0.937,0.736,1.085,5379.0,,,,
VA,,54.211,126.245,0.432,0.381,0.53,19699.0,,,,
VT,,0.384,5.631,0.068,0.06,0.078,1033.0,,,,
WA,,19.033,89.53,0.213,0.191,0.234,8577.0,,,,
WI,,43.678,69.667,0.627,0.599,0.658,5417.0,,,,
WV,,51.573,32.797,1.573,1.353,1.826,3171.0,,,,
WY,,32.978,16.117,2.049,1.904,2.192,1139.0,,,,
