LOAD_ZONE,PERIOD,historical_gen_twh,historical_load_twh,historical_annual_ratio,historical_min_annual_ratio,historical_max_annual_ratio,historical_peak_load_mw,min_annual_ratio,max_annual_ratio,min_peak_share,max_peak_share
Arizona_Public_Service_Co,,67.801,76.183,1.157,0.836,1.206,13689.0,,,,
Avista_Corp,,10.842,16.348,0.863,0.62,0.885,2166.0,,,,
Bonneville_Power_Administration,,87.062,67.845,1.67,1.246,1.8,6917.0,,,,
CAISO,,169.241,271.259,0.811,0.599,0.857,26517.0,,,,
Duke_Energy_Carolinas_LLC,,60.462,98.457,0.798,0.582,0.82,13897.0,,,,
Duke_Energy_Progress_East,,36.04,66.485,0.705,0.511,0.728,13014.0,,,,
ERCOT,,345.424,376.138,1.192,0.869,1.266,29727.0,,,,
El_Paso_Electric,,4.04,7.464,0.703,0.513,0.754,1495.0,,,,
Florida_Power_and_Light,,63.55,87.046,0.949,0.718,0.966,17693.0,,,,
ISONE,,72.323,118.254,0.794,0.583,0.818,11254.0,,,,
Idaho_Power_Co,,12.946,21.302,0.792,0.562,0.867,2863.0,,,,
MISO,,589.769,691.183,1.109,0.824,1.149,17178.0,,,,
NYISO,,92.325,145.11,0.827,0.623,0.85,24604.0,,,,
Nevada_Power_Co,,40.697,40.698,1.3,0.975,1.321,5881.0,,,,
Northwestern_Energy,,24.075,14.48,2.159,1.556,2.257,1301.0,,,,
PJM,,528.028,763.022,0.9,0.679,0.91,21213.0,,,,
PUD_No2_of_Grant_County,,49.832,4.707,13.792,8.605,15.141,849.0,,,,
PacifiCorp_East,,51.169,42.365,1.573,1.021,1.734,5379.0,,,,
PacifiCorp_West,,4.831,13.337,0.471,0.331,0.49,2018.0,,,,
PowerSouth_Energy_Coop,,55.347,41.339,1.741,1.287,1.799,7952.0,,,,
Public_Service_Co_of_Colorado,,56.244,58.129,1.258,0.942,1.28,7318.0,,,,
Public_Service_Co_of_New_Mexico,,24.503,19.03,1.672,1.226,1.81,3465.0,,,,
Puget_Sound_Energy_Inc,,13.093,46.622,0.365,0.261,0.389,8577.0,,,,
SPP,,301.426,248.029,1.58,1.196,1.608,8750.0,,,,
Seminole_Electric_Coop_Inc,,147.054,153.029,1.251,0.915,1.297,31105.0,,,,
South_Carolina_Electric_Gas_Co,,30.45,54.379,0.728,0.543,0.75,10604.0,,,,
Southern_Co_Services_Inc,,130.114,198.741,0.852,0.636,0.87,27217.0,,,,
Tennessee_Valley_Authority,,72.927,124.759,0.76,0.535,0.812,18593.0,,,,
WAPA_Desert_Southwest_Region,,9.379,10.225,1.193,0.828,1.339,2247.0,,,,
WAPA_Rocky_Mountain_Region,,28.98,8.92,4.22,3.111,4.393,941.0,,,,
WAPA_Upper_Great_Plains_West,,0.871,0.107,10.642,6.399,13.798,17.0,,,,
