year,allowance_cap_short_tons,allowance_cap_metric_tonnes,allowance_cap_va_short_tons,allowance_cap_va_metric_tonnes,min_reserve_price_per_short_ton,min_reserve_price_per_metric_tonne,ccr_t1_trigger_per_short_ton,ccr_t1_trigger_per_metric_tonne,ccr_t2_trigger_per_short_ton,ccr_t2_trigger_per_metric_tonne,ccr_t1_volume_short_tons,ccr_t1_volume_metric_tonnes,ccr_t2_volume_short_tons,ccr_t2_volume_metric_tonnes
2027,69806919,63327765,93075892,84437020,9.00,9.92,19.50,21.50,29.25,32.25,11746358,10656120,11746358,10656120
2028,61081054,55411816,81441405,73882421,9.63,10.62,20.87,23.01,31.30,34.50,11746358,10656120,11746358,10656120
2029,52355189,47495842,69806919,63327789,10.30,11.35,22.33,24.61,33.49,36.92,11746358,10656120,11746358,10656120
2030,43629324,39579868,58172432,52773157,11.02,12.15,23.89,26.34,35.83,39.50,11746358,10656120,11746358,10656120
2031,35277611,32003320,47036815,42671093,11.79,13.00,25.56,28.17,38.34,42.26,11746358,10656120,11746358,10656120
2032,26925899,24426772,35901199,32569029,12.62,13.91,27.35,30.15,41.02,45.22,11746358,10656120,11746358,10656120
2033,18574187,16850224,24765583,22466965,13.50,14.88,29.26,32.25,43.89,48.38,11746358,10656120,11746358,10656120
2034,16187983,14685495,21583977,19580660,14.45,15.93,31.31,34.51,46.96,51.76,11746358,10656120,11746358,10656120
2035,13801780,12520768,18402373,16694357,15.46,17.04,33.50,36.93,50.25,55.39,11746358,10656120,11746358,10656120
2036,11415578,10356041,15220771,13808055,16.54,18.23,35.85,39.52,53.77,59.27,11746358,10656120,11746358,10656120
2037,9029374,8191313,12039165,10921751,17.70,19.51,38.36,42.28,57.53,63.42,11746358,10656120,11746358,10656120
