period,growth_pct,nercr
2028,0.0351,ERCOT
2030,0.0404,ERCOT
2035,0.0104,ERCOT
2028,0.2017,MISO
2030,0.1970,MISO
2035,0.1275,MISO
2030,0.0651,NPCC_NE
2035,0.0000,NPCC_NE
2028,0.0000,NPCC_NE
2028,0.6335,NPCC_NY
2030,0.6846,NPCC_NY
2035,0.0225,NPCC_NY
2028,0.1354,PJM
2030,0.0159,PJM
2035,0.0024,PJM
2028,0.2010,SERC_C
2030,0.0604,SERC_C
2035,0.0000,SERC_C
2028,0.1165,SERC_E
2030,0.0210,SERC_E
2035,0.0000,SERC_E
2028,0.1476,SERC_FP
2030,0.0396,SERC_FP
2035,0.0126,SERC_FP
2028,0.0786,SERC_SE
2030,0.1080,SERC_SE
2035,0.0436,SERC_SE
2028,0.0173,SPP
2030,0.0440,SPP
2035,0.0939,SPP
2028,0.1475,WECC_CA
2030,0.0000,WECC_CA
2035,0.0838,WECC_CA
2028,0.0437,WECC_NW
2030,0.0027,WECC_NW
2035,0.1213,WECC_NW
2028,0.2319,WECC_SW
2030,0.0484,WECC_SW
2035,0.0268,WECC_SW
