region,avg_base,peak_base,year,avg_growth,peak_growth,avg_targ,peak_targ
p1,5467.20949119374,9391,2023,1,1,5467.20949119374,9391
p1,5467.20949119374,9391,2024,1.02606562597152,1.02606562597152,5609.71572889913,9635.78229349853
p1,5467.20949119374,9391,2025,1.05281066880032,1.05281066880032,5755.93648089516,9886.94499070384
p1,5467.20949119374,9391,2026,1.0802528379121,1.0802528379121,5905.96856832199,10144.6544008325
p1,5467.20949119374,9391,2027,1.10841030433979,1.10841030433979,6059.91133602341,10409.0811680549
p1,5467.20949119374,9391,2028,1.13730171275568,1.13730171275568,6217.86671832876,10680.4003844886
p1,5467.20949119374,9391,2029,1.16694619381714,1.16694619381714,6379.93930654947,10958.7917061368
p1,5467.20949119374,9391,2030,1.19736337683406,1.19736337683406,6546.23641823498,11244.4394718487
p1,5467.20949119374,9391,2031,1.20989096301467,1.20989096301467,6614.72735630335,11362.0860336708
p1,5467.20949119374,9391,2032,1.2225496208637,1.2225496208637,6683.93489064135,11480.9634895311
p1,5467.20949119374,9391,2033,1.2353407217373,1.2353407217373,6753.86651874031,11601.084717835
p1,5467.20949119374,9391,2034,1.24826565133963,1.24826565133963,6824.52981653514,11722.4627317304
p1,5467.20949119374,9391,2035,1.26132580987295,1.26132580987295,6895.93243922502,11845.1106805169
p1,5467.20949119374,9391,2036,1.27452261218938,1.27452261218938,6968.08212210279,11969.0418510704
p1,5467.20949119374,9391,2037,1.2878574879441,1.2878574879441,7040.98668139289,12094.269669283
p1,5467.20949119374,9391,2038,1.30133188175028,1.30133188175028,7114.65401509813,12220.8077015169
p1,5467.20949119374,9391,2039,1.31494725333556,1.31494725333556,7189.09210385529,12348.6696560742
p1,5467.20949119374,9391,2040,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2041,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2042,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2043,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2044,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2045,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2046,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2047,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2048,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2049,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p1,5467.20949119374,9391,2050,1.32870507770018,1.32870507770018,7264.30901179972,12477.8693846824
p10,15722.6103392042,28336,2023,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2024,1.00047244390475,1.00047244390475,15730.0383906257,28349.387170485
p10,15722.6103392042,28336,2025,1.00094511101274,1.00094511101274,15737.4699513848,28362.7806656571
p10,15722.6103392042,28336,2026,1.00141800142943,1.00141800142943,15744.9050231395,28376.1804885043
p10,15722.6103392042,28336,2027,1.00189111526031,1.00189111526031,15752.3436075486,28389.5866420162
p10,15722.6103392042,28336,2028,1.00236445261094,1.00236445261094,15759.7857062715,28402.9991291835
p10,15722.6103392042,28336,2029,1.00283801358691,1.00283801358691,15767.2313209685,28416.4179529987
p10,15722.6103392042,28336,2030,1.00331179829388,1.00331179829388,15774.6804533009,28429.8431164554
p10,15722.6103392042,28336,2031,1.02280409975246,1.02280409975246,16081.1503137485,28982.1769705858
p10,15722.6103392042,28336,2032,1.04267509686358,1.04267509686358,16393.5742583781,29545.2415447265
p10,15722.6103392042,28336,2033,1.06293214691122,1.06293214691122,16712.0679628988,30119.2453148763
p10,15722.6103392042,28336,2034,1.08358275011637,1.08358275011637,17036.7493503629,30704.4008072975
p10,15722.6103392042,28336,2035,1.10463455241403,1.10463455241403,17367.738634827,31300.9246772039
p10,15722.6103392042,28336,2036,1.1260953482841,1.1260953482841,17705.1583658613,31909.0377889783
p10,15722.6103392042,28336,2037,1.14797308363735,1.14797308363735,18049.1334739246,32528.9652979478
p10,15722.6103392042,28336,2038,1.17027585875735,1.17027585875735,18399.7913166194,33160.9367337484
p10,15722.6103392042,28336,2039,1.1930119312997,1.1930119312997,18757.2617258466,33805.1860853083
p10,15722.6103392042,28336,2040,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2041,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2042,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2043,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2044,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2045,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2046,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2047,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2048,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2049,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p10,15722.6103392042,28336,2050,1.21618971934936,1.21618971934936,19121.6770558761,34461.9518874835
p100,387.620939334638,703,2023,1,1,387.620939334638,703
p100,387.620939334638,703,2024,1.04127986482784,1.04127986482784,403.621879314812,732.01974497397
p100,387.620939334638,703,2025,1.08426375689588,1.08426375689588,420.283335934485,762.237421097805
p100,387.620939334638,703,2026,1.12902201821827,1.12902201821827,437.632575231254,793.702478807442
p100,387.620939334638,703,2027,1.17562789451797,1.17562789451797,455.697988781059,826.466409846134
p100,387.620939334638,703,2028,1.22415765509151,1.22415765509151,474.509140160259,860.582831529331
p100,387.620939334638,703,2029,1.27469071762165,1.27469071762165,494.096813325648,896.107574488021
