region,avg_base,peak_base,year,avg_growth,peak_growth,avg_targ,peak_targ
p1,5467.20949119374,9391,2023,1,1,5467.20949119374,9391
p1,5467.20949119374,9391,2024,1.05143103670179,1.04553909090683,5748.39374319171,9818.65760270606
p1,5467.20949119374,9391,2025,1.10550722493981,1.09315199061428,6044.03959277416,10265.7903438587
p1,5467.20949119374,9391,2026,1.16236460759978,1.14293313848985,6354.89081489722,10733.2851035582
p1,5467.20949119374,9391,2027,1.22214622439411,1.19498127458397,6681.72943763408,11222.0691496181
p1,5467.20949119374,9391,2028,1.28500247171588,1.24939963547921,7025.37770957249,11733.1119767853
p1,5467.20949119374,9391,2029,1.3510914810006,1.30629615905826,7386.70016839747,12267.4272297161
p1,5467.20949119374,9391,2030,1.42057951654742,1.36578369859686,7766.60581586346,12826.0747135231
p1,5467.20949119374,9391,2031,1.4447089372425,1.38632473489542,7898.5264137046,13018.9755854029
p1,5467.20949119374,9391,2032,1.46924821105477,1.40717470310805,8032.68776439806,13214.7776368877
p1,5467.20949119374,9391,2033,1.49420429959263,1.42833824949146,8169.12792851534,13413.5245009743
p1,5467.20949119374,9391,2034,1.5195842827117,1.44982009018085,8307.88561311023,13615.2604668884
p1,5467.20949119374,9391,2035,1.54539536052331,1.47162501224089,8449.00018269979,13820.0304899542
p1,5467.20949119374,9391,2036,1.57164485543713,1.49375787473249,8592.51167043168,14027.8802016128
p1,5467.20949119374,9391,2037,1.59834021423849,1.51622360979556,8738.4607894413,14238.8559195901
p1,5467.20949119374,9391,2038,1.62548901020097,1.53902722374815,8886.88894440185,14453.0046582189
p1,5467.20949119374,9391,2039,1.65309894523487,1.56217379820204,9037.83824327044,14670.3741389153
p1,5467.20949119374,9391,2040,1.68117785207221,1.58566849119515,9191.35150923387,14891.0128008136
p1,5467.20949119374,9391,2041,1.69478386625979,1.5970313794039,9265.73843913753,14997.721683982
p1,5467.20949119374,9391,2042,1.70849999587736,1.60847569398214,9340.72739316517,15105.1952421862
p1,5467.20949119374,9391,2043,1.72232713210494,1.62000201843059,9416.32324358461,15213.4389550817
p1,5467.20949119374,9391,2044,1.73626617333499,1.63161094043137,9492.53090209566,15322.458341591
p1,5467.20949119374,9391,2045,1.75031802523078,1.6433030518779,9569.35532014922,15432.2589601854
p1,5467.20949119374,9391,2046,1.76448360078528,1.6550789489051,9646.80148926897,15542.8464091678
p1,5467.20949119374,9391,2047,1.77876382038039,1.6669392319198,9724.87444137572,15654.2263269588
p1,5467.20949119374,9391,2048,1.79315961184685,1.67888450563134,9803.57924911437,15766.4043923839
p1,5467.20949119374,9391,2049,1.80767191052442,1.69091537908239,9882.92102618341,15879.3863249628
p1,5467.20949119374,9391,2050,1.82230165932272,1.70303246568004,9962.90492766727,15993.1778852013
p10,15722.6103392042,28336,2023,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2024,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2025,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2026,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2027,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2028,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2029,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2030,1,1,15722.6103392042,28336
p10,15722.6103392042,28336,2031,1.01693919530438,1.01499863903828,15988.9387064347,28761.0014357888
p10,15722.6103392042,28336,2032,1.03416532694633,1.03022223724957,16259.7784618928,29192.3773147037
p10,15722.6103392042,28336,2033,1.05168325539649,1.04567416871529,16535.2060248648,29630.2232447163
p10,15722.6103392042,28336,2034,1.069497923458,1.0613578581235,16815.2991091182,30074.6362677876
p10,15722.6103392042,28336,2035,1.08761435766109,1.07727678152794,17100.1367448291,30525.7148813758
p10,15722.6103392042,28336,2036,1.10603766968136,1.0934344671184,17389.7993008815,30983.5590602671
p10,15722.6103392042,28336,2037,1.1247730577821,1.10983449600273,17684.3685075431,31448.2702787333
p10,15722.6103392042,28336,2038,1.14382580828098,1.12648050300051,17983.9274795271,31919.9515330224
p10,15722.6103392042,28336,2039,1.16320129704164,1.14337617744868,18288.5607394427,32398.7073641857
p10,15722.6103392042,28336,2040,1.18290499099054,1.1605252640192,18598.3542416441,32884.6438812481
p10,15722.6103392042,28336,2041,1.18966447965181,1.16639715058179,18704.6310479575,33051.0296588857
p10,15722.6103392042,28336,2042,1.19646259414297,1.17229874701187,18811.5151531433,33218.2572953283
p10,15722.6103392042,28336,2043,1.20329955518408,1.17823020363185,18919.010027497,33386.331050112
p10,15722.6103392042,28336,2044,1.21017558475646,1.18419167152474,19027.1191611445,33555.2552043251
p10,15722.6103392042,28336,2045,1.21709090610992,1.19018330253799,19135.8460641552,33725.0340607166
p10,15722.6103392042,28336,2046,1.22404574376995,1.19620524928734,19245.1942666562,33895.671943806
p10,15722.6103392042,28336,2047,1.23104032354508,1.2022576651607,19355.1673189471,34067.1731999937
p10,15722.6103392042,28336,2048,1.23807487253417,1.20834070432211,19465.7687916146,34239.5421976713
p10,15722.6103392042,28336,2049,1.2451496191338,1.2144545217156,19577.0022756492,34412.7833273331
