region,avg_base,peak_base,avg_growth,peak_growth,year,avg_targ,peak_targ
p1,5467.20949119374,9391,1,1,2023,5467.20949119374,9391
p1,5467.20949119374,9391,1.0171326719826,1.01868965188023,2024,5560.87739806649,9566.51452080726
p1,5467.20949119374,9391,1.03455887241445,1.03772860684787,2025,5656.15008646299,9745.30934690833
p1,5467.20949119374,9391,1.05228363022221,1.05712339325601,2026,5753.0550505787,9927.44578606722
p1,5467.20949119374,9391,1.07031206049147,1.07688066147042,2027,5851.62025565807,10112.9862918687
p1,5467.20949119374,9391,1.08864936594288,1.09700718614985,2028,5951.87414606497,10301.9944851333
p1,5467.20949119374,9391,1.10730083843364,1.11750986856911,2029,6053.8456534912,10494.5351757325
p1,5467.20949119374,9391,1.12627186048458,1.13839573898539,2030,6157.56420530572,10690.6743848118
p1,5467.20949119374,9391,1.14556790683349,1.15967195904897,2031,6263.059733047,10890.4793674288
p1,5467.20949119374,9391,1.16519454601506,1.18134582425886,2032,6370.36268106069,11094.0186356149
p1,5467.20949119374,9391,1.18515744196784,1.20342476646442,2033,6479.50401528547,11301.3619818674
p1,5467.20949119374,9391,1.20546235566881,1.22591635641369,2034,6590.51523218927,11512.580503081
p1,5467.20949119374,9391,1.22611514679585,1.24882830634935,2035,6703.42836785867,11727.7466249267
p1,5467.20949119374,9391,1.24712177541879,1.2721684726532,2036,6818.27600724402,11946.9341266862
p1,5467.20949119374,9391,1.2684883037194,1.29594485854009,2037,6935.09129356293,12170.21816655
p1,5467.20949119374,9391,1.29022089774078,1.32016561680218,2038,7053.9079378649,12397.6753073893
p1,5467.20949119374,9391,1.31232582916686,1.34483905260447,2039,7174.76022875976,12629.3835430085
p1,5467.20949119374,9391,1.33480947713227,1.36997362633258,2040,7297.68304231287,12865.4223248893
p1,5467.20949119374,9391,1.35767833006323,1.39557795649384,2041,7422.71185210977,13105.8725894337
p1,5467.20949119374,9391,1.38093898755008,1.42166082267244,2042,7549.88273949329,13350.8167857168
p1,5467.20949119374,9391,1.40459816225176,1.44823116853995,2043,7679.23240397609,13600.3389037587
p1,5467.20949119374,9391,1.42866268183297,1.47529810492206,2044,7810.79817383153,13854.5245033231
