tech_long,tech_short
Batteries,Storage
Battery_*_Moderate,Storage
Biomass,Biomass
Conventional Hydroelectric,Hydroelectric
Conventional Steam Coal,Coal
distributed_generation,Distributed generation
Geothermal,Geothermal
Hydroelectric Pumped Storage,Storage
Hydrogen_F-Frame CT_Moderate,Hydrogen
Hydrogen_H-Frame CC_Moderate,Hydrogen
LandbasedWind_Class3_Moderate,Wind
Natural Gas Fired Combined Cycle,Natural gas
Natural Gas Fired Combustion Turbine,Natural gas
Natural Gas Internal Combustion Engine,Natural gas
Natural Gas Steam Turbine,Natural gas
NaturalGas_F-Frame CT_Moderate,Natural gas
NaturalGas_H-Frame CC_Moderate,Natural gas
Nuclear,Nuclear
Nuclear_Nuclear_Moderate,Nuclear
Onshore Wind Turbine,Wind
Petroleum Liquids,Oil
Small Hydroelectric,Hydroelectric
Solar Photovoltaic,Solar
UtilityPV_Class1_Moderate,Solar
NaturalGas_H-Frame CC 95% CCS_Moderate,Natural gas
OffShoreWind_Class12_Moderate_floating_0,Wind
OffShoreWind_Class12_Moderate_floating_1,Wind
OffShoreWind_Class3_Moderate_fixed_0,Wind
OffShoreWind_Class3_Moderate_fixed_1,Wind
Offshore Wind Turbine,Wind
