scenario_id,zone,state,variant,tech,built_MW
p8_BASE,p8,CA,BASE,gas_cc,60.0989
p8_BASE,p8,CA,BASE,wind,1781.66
p8_BASE,p8,CA,BASE,solar,178.937
p8_SC,p8,CA,SC,gas_cc,595.359
p8_SC,p8,CA,SC,wind,913.204
p8_SC,p8,CA,SC,solar,897.783
p8_MC,p8,CA,MC,gas_cc,60.0987
p8_MC,p8,CA,MC,wind,1781.66
p8_MC,p8,CA,MC,solar,178.937
p8_SC_CURT,p8,CA,SC_CURT,gas_cc,595.359
p8_SC_CURT,p8,CA,SC_CURT,wind,913.204
p8_SC_CURT,p8,CA,SC_CURT,solar,897.783
p8_MC_CURT,p8,CA,MC_CURT,gas_cc,84.4641
p8_MC_CURT,p8,CA,MC_CURT,wind,1681.22
p8_MC_CURT,p8,CA,MC_CURT,solar,251.441
p8_FLEX_SC,p8,CA,FLEX_SC,gas_cc,1000.0
p8_FLEX_SC,p8,CA,FLEX_SC,solar,1118.09
p8_FLEX_MC,p8,CA,FLEX_MC,gas_cc,1000.0
p8_FLEX_MC,p8,CA,FLEX_MC,solar,1118.09
p8_SC_CFE75,p8,CA,SC_CFE75,gas_cc,260.772
p8_SC_CFE75,p8,CA,SC_CFE75,gas_ct,100.207
p8_SC_CFE75,p8,CA,SC_CFE75,wind,1633.3
p8_SC_CFE75,p8,CA,SC_CFE75,solar,924.936
p8_SC_CFE100,p8,CA,SC_CFE100,gas_cc,163.799
p8_SC_CFE100,p8,CA,SC_CFE100,gas_ct,78.7131
p8_SC_CFE100,p8,CA,SC_CFE100,wind,1804.83
p8_SC_CFE100,p8,CA,SC_CFE100,solar,948.863
p8_MC_CFE75,p8,CA,MC_CFE75,gas_cc,60.0986
p8_MC_CFE75,p8,CA,MC_CFE75,wind,1781.66
p8_MC_CFE75,p8,CA,MC_CFE75,solar,178.937
p8_MC_CFE100,p8,CA,MC_CFE100,wind,1998.6
p8_MC_CFE100,p8,CA,MC_CFE100,solar,118.453
p8_FLEX_SC_CFE100,p8,CA,FLEX_SC_CFE100,gas_cc,850.222
p8_FLEX_SC_CFE100,p8,CA,FLEX_SC_CFE100,wind,1023.61
p8_FLEX_SC_CFE100,p8,CA,FLEX_SC_CFE100,solar,830.223
p8_FLEX_MC_CFE100,p8,CA,FLEX_MC_CFE100,gas_cc,850.222
p8_FLEX_MC_CFE100,p8,CA,FLEX_MC_CFE100,wind,1023.61
p8_FLEX_MC_CFE100,p8,CA,FLEX_MC_CFE100,solar,830.224
p27_BASE,p27,AZ,BASE,gas_cc,999.998
p27_SC,p27,AZ,SC,gas_cc,744.252
p27_SC,p27,AZ,SC,wind,380.858
p27_MC,p27,AZ,MC,gas_cc,875.646
p27_MC,p27,AZ,MC,wind,153.964
p27_SC_CURT,p27,AZ,SC_CURT,gas_cc,744.252
p27_SC_CURT,p27,AZ,SC_CURT,wind,380.858
p27_MC_CURT,p27,AZ,MC_CURT,gas_cc,751.29
p27_MC_CURT,p27,AZ,MC_CURT,wind,307.93
p27_FLEX_SC,p27,AZ,FLEX_SC,gas_cc,1000.0
p27_FLEX_SC,p27,AZ,FLEX_SC,solar,206.691
p27_FLEX_MC,p27,AZ,FLEX_MC,gas_cc,1000.0
p27_FLEX_MC,p27,AZ,FLEX_MC,solar,206.691
p27_SC_CFE75,p27,AZ,SC_CFE75,gas_cc,697.739
p27_SC_CFE75,p27,AZ,SC_CFE75,wind,1545.16
p27_SC_CFE75,p27,AZ,SC_CFE75,solar,61.8048
p27_SC_CFE100,p27,AZ,SC_CFE100,gas_cc,706.706
p27_SC_CFE100,p27,AZ,SC_CFE100,wind,1768.32
p27_SC_CFE100,p27,AZ,SC_CFE100,solar,29.8679
p27_MC_CFE75,p27,AZ,MC_CFE75,gas_cc,74.5895
p27_MC_CFE75,p27,AZ,MC_CFE75,wind,1645.14
p27_MC_CFE100,p27,AZ,MC_CFE100,gas_cc,67.1835
p27_MC_CFE100,p27,AZ,MC_CFE100,wind,1664.63
p27_FLEX_SC_CFE100,p27,AZ,FLEX_SC_CFE100,gas_cc,1000.0
p27_FLEX_SC_CFE100,p27,AZ,FLEX_SC_CFE100,solar,1572.03
p27_FLEX_MC_CFE100,p27,AZ,FLEX_MC_CFE100,gas_cc,1000.0
p27_FLEX_MC_CFE100,p27,AZ,FLEX_MC_CFE100,solar,1572.03
p33_SC,p33,CO,SC,gas_cc,750.0
p33_SC,p33,CO,SC,solar,168.188
p33_MC,p33,CO,MC,gas_cc,99.9999
p33_MC,p33,CO,MC,solar,22.4251
p33_SC_CURT,p33,CO,SC_CURT,gas_cc,750.0
p33_SC_CURT,p33,CO,SC_CURT,solar,168.188
p33_MC_CURT,p33,CO,MC_CURT,gas_cc,199.999
p33_FLEX_SC,p33,CO,FLEX_SC,gas_cc,957.242
p33_FLEX_SC,p33,CO,FLEX_SC,wind,164.144
p33_FLEX_SC,p33,CO,FLEX_SC,solar,56.9036
p33_FLEX_MC,p33,CO,FLEX_MC,gas_cc,999.999
p33_SC_CFE75,p33,CO,SC_CFE75,gas_cc,679.228
p33_SC_CFE75,p33,CO,SC_CFE75,wind,1447.29
p33_SC_CFE75,p33,CO,SC_CFE75,solar,571.506
p33_SC_CFE100,p33,CO,SC_CFE100,gas_cc,654.045
p33_SC_CFE100,p33,CO,SC_CFE100,wind,1962.28
p33_SC_CFE100,p33,CO,SC_CFE100,solar,820.188
p33_MC_CFE75,p33,CO,MC_CFE75,gas_cc,68.4824
p33_MC_CFE75,p33,CO,MC_CFE75,wind,960.415
p33_MC_CFE75,p33,CO,MC_CFE75,solar,81.3543
p33_MC_CFE100,p33,CO,MC_CFE100,gas_cc,46.4556
p33_MC_CFE100,p33,CO,MC_CFE100,wind,1487.42
p33_MC_CFE100,p33,CO,MC_CFE100,solar,184.137
p33_FLEX_SC_CFE100,p33,CO,FLEX_SC_CFE100,gas_cc,512.2
p33_FLEX_SC_CFE100,p33,CO,FLEX_SC_CFE100,wind,2205.77
p33_FLEX_SC_CFE100,p33,CO,FLEX_SC_CFE100,solar,251.119
p33_FLEX_MC_CFE100,p33,CO,FLEX_MC_CFE100,gas_cc,486.878
p33_FLEX_MC_CFE100,p33,CO,FLEX_MC_CFE100,wind,2230.25
p33_FLEX_MC_CFE100,p33,CO,FLEX_MC_CFE100,solar,21.2402
p48_BASE,p48,TX,BASE,wind,1229.12
p48_SC,p48,TX,SC,gas_cc,244.289
p48_SC,p48,TX,SC,wind,1376.49
p48_SC,p48,TX,SC,solar,698.514
p48_MC,p48,TX,MC,wind,1229.12
p48_SC_CURT,p48,TX,SC_CURT,gas_cc,244.289
p48_SC_CURT,p48,TX,SC_CURT,wind,1376.49
p48_SC_CURT,p48,TX,SC_CURT,solar,698.514
p48_MC_CURT,p48,TX,MC_CURT,wind,1258.17
p48_MC_CURT,p48,TX,MC_CURT,solar,31.4652
p48_FLEX_SC,p48,TX,FLEX_SC,gas_cc,779.267
p48_FLEX_SC,p48,TX,FLEX_SC,wind,1047.95
p48_FLEX_SC,p48,TX,FLEX_SC,solar,191.827
p48_FLEX_MC,p48,TX,FLEX_MC,gas_cc,779.267
p48_FLEX_MC,p48,TX,FLEX_MC,wind,1047.95
p48_FLEX_MC,p48,TX,FLEX_MC,solar,191.827
p48_SC_CFE75,p48,TX,SC_CFE75,gas_cc,244.289
p48_SC_CFE75,p48,TX,SC_CFE75,wind,1376.49
p48_SC_CFE75,p48,TX,SC_CFE75,solar,698.514
p48_SC_CFE100,p48,TX,SC_CFE100,gas_cc,147.996
p48_SC_CFE100,p48,TX,SC_CFE100,wind,1506.9
p48_SC_CFE100,p48,TX,SC_CFE100,solar,886.019
p48_MC_CFE75,p48,TX,MC_CFE75,wind,1229.12
p48_MC_CFE100,p48,TX,MC_CFE100,wind,1286.48
p48_FLEX_SC_CFE100,p48,TX,FLEX_SC_CFE100,gas_cc,677.601
p48_FLEX_SC_CFE100,p48,TX,FLEX_SC_CFE100,gas_ct,52.3354
p48_FLEX_SC_CFE100,p48,TX,FLEX_SC_CFE100,wind,1237.01
p48_FLEX_SC_CFE100,p48,TX,FLEX_SC_CFE100,solar,343.132
p48_FLEX_MC_CFE100,p48,TX,FLEX_MC_CFE100,gas_cc,677.6
p48_FLEX_MC_CFE100,p48,TX,FLEX_MC_CFE100,gas_ct,52.3356
p48_FLEX_MC_CFE100,p48,TX,FLEX_MC_CFE100,wind,1237.01
p48_FLEX_MC_CFE100,p48,TX,FLEX_MC_CFE100,solar,343.132
p94_SC,p94,GA,SC,gas_cc,893.684
p94_MC,p94,GA,MC,gas_cc,119.158
p94_SC_CURT,p94,GA,SC_CURT,gas_cc,893.684
p94_MC_CURT,p94,GA,MC_CURT,gas_cc,200.0
p94_FLEX_SC,p94,GA,FLEX_SC,gas_cc,893.684
p94_FLEX_MC,p94,GA,FLEX_MC,gas_cc,119.158
p94_SC_CFE75,p94,GA,SC_CFE75,gas_cc,434.741
p94_SC_CFE75,p94,GA,SC_CFE75,wind,1591.95
p94_SC_CFE75,p94,GA,SC_CFE75,solar,674.482
p94_SC_CFE100,p94,GA,SC_CFE100,gas_cc,382.562
p94_SC_CFE100,p94,GA,SC_CFE100,wind,1810.34
p94_SC_CFE100,p94,GA,SC_CFE100,solar,823.741
p94_MC_CFE75,p94,GA,MC_CFE75,wind,1027.94
p94_MC_CFE75,p94,GA,MC_CFE75,solar,180.399
p94_MC_CFE100,p94,GA,MC_CFE100,wind,1254.53
p94_MC_CFE100,p94,GA,MC_CFE100,solar,388.232
p94_FLEX_SC_CFE100,p94,GA,FLEX_SC_CFE100,gas_cc,382.562
p94_FLEX_SC_CFE100,p94,GA,FLEX_SC_CFE100,wind,1810.34
p94_FLEX_SC_CFE100,p94,GA,FLEX_SC_CFE100,solar,823.741
p94_FLEX_MC_CFE100,p94,GA,FLEX_MC_CFE100,wind,1254.53
p94_FLEX_MC_CFE100,p94,GA,FLEX_MC_CFE100,solar,388.232
p100_BASE,p100,VA,BASE,wind,1334.23
p100_SC,p100,VA,SC,gas_cc,717.546
p100_SC,p100,VA,SC,wind,402.107
p100_SC,p100,VA,SC,solar,54.5788
p100_MC,p100,VA,MC,gas_cc,76.8952
p100_MC,p100,VA,MC,wind,1247.86
p100_MC,p100,VA,MC,solar,26.6026
p100_SC_CURT,p100,VA,SC_CURT,gas_cc,717.546
p100_SC_CURT,p100,VA,SC_CURT,wind,402.106
p100_SC_CURT,p100,VA,SC_CURT,solar,54.5786
p100_MC_CURT,p100,VA,MC_CURT,gas_cc,133.838
p100_MC_CURT,p100,VA,MC_CURT,wind,1171.81
p100_MC_CURT,p100,VA,MC_CURT,solar,103.676
p100_FLEX_SC,p100,VA,FLEX_SC,gas_cc,762.19
p100_FLEX_SC,p100,VA,FLEX_SC,gas_ct,107.881
