scenario_id,zone,state,variant,siting,soft_cap_mw,cfe_target,grid_draw_MWh_yr,grid_draw_MW_mean,onsite_MWh_yr,grid_fraction_pct,onsite_build_MW,storage_power_MW,storage_energy_MWh,annual_cap_excess_MWh,hours_above_grid_cap,grid_cap_penalty_per_yr,cfe_shortfall_MWh,cfe_shortfall_penalty_per_yr,annual_co2_tonne,co2_lb_kg_per_MWh,scope1_co2_tonne,mb_uncovered_grid_MWh,annual_co2_mb_tonne,co2_mb_kg_per_MWh,system_co2_tonne,total_system_cost,gas_cc_MW,gas_ct_MW,nuclear_MW,wind_MW,solar_MW,consequential_co2_tonne,co2_consequential_kg_per_MWh
p8_BASE,p8,CA,BASE,fixed,,,2940680,335.7,5819320,33.6,2020.7,61.2,225.3,0.0,0.0,0,0.0,0,297096,33.9,104770,0,104770,12.0,1017809589,804066160231.8738,60.1,0.0,0,1781.7,178.9,290028,33.1
p8_SC,p8,CA,SC,fixed,250.0,,781099,89.2,7978901,8.9,2406.3,103.6,409.0,0.0,3.4,2,0.0,0,1069216,122.1,1023549,0,1023549,116.8,1017570130,804168712600.267,595.4,0.0,0,913.2,897.8,50569,5.8
p8_MC,p8,CA,MC,fixed,900.0,,2940670,335.7,5819330,33.6,2020.7,61.2,225.3,0.0,3.4,1,0.0,0,297110,33.9,104769,0,104769,12.0,1017806474,804066070207.2227,60.1,0.0,0,1781.7,178.9,286913,32.8
p8_SC_CURT,p8,CA,SC_CURT,fixed,250.0,,781100,89.2,7978900,8.9,2406.3,103.6,409.0,0.0,3.4,3,0.0,0,1069206,122.1,1023548,0,1023548,116.8,1017570016,804168756464.4568,595.4,0.0,0,913.2,897.8,50455,5.8
p8_MC_CURT,p8,CA,MC_CURT,fixed,900.0,,2886490,329.5,5873510,33.0,2017.1,54.7,103.3,0.0,3.4,1,0.0,0,347405,39.7,149237,0,149237,17.0,1017829173,804066578450.3594,84.5,0.0,0,1681.2,251.4,309612,35.3
p8_FLEX_SC,p8,CA,FLEX_SC,flex,250.0,,108,0.0,8759892,0.0,2118.1,0.0,0.0,0.0,3.4,3,0.0,0,2040718,233.0,2040718,0,2040718,233.0,1017522274,804353806048.2573,1000.0,0.0,0,0.0,1118.1,2713,0.3
p8_FLEX_MC,p8,CA,FLEX_MC,flex,900.0,,108,0.0,8759892,0.0,2118.1,0.0,0.0,0.0,3.4,1,0.0,0,2040718,233.0,2040718,0,2040718,233.0,1017519821,804353737959.1466,1000.0,0.0,0,0.0,1118.1,260,0.0
p8_SC_CFE75,p8,CA,SC_CFE75,fixed,250.0,0.75,635796,72.6,8124204,7.3,2919.2,464.2,1856.8,0.0,3.4,4,4470.5,2235255,496228,56.6,459434,0,459434,52.4,1017712501,804207457772.8042,260.8,100.2,0,1633.3,924.9,192940,22.0
p8_SC_CFE100,p8,CA,SC_CFE100,fixed,250.0,1.0,674020,76.9,8085980,7.7,2996.2,723.5,2893.9,0.0,3.4,3,6984.4,3492190,370695,42.3,332878,0,332878,38.0,1017527025,804259312893.8864,163.8,78.7,0,1804.8,948.9,7464,0.9
p8_MC_CFE75,p8,CA,MC_CFE75,fixed,900.0,0.75,2940680,335.7,5819320,33.6,2020.7,61.2,225.3,0.0,3.4,2,0.0,0,297083,33.9,104769,0,104769,12.0,1017805695,804066067230.6057,60.1,0.0,0,1781.7,178.9,286134,32.7
