CO2_PROGRAM,PERIOD,LOAD_ZONE,carbon_cap_tco2_per_yr,carbon_cost_dollar_per_tco2,carbon_floor_price_dollar_per_tco2
ETS 1,2028,p121,55411816,.,10.62
ETS 1,2028,p123,0,.,10.62
ETS 1,2028,p125,0,.,10.62
ETS 1,2028,p126,0,.,10.62
ETS 1,2028,p127,0,.,10.62
ETS 1,2028,p128,0,.,10.62
ETS 1,2028,p129,0,.,10.62
ETS 1,2028,p130,0,.,10.62
ETS 1,2028,p131,0,.,10.62
ETS 1,2028,p132,0,.,10.62
ETS 1,2028,p133,0,.,10.62
ETS 1,2028,p134,0,.,10.62
ETS 2,2028,p8,0,33.43,0
ETS 2,2028,p9,0,33.43,0
ETS 2,2028,p10,0,33.43,0
ETS 2,2028,p11,0,33.43,0
ETS 3,2028,p1,0,33.43,0
ETS 3,2028,p2,0,33.43,0
ETS 3,2028,p3,0,33.43,0
ETS 3,2028,p4,0,33.43,0
ETS 1,2030,p121,39579868,.,12.15
ETS 1,2030,p123,0,.,12.15
ETS 1,2030,p125,0,.,12.15
ETS 1,2030,p126,0,.,12.15
ETS 1,2030,p127,0,.,12.15
ETS 1,2030,p128,0,.,12.15
ETS 1,2030,p129,0,.,12.15
ETS 1,2030,p130,0,.,12.15
ETS 1,2030,p131,0,.,12.15
ETS 1,2030,p132,0,.,12.15
ETS 1,2030,p133,0,.,12.15
ETS 1,2030,p134,0,.,12.15
ETS 2,2030,p8,0,33.43,0
ETS 2,2030,p9,0,33.43,0
ETS 2,2030,p10,0,33.43,0
ETS 2,2030,p11,0,33.43,0
ETS 3,2030,p1,0,33.43,0
ETS 3,2030,p2,0,33.43,0
ETS 3,2030,p3,0,33.43,0
ETS 3,2030,p4,0,33.43,0
ETS 1,2035,p121,12520768,.,17.04
ETS 1,2035,p123,0,.,17.04
ETS 1,2035,p125,0,.,17.04
ETS 1,2035,p126,0,.,17.04
ETS 1,2035,p127,0,.,17.04
ETS 1,2035,p128,0,.,17.04
ETS 1,2035,p129,0,.,17.04
ETS 1,2035,p130,0,.,17.04
ETS 1,2035,p131,0,.,17.04
ETS 1,2035,p132,0,.,17.04
ETS 1,2035,p133,0,.,17.04
ETS 1,2035,p134,0,.,17.04
ETS 2,2035,p8,0,33.43,0
ETS 2,2035,p9,0,33.43,0
ETS 2,2035,p10,0,33.43,0
ETS 2,2035,p11,0,33.43,0
ETS 3,2035,p1,0,33.43,0
ETS 3,2035,p2,0,33.43,0
ETS 3,2035,p3,0,33.43,0
ETS 3,2035,p4,0,33.43,0
ETS 1,2028,p99,4617651.33333333,.,10.62
ETS 1,2028,p100,4617651.33333333,.,10.62
ETS 1,2028,p118,4617651.33333333,.,10.62
ETS 1,2028,p124,4617651.33333333,.,10.62
ETS 1,2030,p99,3298322.33333333,.,12.15
ETS 1,2030,p100,3298322.33333333,.,12.15
ETS 1,2030,p118,3298322.33333333,.,12.15
ETS 1,2030,p124,3298322.33333333,.,12.15
ETS 1,2035,p99,1043397.33333333,.,17.04
ETS 1,2035,p100,1043397.33333333,.,17.04
ETS 1,2035,p118,1043397.33333333,.,17.04
ETS 1,2035,p124,1043397.33333333,.,17.04
