LOAD_ZONE,PERIOD,ee_annual_cost
p1,2028,-226949311.29234654
p1,2030,.
p1,2035,-153350839.3966907
p10,2028,-461807398.2217789
p10,2030,.
p10,2035,-280147483.90112853
p100,2028,-18824718.84251743
p100,2030,.
p100,2035,-13434189.170131322
p101,2028,-584576300.4491813
p101,2030,.
p101,2035,-350225230.0962243
p102,2028,-325238121.9751647
p102,2030,.
p102,2035,-193148234.48428747
p103,2028,-334140954.6610647
p103,2030,.
p103,2035,-199590449.03254518
p104,2028,-31469245.48105803
p104,2030,.
p104,2035,-18228479.776940044
p105,2028,-234100145.40056524
p105,2030,.
p105,2035,-141128184.48847592
p106,2028,-74280550.63376316
p106,2030,.
p106,2035,-48065375.60853861
p107,2028,-116672483.44168018
p107,2030,.
p107,2035,-75167527.93460593
p108,2028,-29521300.185108077
p108,2030,.
p108,2035,-17475322.0322507
p109,2028,-189160176.0146288
p109,2030,.
p109,2035,-115897547.322055
p11,2028,-67797716.84778035
p11,2030,.
p11,2035,-42289202.57760533
p110,2028,-19142038.71254604
p110,2030,.
p110,2035,-11304040.636557316
p111,2028,-218269270.60300636
p111,2030,.
p111,2035,-140088294.55578327
p112,2028,-229681410.11767298
p112,2030,.
p112,2035,-135893013.25041533
p113,2028,-55365565.85909013
p113,2030,.
p113,2035,-33752192.231030926
p114,2028,-87160237.54827593
p114,2030,.
p114,2035,-52563518.93439748
p115,2028,-104282734.43581799
p115,2030,.
p115,2035,-62075049.873495415
p116,2028,-69748160.64194608
p116,2030,.
p116,2035,-42989628.2636898
p117,2028,-51640047.80216238
p117,2030,.
p117,2035,-30389914.710402485
p118,2028,-93851903.72046596
p118,2030,.
p118,2035,-58201305.753292754
p119,2028,-12211734.793589242
p119,2030,.
p119,2035,-7213556.874846577
p12,2028,-47508364.6485003
p12,2030,.
p12,2035,-28899438.596528716
p120,2028,-7284474.033408208
p120,2030,.
p120,2035,-4327620.670498368
p121,2028,-21007991.304577395
p121,2030,.
p121,2035,-12389911.825165555
p122,2028,-401598646.0405416
p122,2030,.
p122,2035,-244038883.49936965
p123,2028,-229804993.83171734
p123,2030,.
p123,2035,-138779632.33082038
p124,2028,-3083389.0450635897
p124,2030,.
p124,2035,-2064010.0519891386
p125,2028,-39846867.59783733
p125,2030,.
p125,2035,-23596703.104045093
p126,2028,-260995544.2346177
p126,2030,.
p126,2035,-154457869.58565158
p127,2028,-434285401.2379409
p127,2030,.
p127,2035,-256103656.90064204
p128,2028,-174185745.94882157
p128,2030,.
p128,2035,-151396172.97866073
p129,2028,-19446696.552820098
p129,2030,.
p129,2035,-11520495.348470775
p13,2028,-121071825.22945058
p13,2030,.
p13,2035,-80661976.50135972
p130,2028,-37920457.14176943
p130,2030,.
p130,2035,-22242477.93129286
p131,2028,-182667210.1344944
p131,2030,.
p131,2035,-108958642.3943992
p132,2028,-97083555.03539868
p132,2030,.
p132,2035,-57636332.1887021
p133,2028,-27625939.992370717
p133,2030,.
p133,2035,-16445585.99447323
p134,2028,-42690993.05857251
p134,2030,.
p134,2035,-26012083.827628013
p14,2028,-18088654.426730346
p14,2030,.
p14,2035,-11389612.341412216
p15,2028,-56116228.760161206
p15,2030,.
p15,2035,-33622873.460377425
p16,2028,-26764367.70473582
p16,2030,.
p16,2035,-17876779.470487356
p17,2028,-27982172.24337776
p17,2030,.
p17,2035,-16582728.455885012
p18,2028,-19549701.888725474
p18,2030,.
p18,2035,-13281265.91440044
p19,2028,-429541.0899095117
p19,2030,.
p19,2035,-266272.7889752372
p2,2028,-93196243.10614397
p2,2030,.
p2,2035,-54148262.72169809
p20,2028,-9552244.04611836
p20,2030,.
p20,2035,-6155527.412070576
p21,2028,-30339685.87410928
p21,2030,.
p21,2035,-19191317.795522
p22,2028,-4999647.770765809
p22,2030,.
p22,2035,-3076509.982542843
p23,2028,-6277379.402968262
p23,2030,.
p23,2035,-4782491.728803994
p24,2028,-30341214.453143608
p24,2030,.
p24,2035,-20889506.311615545
p25,2028,-126701675.69138059
p25,2030,.
p25,2035,-78020636.50942688
p26,2028,-5806976.46758512
p26,2030,.
p26,2035,-3634211.2247534962
p27,2028,-34177632.13782073
p27,2030,.
p27,2035,-21144960.754515342
p28,2028,-259558932.75443107
p28,2030,.
p28,2035,-174353724.98606873
p29,2028,-3584337.974196064
p29,2030,.
p29,2035,-2210876.8059255984
p3,2028,-49165666.87543963
p3,2030,.
p3,2035,-32220611.02932729
p30,2028,-50856658.46610452
p30,2030,.
p30,2035,-33962581.43636135
p31,2028,-89074454.35158208
p31,2030,.
p31,2035,-58396182.19112578
p32,2028,-8879923.093484301
p32,2030,.
p32,2035,-6005160.774915406
p33,2028,-177867487.10873544
p33,2030,.
p33,2035,-109936179.79400991
p34,2028,-57188423.62629873
p34,2030,.
p34,2035,-33597837.55106414
p35,2028,-2859290.2394574694
p35,2030,.
p35,2035,-1763220.0023225516
p36,2028,-32938787.326652553
p36,2030,.
p36,2035,-20814582.282629773
p37,2028,-67632614.21883863
p37,2030,.
p37,2035,-38162659.1444162
p38,2028,-43551061.410640866
p38,2030,.
p38,2035,-24687854.293731015
p39,2028,-7379012.614767518
p39,2030,.
p39,2035,-4246927.450256451
p4,2028,-16867471.471204966
p4,2030,.
p4,2035,-9793747.682088876
p40,2028,-44084653.12472544
p40,2030,.
p40,2035,-25770262.422948606
p41,2028,-82737416.57275194
p41,2030,.
p41,2035,-52038383.20500934
p42,2028,-18520878.311096128
p42,2030,.
p42,2035,-11501318.697951859
p43,2028,-214528838.61269358
p43,2030,.
p43,2035,-123258066.01771806
p44,2028,-6127331.2961469265
p44,2030,.
p44,2035,-3438584.716314227
p45,2028,-47298811.307030305
p45,2030,.
p45,2035,-27027618.876159556
p46,2028,-34137791.49557155
p46,2030,.
p46,2035,-20531815.09558484
p47,2028,-29705279.682287157
p47,2030,.
p47,2035,-16948228.29244148
p48,2028,-100449246.01348749
p48,2030,.
p48,2035,-57614233.26905272
p49,2028,-3050940.240243818
p49,2030,.
p49,2035,-1737929.3515866387
p5,2028,-189819170.97346312
p5,2030,.
p5,2035,-125638848.25623098
p50,2028,-199959166.21226326
p50,2030,.
p50,2035,-125821499.35267854
p51,2028,-104279237.5306533
p51,2030,.
p51,2035,-63805971.674677946
p52,2028,-5937949.104779366
p52,2030,.
p52,2035,-3403438.5349078546
p53,2028,-141102426.77161625
p53,2030,.
p53,2035,-81071402.77884316
p54,2028,-77964338.81002934
p54,2030,.
p54,2035,-44819106.9206625
p55,2028,-41700953.35528721
p55,2030,.
p55,2035,-25194898.659620963
p56,2028,-67986652.85705194
p56,2030,.
p56,2035,-44949416.107618734
p57,2028,-41116418.81713713
p57,2030,.
p57,2035,-25939613.192763947
p58,2028,-320738356.163609
p58,2030,.
p58,2035,-206331616.143899
p59,2028,-45722935.274951585
p59,2030,.
p59,2035,-33616532.60750343
p6,2028,-41505813.41780967
p6,2030,.
p6,2035,-24258031.446489427
p60,2028,-16014472.247092048
p60,2030,.
p60,2035,-9159756.72334031
p61,2028,-35692373.99543677
p61,2030,.
p61,2035,-20449688.95751913
p62,2028,-30564777.792104617
p62,2030,.
p62,2035,-17486488.11651269
p63,2028,-640296819.3319718
p63,2030,.
p63,2035,-389474839.5066874
p64,2028,-211124079.63608575
p64,2030,.
p64,2035,-133688352.84456427
p65,2028,-318919529.5817391
p65,2030,.
p65,2035,-201621512.20165595
p66,2028,-100464607.3283468
p66,2030,.
p66,2035,-57488971.486818135
p67,2028,-460682148.0960844
p67,2030,.
p67,2035,-290268062.72973645
p68,2028,-13512053.680986565
p68,2030,.
p68,2035,-8027844.905661981
p69,2028,-21483146.49450613
p69,2030,.
p69,2035,-12537859.80900101
p7,2028,-5494512.476738761
p7,2030,.
p7,2035,-3232047.6015730016
p70,2028,-147408097.51725394
p70,2030,.
p70,2035,-89052190.53764088
p71,2028,-6507182.193504737
p71,2030,.
p71,2035,-3759297.6099571367
p72,2028,-141103047.1239529
p72,2030,.
p72,2035,-81700299.61378567
p73,2028,-9225405.40458173
p73,2030,.
p73,2035,-5333168.774278042
p74,2028,-10064660.432022925
p74,2030,.
p74,2035,-6733227.860398665
p75,2028,-37791697.66285124
p75,2030,.
p75,2035,-21687944.738776244
p76,2028,-43285659.940329164
p76,2030,.
p76,2035,-25354789.535534866
p77,2028,-11953381.723290011
p77,2030,.
p77,2035,-7209987.19095693
p78,2028,-30995720.68144603
p78,2030,.
p78,2035,-18830086.67935766
p79,2028,-101829871.12409805
p79,2030,.
p79,2035,-58451242.344657
p8,2028,-4940990.818692816
p8,2030,.
p8,2035,-2999443.7541337805
p80,2028,-345803379.48376113
p80,2030,.
p80,2035,-205493892.2372332
p81,2028,-83276759.26626305
p81,2030,.
p81,2035,-47921234.10187316
p82,2028,-29975885.135536704
p82,2030,.
p82,2035,-17244444.244118784
p83,2028,-49306284.074462496
p83,2030,.
p83,2035,-28369333.740343735
p84,2028,-16416777.536966031
p84,2030,.
p84,2035,-9858694.276181169
p85,2028,-126561250.80092788
p85,2030,.
p85,2035,-74349124.9240895
p86,2028,-82748891.13855186
p86,2030,.
p86,2035,-49044703.963268034
p87,2028,-140235993.05512363
p87,2030,.
p87,2035,-84451024.67785604
p88,2028,-52944800.833064854
p88,2030,.
p88,2035,-33689778.33476145
p89,2028,-188086205.3819154
p89,2030,.
p89,2035,-117158527.65150614
p9,2028,-408837853.66078883
p9,2030,.
p9,2035,-247318730.93785557
p90,2028,-172546246.13944244
p90,2030,.
p90,2035,-108785129.36089015
p91,2028,-49751466.15923551
p91,2030,.
p91,2035,-28851060.61154332
p92,2028,-452526304.8118826
p92,2030,.
p92,2035,-289156411.78499293
p93,2028,-50074242.29191449
p93,2030,.
p93,2035,-29754949.788644698
p94,2028,-596502836.389086
p94,2030,.
p94,2035,-375718500.77047765
p95,2028,-114276484.28480344
p95,2030,.
p95,2035,-70493593.04470146
p96,2028,-208931381.46942958
p96,2030,.
p96,2035,-124516762.52483335
p97,2028,-264169343.88435936
p97,2030,.
p97,2035,-156922983.43506685
p98,2028,-259322749.3118248
p98,2030,.
p98,2035,-157113330.02476102
p99,2028,-565633697.6735836
p99,2030,.
p99,2035,-400826964.8471204
