GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
p1_batteries_1,2016.0,0,8671,0,0
p1_batteries_1,2021.0,0,8671,0,0
p1_batteries_1,2026.0,0,8671,0,0
p1_biomass_1,2007.0,0,163666,.,.
p1_biomass_1,2009.0,0,163666,.,.
p1_biomass_1,2012.0,0,163666,.,.
p1_biomass_1,2013.0,0,163666,.,.
p1_conventional_hydroelectric_1,1912.0,0,57025,.,.
p1_conventional_hydroelectric_1,1924.0,0,57025,.,.
p1_conventional_hydroelectric_1,1927.0,0,57025,.,.
p1_conventional_hydroelectric_1,1928.0,0,57025,.,.
p1_conventional_hydroelectric_1,1929.0,0,57025,.,.
p1_conventional_hydroelectric_1,1931.0,0,57025,.,.
p1_conventional_hydroelectric_1,1932.0,0,57025,.,.
p1_conventional_hydroelectric_1,1936.0,0,57025,.,.
p1_conventional_hydroelectric_1,1937.0,0,57025,.,.
p1_conventional_hydroelectric_1,1945.0,0,57025,.,.
p1_conventional_hydroelectric_1,1947.0,0,57025,.,.
p1_conventional_hydroelectric_1,1951.0,0,57025,.,.
p1_conventional_hydroelectric_1,1952.0,0,57025,.,.
p1_conventional_hydroelectric_1,1953.0,0,57025,.,.
p1_conventional_hydroelectric_1,1954.0,0,57025,.,.
p1_conventional_hydroelectric_1,1956.0,0,57025,.,.
p1_conventional_hydroelectric_1,1957.0,0,57025,.,.
p1_conventional_hydroelectric_1,1959.0,0,57025,.,.
p1_conventional_hydroelectric_1,1960.0,0,57025,.,.
p1_conventional_hydroelectric_1,1978.0,0,57025,.,.
p1_conventional_hydroelectric_1,1979.0,0,57025,.,.
p1_conventional_hydroelectric_1,1984.0,0,57025,.,.
p1_conventional_hydroelectric_1,2013.0,0,57025,.,.
p1_natural_gas_fired_combined_cycle_1,1993.0,0,19989,.,.
p1_natural_gas_fired_combined_cycle_1,1994.0,0,19989,.,.
p1_natural_gas_fired_combined_cycle_1,2002.0,0,19989,.,.
p1_natural_gas_fired_combined_cycle_2,1993.0,0,19989,.,.
p1_natural_gas_fired_combustion_turbine_1,1981.0,0,12107,.,.
p1_natural_gas_fired_combustion_turbine_1,1984.0,0,12107,.,.
p1_natural_gas_fired_combustion_turbine_1,1991.0,0,12107,.,.
p1_natural_gas_fired_combustion_turbine_1,1993.0,0,12107,.,.
p1_natural_gas_fired_combustion_turbine_1,2001.0,0,12107,.,.
p1_onshore_wind_turbine_1,2006.0,0,31648,.,.
p1_onshore_wind_turbine_1,2009.0,0,31648,.,.
p1_onshore_wind_turbine_1,2010.0,0,31648,.,.
p1_onshore_wind_turbine_1,2012.0,0,31648,.,.
p1_onshore_wind_turbine_1,2020.0,0,31648,.,.
p1_other_peaker_1,2023.0,0,25800,.,.
p1_petroleum_liquids_1,1969.0,0,25800,.,.
p1_petroleum_liquids_1,1993.0,0,25800,.,.
p1_petroleum_liquids_1,1994.0,0,25800,.,.
p1_petroleum_liquids_1,2003.0,0,25800,.,.
p1_petroleum_liquids_1,2022.0,0,25800,.,.
p1_small_hydroelectric_1,1898.0,0,57025,.,.
