GENERATION_PROJECT,power_start_mw,power_end_mw,incremental_heat_rate_mbtu_per_mwhr,fuel_use_rate_mmbtu_per_h
p100_natural_gas_fired_combined_cycle_1,0.389,.,.,3.537504
p100_natural_gas_fired_combined_cycle_1,0.389,1.0,5.5360000000000005,.
p100_natural_gas_fired_combustion_turbine_1,0.3,.,.,4.2504
p100_natural_gas_fired_combustion_turbine_1,0.3,1.0,7.728000000000001,.
p100_naturalgas_1on1_combined_cycle_hframe_moderate_0,0.3,.,.,2.662
p100_naturalgas_1on1_combined_cycle_hframe_moderate_0,0.3,1.0,4.84,.
p100_naturalgas_combustion_turbine_fframe_moderate_0,0.3,.,.,4.276800000000001
p100_naturalgas_combustion_turbine_fframe_moderate_0,0.3,1.0,7.776000000000001,.
p100_nuclear_nuclear__large_moderate_0,0.5,.,.,6.300000000000001
p100_nuclear_nuclear__large_moderate_0,0.5,1.0,8.4,.
p101_conventional_steam_coal_1,0.341,.,.,5.498664
p101_conventional_steam_coal_1,0.341,1.0,9.304,.
p101_conventional_steam_coal_2,0.348,.,.,5.31024
p101_conventional_steam_coal_2,0.348,1.0,8.88,.
p101_natural_gas_fired_combined_cycle_1,0.488,.,.,4.25088
p101_natural_gas_fired_combined_cycle_1,0.488,1.0,5.760000000000001,.
p101_natural_gas_fired_combined_cycle_2,0.486,.,.,4.551424000000001
p101_natural_gas_fired_combined_cycle_2,0.486,1.0,6.184000000000001,.
p101_natural_gas_fired_combustion_turbine_1,0.465,.,.,7.098520000000001
p101_natural_gas_fired_combustion_turbine_1,0.465,1.0,9.928,.
p101_naturalgas_1on1_combined_cycle_hframe_moderate_0,0.3,.,.,2.662
p101_naturalgas_1on1_combined_cycle_hframe_moderate_0,0.3,1.0,4.84,.
p101_naturalgas_combustion_turbine_fframe_moderate_0,0.3,.,.,4.276800000000001
p101_naturalgas_combustion_turbine_fframe_moderate_0,0.3,1.0,7.776000000000001,.
p101_nuclear_nuclear__large_moderate_0,0.5,.,.,6.300000000000001
p101_nuclear_nuclear__large_moderate_0,0.5,1.0,8.4,.
p101_other_peaker_1,0.206,.,.,4.0456319999999995
p101_other_peaker_1,0.206,1.0,8.872,.
p101_petroleum_liquids_1,0.396,.,.,7.348896000000001
p101_petroleum_liquids_1,0.396,1.0,11.376000000000001,.
p102_natural_gas_fired_combined_cycle_1,0.489,.,.,4.097016
p102_natural_gas_fired_combined_cycle_1,0.489,1.0,5.5440000000000005,.
p102_natural_gas_fired_combined_cycle_2,0.452,.,.,4.105296
p102_natural_gas_fired_combined_cycle_2,0.452,1.0,5.848,.
p102_natural_gas_fired_combustion_turbine_1,0.459,.,.,6.2051680000000005
p102_natural_gas_fired_combustion_turbine_1,0.459,1.0,8.752,.
p102_naturalgas_1on1_combined_cycle_hframe_moderate_0,0.3,.,.,2.662
p102_naturalgas_1on1_combined_cycle_hframe_moderate_0,0.3,1.0,4.84,.
