GENERATION_PROJECT,gen_connect_cost_per_mw,gen_amortization_period,gen_energy_source,gen_storage_efficiency,gen_capacity_limit_mw,gen_can_retire_early,gen_variable_om,gen_is_variable,gen_min_load_fraction,gen_tech,gen_load_zone,gen_max_age,gen_full_load_heat_rate,gen_ramp_limit_up,gen_ramp_limit_down,gen_min_uptime,gen_min_downtime,gen_startup_om,gen_self_discharge_rate,gen_is_baseload,gen_is_vpp,gen_max_annual_availability,gen_can_provide_spinning_reserves,gen_is_distributed,gen_scheduled_outage_rate,gen_forced_outage_rate
p1_batteries_1,0.0,.,storage,0.8464,.,0,0.0,0,0.0,Batteries,p1,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.01,0.05
p1_biomass_1,0.0,.,biomass,.,.,0,3.78,0,0.048,Biomass,p1,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p1_conventional_hydroelectric_1,0.0,.,water,.,.,0,0.0,0,0.161,Conventional Hydroelectric,p1,500,.,0.5,0.5,0,0,0,0,0,0,1,1,0,0.142,0.088
p1_natural_gas_fired_combined_cycle_1,0.0,.,naturalgas,.,.,0,5.52,0,0.479,Natural Gas Fired Combined Cycle,p1,1000,7.41,0.64,0.64,6,6,112,0,0,0,1,1,0,0.104,0.049
p1_natural_gas_fired_combined_cycle_2,0.0,.,naturalgas,.,.,0,5.52,0,0.515,Natural Gas Fired Combined Cycle,p1,1000,9.34,0.64,0.64,6,6,112,0,0,0,1,1,0,0.104,0.049
p1_natural_gas_fired_combustion_turbine_1,0.0,.,naturalgas,.,.,0,8.88,0,0.224,Natural Gas Fired Combustion Turbine,p1,1000,12.59,3.78,3.78,1,1,145,0,0,0,1,1,0,0.074,0.099
p1_onshore_wind_turbine_1,0.0,.,wind,.,.,0,0.0,1,0.0,Onshore Wind Turbine,p1,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.012,0.059
p1_other_peaker_1,0.0,.,naturalgas,.,.,0,6.58,0,0.0,Other_peaker,p1,1000,9.21,3.78,3.78,1,1,106,0,0,0,1,1,0,0.074,0.099
p1_petroleum_liquids_1,0.0,.,distillate,.,.,0,6.82,0,0.014,Petroleum Liquids,p1,500,9.55,3.78,3.78,1,1,106,0,0,0,1,1,0,0.074,0.088
p1_small_hydroelectric_1,0.0,.,water,.,.,0,0.0,0,0.096,Small Hydroelectric,p1,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p1_solar_photovoltaic_1,0.0,.,sun,.,.,0,0.0,1,0.0,Solar Photovoltaic,p1,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.01,0.01
p10_batteries_1,0.0,.,storage,0.8464,.,0,0.0,0,0.0,Batteries,p10,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.01,0.05
p10_biomass_1,0.0,.,biomass,.,.,0,4.07,0,0.256,Biomass,p10,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p10_conventional_hydroelectric_1,0.0,.,water,.,.,0,0.0,0,0.090665802359581,Conventional Hydroelectric,p10,500,.,0.5,0.5,0,0,0,0,0,0,1,1,0,0.142,0.088
p10_conventional_steam_coal_1,0.0,.,coal,.,.,0,6.38,0,0.0,Conventional Steam Coal,p10,1000,9.21,0.57,0.57,24,24,150,0,0,0,1,1,0,0.132,0.102
p10_conventional_steam_coal_2,0.0,.,coal,.,.,0,6.38,0,0.0,Conventional Steam Coal,p10,1000,9.21,0.57,0.57,24,24,150,0,0,0,1,1,0,0.132,0.102
p10_geothermal_1,0.0,.,geothermal,.,.,0,0.0,0,0.239,Geothermal,p10,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.025,0.045
p10_hydroelectric_pumped_storage_1,0.0,.,storage,0.749956,.,0,0.0,0,0.037,Hydroelectric Pumped Storage,p10,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.134,0.08
p10_natural_gas_fired_combined_cycle_1,0.0,.,naturalgas,.,.,0,5.52,0,0.452,Natural Gas Fired Combined Cycle,p10,1000,7.78,0.64,0.64,6,6,112,0,0,0,1,1,0,0.104,0.049
p10_natural_gas_fired_combined_cycle_2,0.0,.,naturalgas,.,.,0,4.36,0,0.364,Natural Gas Fired Combined Cycle,p10,1000,7.42,0.64,0.64,6,6,112,0,0,0,1,1,0,0.104,0.049
p10_natural_gas_fired_combustion_turbine_1,0.0,.,naturalgas,.,.,0,8.88,0,0.507,Natural Gas Fired Combustion Turbine,p10,1000,10.72,3.78,3.78,1,1,145,0,0,0,1,1,0,0.074,0.099
p10_onshore_wind_turbine_1,0.0,.,wind,.,.,0,0.0,1,0.0,Onshore Wind Turbine,p10,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.012,0.059
p10_other_peaker_1,0.0,.,naturalgas,.,.,0,7.89666666666667,0,0.227,Other_peaker,p10,1000,11.27,3.78,3.78,1,1,106,0,0,0,1,1,0,0.074,0.099
p10_petroleum_liquids_1,0.0,.,distillate,.,.,0,9.23,0,0.29,Petroleum Liquids,p10,500,12.93,3.78,3.78,1,1,106,0,0,0,1,1,0,0.074,0.088
p10_small_hydroelectric_1,0.0,.,water,.,.,0,0.0,0,0.090665802359581,Small Hydroelectric,p10,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p10_solar_photovoltaic_1,0.0,.,sun,.,.,0,0.0,1,0.0,Solar Photovoltaic,p10,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.01,0.01
p10_waste_heat_1,0.0,.,waste heat,.,.,0,3.58,0,0.0,Waste Heat,p10,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p100_biomass_1,0.0,.,biomass,.,.,0,3.58,0,0.0,Biomass,p100,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p100_natural_gas_fired_combined_cycle_1,0.0,.,naturalgas,.,.,0,4.31,0,0.389,Natural Gas Fired Combined Cycle,p100,1000,6.92,0.64,0.64,6,6,112,0,0,0,1,1,0,0.104,0.049
p100_natural_gas_fired_combustion_turbine_1,0.0,.,naturalgas,.,.,0,8.88,0,0.3,Natural Gas Fired Combustion Turbine,p100,1000,9.66,3.78,3.78,1,1,145,0,0,0,1,1,0,0.074,0.099
p100_small_hydroelectric_1,0.0,.,water,.,.,0,0.0,0,0.133124530315399,Small Hydroelectric,p100,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p100_solar_photovoltaic_1,0.0,.,sun,.,.,0,0.0,1,0.0,Solar Photovoltaic,p100,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.01,0.01
p101_batteries_1,0.0,.,storage,0.8464,.,0,0.0,0,0.0,Batteries,p101,500,.,1.0,1.0,0,0,0,0,0,0,1,1,0,0.01,0.05
p101_biomass_1,0.0,.,biomass,.,.,0,4.31333333333333,0,0.178,Biomass,p101,500,.,1.0,1.0,0,0,0,0,1,0,1,1,0,0.0,0.0
p101_conventional_hydroelectric_1,0.0,.,water,.,.,0,0.0,0,0.182739183306694,Conventional Hydroelectric,p101,500,.,0.5,0.5,0,0,0,0,0,0,1,1,0,0.142,0.088
p101_conventional_steam_coal_1,0.0,.,coal,.,.,0,6.38,0,0.341,Conventional Steam Coal,p101,1000,11.63,0.57,0.57,24,24,150,0,0,0,1,1,0,0.132,0.102
p101_conventional_steam_coal_2,0.0,.,coal,.,.,0,6.38,0,0.348,Conventional Steam Coal,p101,1000,11.1,0.57,0.57,24,24,150,0,0,0,1,1,0,0.132,0.102
