GENERATION_PROJECT,PERIOD,gen_ptc_value_per_mwh
p1_nuclear_nuclear__large_moderate_0,2035,15
p2_nuclear_nuclear__large_moderate_0,2035,15
p3_nuclear_nuclear__large_moderate_0,2035,15
p4_nuclear_nuclear__large_moderate_0,2035,15
p5_nuclear_nuclear__large_moderate_0,2035,15
p6_nuclear_nuclear__large_moderate_0,2035,15
p7_nuclear_nuclear__large_moderate_0,2035,15
p8_nuclear_nuclear__large_moderate_0,2035,15
p9_nuclear_nuclear__large_moderate_0,2035,15
p10_nuclear_nuclear__large_moderate_0,2035,15
p11_nuclear_nuclear__large_moderate_0,2035,15
p12_nuclear_nuclear__large_moderate_0,2035,15
p13_nuclear_nuclear__large_moderate_0,2035,15
p14_nuclear_nuclear__large_moderate_0,2035,15
p15_nuclear_nuclear__large_moderate_0,2035,15
p16_nuclear_nuclear__large_moderate_0,2035,15
p17_nuclear_nuclear__large_moderate_0,2035,15
p18_nuclear_nuclear__large_moderate_0,2035,15
p19_nuclear_nuclear__large_moderate_0,2035,15
p20_nuclear_nuclear__large_moderate_0,2035,15
p21_nuclear_nuclear__large_moderate_0,2035,15
p22_nuclear_nuclear__large_moderate_0,2035,15
p23_nuclear_nuclear__large_moderate_0,2035,15
p24_nuclear_nuclear__large_moderate_0,2035,15
p25_nuclear_nuclear__large_moderate_0,2035,15
p26_nuclear_nuclear__large_moderate_0,2035,15
p27_nuclear_nuclear__large_moderate_0,2035,15
p28_nuclear_nuclear__large_moderate_0,2035,15
p29_nuclear_nuclear__large_moderate_0,2035,15
p30_nuclear_nuclear__large_moderate_0,2035,15
p31_nuclear_nuclear__large_moderate_0,2035,15
p32_nuclear_nuclear__large_moderate_0,2035,15
p33_nuclear_nuclear__large_moderate_0,2035,15
p34_nuclear_nuclear__large_moderate_0,2035,15
p35_nuclear_nuclear__large_moderate_0,2035,15
p36_nuclear_nuclear__large_moderate_0,2035,15
p37_nuclear_nuclear__large_moderate_0,2035,15
p38_nuclear_nuclear__large_moderate_0,2035,15
p39_nuclear_nuclear__large_moderate_0,2035,15
p40_nuclear_nuclear__large_moderate_0,2035,15
p41_nuclear_nuclear__large_moderate_0,2035,15
p42_nuclear_nuclear__large_moderate_0,2035,15
p43_nuclear_nuclear__large_moderate_0,2035,15
p44_nuclear_nuclear__large_moderate_0,2035,15
p45_nuclear_nuclear__large_moderate_0,2035,15
p46_nuclear_nuclear__large_moderate_0,2035,15
p47_nuclear_nuclear__large_moderate_0,2035,15
p48_nuclear_nuclear__large_moderate_0,2035,15
p49_nuclear_nuclear__large_moderate_0,2035,15
p50_nuclear_nuclear__large_moderate_0,2035,15
p51_nuclear_nuclear__large_moderate_0,2035,15
p52_nuclear_nuclear__large_moderate_0,2035,15
p53_nuclear_nuclear__large_moderate_0,2035,15
p54_nuclear_nuclear__large_moderate_0,2035,15
p55_nuclear_nuclear__large_moderate_0,2035,15
p56_nuclear_nuclear__large_moderate_0,2035,15
p57_nuclear_nuclear__large_moderate_0,2035,15
p58_nuclear_nuclear__large_moderate_0,2035,15
p59_nuclear_nuclear__large_moderate_0,2035,15
p60_nuclear_nuclear__large_moderate_0,2035,15
p61_nuclear_nuclear__large_moderate_0,2035,15
p62_nuclear_nuclear__large_moderate_0,2035,15
p63_nuclear_nuclear__large_moderate_0,2035,15
p64_nuclear_nuclear__large_moderate_0,2035,15
p65_nuclear_nuclear__large_moderate_0,2035,15
p66_nuclear_nuclear__large_moderate_0,2035,15
p67_nuclear_nuclear__large_moderate_0,2035,15
p68_nuclear_nuclear__large_moderate_0,2035,15
p69_nuclear_nuclear__large_moderate_0,2035,15
p70_nuclear_nuclear__large_moderate_0,2035,15
p71_nuclear_nuclear__large_moderate_0,2035,15
p72_nuclear_nuclear__large_moderate_0,2035,15
p73_nuclear_nuclear__large_moderate_0,2035,15
p74_nuclear_nuclear__large_moderate_0,2035,15
p75_nuclear_nuclear__large_moderate_0,2035,15
p76_nuclear_nuclear__large_moderate_0,2035,15
p77_nuclear_nuclear__large_moderate_0,2035,15
p78_nuclear_nuclear__large_moderate_0,2035,15
