timepoint_id,tp_to_hts
20285081300,2028_p1685
20285081301,2028_p1685
20285081302,2028_p1685
20285081303,2028_p1685
20285081304,2028_p1685
20285081305,2028_p1685
20285081306,2028_p1685
20285081307,2028_p1685
20285081308,2028_p1685
20285081309,2028_p1685
20285081310,2028_p1685
20285081311,2028_p1685
20285081312,2028_p1685
20285081313,2028_p1685
20285081314,2028_p1685
20285081315,2028_p1685
20285081316,2028_p1685
20285081317,2028_p1685
20285081318,2028_p1685
20285081319,2028_p1685
20285081320,2028_p1685
20285081321,2028_p1685
20285081322,2028_p1685
20285081323,2028_p1685
20282120600,2028_p705
20282120601,2028_p705
20282120602,2028_p705
20282120603,2028_p705
20282120604,2028_p705
20282120605,2028_p705
20282120606,2028_p705
20282120607,2028_p705
20282120608,2028_p705
20282120609,2028_p705
20282120610,2028_p705
20282120611,2028_p705
20282120612,2028_p705
20282120613,2028_p705
20282120614,2028_p705
20282120615,2028_p705
20282120616,2028_p705
20282120617,2028_p705
20282120618,2028_p705
20282120619,2028_p705
20282120620,2028_p705
20282120621,2028_p705
20282120622,2028_p705
20282120623,2028_p705
20286040600,2028_p1921
20286040601,2028_p1921
20286040602,2028_p1921
20286040603,2028_p1921
20286040604,2028_p1921
20286040605,2028_p1921
20286040606,2028_p1921
20286040607,2028_p1921
20286040608,2028_p1921
20286040609,2028_p1921
20286040610,2028_p1921
20286040611,2028_p1921
20286040612,2028_p1921
20286040613,2028_p1921
20286040614,2028_p1921
20286040615,2028_p1921
20286040616,2028_p1921
20286040617,2028_p1921
20286040618,2028_p1921
20286040619,2028_p1921
20286040620,2028_p1921
20286040621,2028_p1921
20286040622,2028_p1921
20286040623,2028_p1921
20285072100,2028_p1662
20285072101,2028_p1662
20285072102,2028_p1662
20285072103,2028_p1662
20285072104,2028_p1662
20285072105,2028_p1662
20285072106,2028_p1662
20285072107,2028_p1662
20285072108,2028_p1662
20285072109,2028_p1662
20285072110,2028_p1662
20285072111,2028_p1662
20285072112,2028_p1662
20285072113,2028_p1662
20285072114,2028_p1662
20285072115,2028_p1662
20285072116,2028_p1662
20285072117,2028_p1662
20285072118,2028_p1662
20285072119,2028_p1662
20285072120,2028_p1662
20285072121,2028_p1662
20285072122,2028_p1662
20285072123,2028_p1662
20305081300,2030_p1685
20305081301,2030_p1685
20305081302,2030_p1685
20305081303,2030_p1685
20305081304,2030_p1685
20305081305,2030_p1685
20305081306,2030_p1685
20305081307,2030_p1685
20305081308,2030_p1685
20305081309,2030_p1685
20305081310,2030_p1685
20305081311,2030_p1685
20305081312,2030_p1685
20305081313,2030_p1685
20305081314,2030_p1685
20305081315,2030_p1685
20305081316,2030_p1685
20305081317,2030_p1685
20305081318,2030_p1685
20305081319,2030_p1685
20305081320,2030_p1685
20305081321,2030_p1685
20305081322,2030_p1685
20305081323,2030_p1685
20307030200,2030_p2251
20307030201,2030_p2251
20307030202,2030_p2251
20307030203,2030_p2251
20307030204,2030_p2251
20307030205,2030_p2251
20307030206,2030_p2251
20307030207,2030_p2251
20307030208,2030_p2251
20307030209,2030_p2251
20307030210,2030_p2251
20307030211,2030_p2251
20307030212,2030_p2251
20307030213,2030_p2251
20307030214,2030_p2251
20307030215,2030_p2251
20307030216,2030_p2251
20307030217,2030_p2251
20307030218,2030_p2251
20307030219,2030_p2251
20307030220,2030_p2251
20307030221,2030_p2251
20307030222,2030_p2251
20307030223,2030_p2251
20306040600,2030_p1921
20306040601,2030_p1921
20306040602,2030_p1921
20306040603,2030_p1921
20306040604,2030_p1921
20306040605,2030_p1921
20306040606,2030_p1921
20306040607,2030_p1921
20306040608,2030_p1921
20306040609,2030_p1921
20306040610,2030_p1921
20306040611,2030_p1921
20306040612,2030_p1921
20306040613,2030_p1921
20306040614,2030_p1921
20306040615,2030_p1921
20306040616,2030_p1921
20306040617,2030_p1921
20306040618,2030_p1921
20306040619,2030_p1921
20306040620,2030_p1921
20306040621,2030_p1921
20306040622,2030_p1921
20306040623,2030_p1921
20305072100,2030_p1662
20305072101,2030_p1662
20305072102,2030_p1662
20305072103,2030_p1662
20305072104,2030_p1662
20305072105,2030_p1662
20305072106,2030_p1662
20305072107,2030_p1662
20305072108,2030_p1662
20305072109,2030_p1662
20305072110,2030_p1662
20305072111,2030_p1662
20305072112,2030_p1662
20305072113,2030_p1662
20305072114,2030_p1662
20305072115,2030_p1662
20305072116,2030_p1662
20305072117,2030_p1662
20305072118,2030_p1662
20305072119,2030_p1662
20305072120,2030_p1662
20305072121,2030_p1662
20305072122,2030_p1662
20305072123,2030_p1662
20357030200,2035_p2251
20357030201,2035_p2251
20357030202,2035_p2251
20357030203,2035_p2251
20357030204,2035_p2251
20357030205,2035_p2251
20357030206,2035_p2251
20357030207,2035_p2251
20357030208,2035_p2251
20357030209,2035_p2251
20357030210,2035_p2251
20357030211,2035_p2251
20357030212,2035_p2251
20357030213,2035_p2251
20357030214,2035_p2251
20357030215,2035_p2251
20357030216,2035_p2251
20357030217,2035_p2251
20357030218,2035_p2251
20357030219,2035_p2251
20357030220,2035_p2251
20357030221,2035_p2251
20357030222,2035_p2251
20357030223,2035_p2251
20355081300,2035_p1685
20355081301,2035_p1685
20355081302,2035_p1685
20355081303,2035_p1685
20355081304,2035_p1685
20355081305,2035_p1685
20355081306,2035_p1685
20355081307,2035_p1685
20355081308,2035_p1685
20355081309,2035_p1685
20355081310,2035_p1685
20355081311,2035_p1685
20355081312,2035_p1685
20355081313,2035_p1685
20355081314,2035_p1685
20355081315,2035_p1685
20355081316,2035_p1685
20355081317,2035_p1685
20355081318,2035_p1685
20355081319,2035_p1685
20355081320,2035_p1685
20355081321,2035_p1685
20355081322,2035_p1685
20355081323,2035_p1685
20356040600,2035_p1921
20356040601,2035_p1921
20356040602,2035_p1921
20356040603,2035_p1921
20356040604,2035_p1921
20356040605,2035_p1921
20356040606,2035_p1921
20356040607,2035_p1921
20356040608,2035_p1921
20356040609,2035_p1921
20356040610,2035_p1921
20356040611,2035_p1921
20356040612,2035_p1921
20356040613,2035_p1921
20356040614,2035_p1921
20356040615,2035_p1921
20356040616,2035_p1921
20356040617,2035_p1921
