MIN_CAP_PROGRAM,MIN_CAP_GEN
MinCapTag_NY_offshorewind,p128_offshore_wind_turbine_1
MinCapTag_NY_offshorewind,p128_offshore_wind_turbine_1
MinCapTag_NY_offshorewind,p128_offshore_wind_turbine_1
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_1_1
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_1_1
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_1_1
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_1_2
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_1_2
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_1_2
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_0_1
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_0_1
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_0_1
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_0_2
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_0_2
MinCapTag_NY_offshorewind,p127_offshorewind_class3_moderate_fixed_0_2
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_1_1
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_1_1
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_1_1
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_1_2
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_1_2
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_1_2
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_0_1
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_0_1
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_0_1
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_0_2
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_0_2
MinCapTag_NY_offshorewind,p128_offshorewind_class3_moderate_fixed_0_2
MinCapTag_NY_offshorewind,p127_offshorewind_class12_moderate_floating_0_1
MinCapTag_NY_offshorewind,p127_offshorewind_class12_moderate_floating_0_1
MinCapTag_NY_offshorewind,p127_offshorewind_class12_moderate_floating_0_1
MinCapTag_NY_offshorewind,p127_offshorewind_class12_moderate_floating_0_2
MinCapTag_NY_offshorewind,p127_offshorewind_class12_moderate_floating_0_2
MinCapTag_NY_offshorewind,p127_offshorewind_class12_moderate_floating_0_2
MinCapTag_NY_offshorewind,p128_offshorewind_class12_moderate_floating_0_1
MinCapTag_NY_offshorewind,p128_offshorewind_class12_moderate_floating_0_1
MinCapTag_NY_offshorewind,p128_offshorewind_class12_moderate_floating_0_1
MinCapTag_NY_offshorewind,p128_offshorewind_class12_moderate_floating_0_2
MinCapTag_NY_offshorewind,p128_offshorewind_class12_moderate_floating_0_2
MinCapTag_NY_offshorewind,p128_offshorewind_class12_moderate_floating_0_2
MinCapTag_ME_offshorewind,p134_offshorewind_class3_moderate_fixed_1_1
MinCapTag_ME_offshorewind,p134_offshorewind_class3_moderate_fixed_1_2
MinCapTag_ME_offshorewind,p134_offshorewind_class3_moderate_fixed_0_1
MinCapTag_ME_offshorewind,p134_offshorewind_class3_moderate_fixed_0_2
MinCapTag_ME_offshorewind,p134_offshorewind_class12_moderate_floating_0_1
MinCapTag_ME_offshorewind,p134_offshorewind_class12_moderate_floating_0_2
MinCapTag_MA_offshorewind,p131_offshore_wind_turbine_1
MinCapTag_MA_offshorewind,p131_offshore_wind_turbine_1
MinCapTag_MA_offshorewind,p131_offshore_wind_turbine_1
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_1_1
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_1_1
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_1_1
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_1_2
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_1_2
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_1_2
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_0_1
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_0_1
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_0_1
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_0_2
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_0_2
MinCapTag_MA_offshorewind,p131_offshorewind_class3_moderate_fixed_0_2
MinCapTag_MA_offshorewind,p131_offshorewind_class12_moderate_floating_0_1
MinCapTag_MA_offshorewind,p131_offshorewind_class12_moderate_floating_0_1
MinCapTag_MA_offshorewind,p131_offshorewind_class12_moderate_floating_0_1
MinCapTag_MA_offshorewind,p131_offshorewind_class12_moderate_floating_0_2
MinCapTag_MA_offshorewind,p131_offshorewind_class12_moderate_floating_0_2
MinCapTag_MA_offshorewind,p131_offshorewind_class12_moderate_floating_0_2
MinCapTag_VA_offshorewind,p99_offshore_wind_turbine_1
MinCapTag_VA_offshorewind,p99_offshore_wind_turbine_1
MinCapTag_VA_offshorewind,p99_offshore_wind_turbine_1
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_1_1
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_1_1
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_1_1
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_1_2
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_1_2
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_1_2
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_0_1
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_0_1
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_0_1
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_0_2
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_0_2
MinCapTag_VA_offshorewind,p99_offshorewind_class3_moderate_fixed_0_2
MinCapTag_VA_offshorewind,p99_offshorewind_class12_moderate_floating_0_1
MinCapTag_VA_offshorewind,p99_offshorewind_class12_moderate_floating_0_1
MinCapTag_VA_offshorewind,p99_offshorewind_class12_moderate_floating_0_1
MinCapTag_VA_offshorewind,p99_offshorewind_class12_moderate_floating_0_2
MinCapTag_VA_offshorewind,p99_offshorewind_class12_moderate_floating_0_2
MinCapTag_VA_offshorewind,p99_offshorewind_class12_moderate_floating_0_2
MinCapTag_NJ_offshorewind,p126_offshorewind_class3_moderate_fixed_1_1
MinCapTag_NJ_offshorewind,p126_offshorewind_class3_moderate_fixed_1_2
MinCapTag_NJ_offshorewind,p126_offshorewind_class3_moderate_fixed_0_1
MinCapTag_NJ_offshorewind,p126_offshorewind_class3_moderate_fixed_0_2
MinCapTag_NJ_offshorewind,p126_offshorewind_class12_moderate_floating_0_1
MinCapTag_NJ_offshorewind,p126_offshorewind_class12_moderate_floating_0_2
MinCapTag_RI_offshorewind,p133_offshore_wind_turbine_1
MinCapTag_RI_offshorewind,p133_offshore_wind_turbine_1
MinCapTag_RI_offshorewind,p133_offshore_wind_turbine_1
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_1_1
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_1_1
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_1_1
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_1_2
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_1_2
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_1_2
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_0_1
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_0_1
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_0_1
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_0_2
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_0_2
MinCapTag_RI_offshorewind,p133_offshorewind_class3_moderate_fixed_0_2
MinCapTag_RI_offshorewind,p133_offshorewind_class12_moderate_floating_0_1
MinCapTag_RI_offshorewind,p133_offshorewind_class12_moderate_floating_0_1
MinCapTag_RI_offshorewind,p133_offshorewind_class12_moderate_floating_0_1
MinCapTag_RI_offshorewind,p133_offshorewind_class12_moderate_floating_0_2
MinCapTag_RI_offshorewind,p133_offshorewind_class12_moderate_floating_0_2
MinCapTag_RI_offshorewind,p133_offshorewind_class12_moderate_floating_0_2
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_1_1
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_1_1
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_1_1
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_1_2
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_1_2
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_1_2
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_0_1
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_0_1
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_0_1
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_0_2
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_0_2
MinCapTag_CT_offshorewind,p132_offshorewind_class3_moderate_fixed_0_2
MinCapTag_CT_offshorewind,p132_offshorewind_class12_moderate_floating_0_1
MinCapTag_CT_offshorewind,p132_offshorewind_class12_moderate_floating_0_1
MinCapTag_CT_offshorewind,p132_offshorewind_class12_moderate_floating_0_1
MinCapTag_CT_offshorewind,p132_offshorewind_class12_moderate_floating_0_2
MinCapTag_CT_offshorewind,p132_offshorewind_class12_moderate_floating_0_2
MinCapTag_CT_offshorewind,p132_offshorewind_class12_moderate_floating_0_2
MinCapTag_CA_offshorewind,p9_offshorewind_class3_moderate_fixed_1_1
MinCapTag_CA_offshorewind,p9_offshorewind_class3_moderate_fixed_1_2
MinCapTag_CA_offshorewind,p9_offshorewind_class3_moderate_fixed_0_1
MinCapTag_CA_offshorewind,p9_offshorewind_class3_moderate_fixed_0_2
MinCapTag_CA_offshorewind,p10_offshorewind_class3_moderate_fixed_1_1
MinCapTag_CA_offshorewind,p10_offshorewind_class3_moderate_fixed_1_2
MinCapTag_CA_offshorewind,p10_offshorewind_class3_moderate_fixed_0_1
MinCapTag_CA_offshorewind,p10_offshorewind_class3_moderate_fixed_0_2
MinCapTag_CA_offshorewind,p11_offshorewind_class3_moderate_fixed_1_1
MinCapTag_CA_offshorewind,p11_offshorewind_class3_moderate_fixed_1_2
MinCapTag_CA_offshorewind,p11_offshorewind_class3_moderate_fixed_0_1
MinCapTag_CA_offshorewind,p11_offshorewind_class3_moderate_fixed_0_2
MinCapTag_CA_offshorewind,p9_offshorewind_class12_moderate_floating_0_1
MinCapTag_CA_offshorewind,p9_offshorewind_class12_moderate_floating_0_2
MinCapTag_CA_offshorewind,p10_offshorewind_class12_moderate_floating_0_1
MinCapTag_CA_offshorewind,p10_offshorewind_class12_moderate_floating_0_2
MinCapTag_CA_offshorewind,p11_offshorewind_class12_moderate_floating_0_1
MinCapTag_CA_offshorewind,p11_offshorewind_class12_moderate_floating_0_2
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_1_1
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_1_1
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_1_2
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_1_2
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_0_1
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_0_1
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_0_2
MinCapTag_MD_offshorewind,p123_offshorewind_class3_moderate_fixed_0_2
MinCapTag_MD_offshorewind,p123_offshorewind_class12_moderate_floating_0_1
MinCapTag_MD_offshorewind,p123_offshorewind_class12_moderate_floating_0_1
MinCapTag_MD_offshorewind,p123_offshorewind_class12_moderate_floating_0_2
MinCapTag_MD_offshorewind,p123_offshorewind_class12_moderate_floating_0_2
