PLANNING_RESERVE_REQUIREMENT,LOAD_ZONE
CapRes_1_z1,p1
CapRes_1_z2,p2
CapRes_1_z3,p3
CapRes_1_z4,p4
CapRes_1_z5,p5
CapRes_1_z6,p6
CapRes_1_z7,p7
CapRes_1_z8,p8
CapRes_1_z9,p9
CapRes_1_z10,p10
CapRes_1_z11,p11
CapRes_1_z12,p12
CapRes_1_z13,p13
CapRes_1_z14,p14
CapRes_1_z15,p15
CapRes_1_z16,p16
CapRes_1_z17,p17
CapRes_1_z18,p18
CapRes_1_z19,p19
CapRes_1_z20,p20
CapRes_1_z21,p21
CapRes_1_z22,p22
CapRes_1_z23,p23
CapRes_1_z24,p24
CapRes_1_z25,p25
CapRes_1_z26,p26
CapRes_1_z27,p27
CapRes_1_z28,p28
CapRes_1_z29,p29
CapRes_1_z30,p30
CapRes_1_z31,p31
CapRes_1_z32,p32
CapRes_1_z33,p33
CapRes_1_z34,p34
CapRes_1_z35,p35
CapRes_1_z36,p36
CapRes_1_z37,p37
CapRes_1_z38,p38
CapRes_1_z39,p39
CapRes_1_z40,p40
CapRes_1_z41,p41
CapRes_1_z42,p42
CapRes_1_z43,p43
CapRes_1_z44,p44
CapRes_1_z45,p45
CapRes_1_z46,p46
CapRes_1_z47,p47
CapRes_1_z48,p48
CapRes_1_z49,p49
CapRes_1_z50,p50
CapRes_1_z51,p51
CapRes_1_z52,p52
CapRes_1_z53,p53
CapRes_1_z54,p54
CapRes_1_z55,p55
CapRes_1_z56,p56
CapRes_1_z57,p57
CapRes_1_z58,p58
CapRes_1_z59,p59
CapRes_1_z60,p60
CapRes_1_z61,p61
CapRes_1_z62,p62
CapRes_1_z63,p63
CapRes_1_z64,p64
CapRes_1_z65,p65
CapRes_1_z66,p66
CapRes_1_z67,p67
CapRes_1_z68,p68
CapRes_1_z69,p69
CapRes_1_z70,p70
CapRes_1_z71,p71
CapRes_1_z72,p72
CapRes_1_z73,p73
CapRes_1_z74,p74
CapRes_1_z75,p75
CapRes_1_z76,p76
CapRes_1_z77,p77
CapRes_1_z78,p78
CapRes_1_z79,p79
CapRes_1_z80,p80
CapRes_1_z81,p81
CapRes_1_z82,p82
CapRes_1_z83,p83
CapRes_1_z84,p84
CapRes_1_z85,p85
CapRes_1_z86,p86
CapRes_1_z87,p87
CapRes_1_z88,p88
CapRes_1_z89,p89
CapRes_1_z90,p90
CapRes_1_z91,p91
CapRes_1_z92,p92
CapRes_1_z93,p93
CapRes_1_z94,p94
CapRes_1_z95,p95
CapRes_1_z96,p96
CapRes_1_z97,p97
CapRes_1_z98,p98
CapRes_1_z99,p99
CapRes_1_z100,p100
CapRes_1_z101,p101
CapRes_1_z102,p102
CapRes_1_z103,p103
CapRes_1_z104,p104
CapRes_1_z105,p105
CapRes_1_z106,p106
CapRes_1_z107,p107
CapRes_1_z108,p108
CapRes_1_z109,p109
CapRes_1_z110,p110
CapRes_1_z111,p111
CapRes_1_z112,p112
CapRes_1_z113,p113
CapRes_1_z114,p114
CapRes_1_z115,p115
CapRes_1_z116,p116
CapRes_1_z117,p117
CapRes_1_z118,p118
CapRes_1_z119,p119
CapRes_1_z120,p120
CapRes_1_z121,p121
CapRes_1_z122,p122
CapRes_1_z123,p123
CapRes_1_z124,p124
CapRes_1_z125,p125
CapRes_1_z126,p126
CapRes_1_z127,p127
CapRes_1_z128,p128
CapRes_1_z129,p129
CapRes_1_z130,p130
CapRes_1_z131,p131
CapRes_1_z132,p132
CapRes_1_z133,p133
CapRes_1_z134,p134
