PLANNING_RESERVE_REQUIREMENT,prr_cap_reserve_margin,prr_enforcement_timescale
CapRes_1_z1,0.08,peak_load
CapRes_1_z2,0.08,peak_load
CapRes_1_z3,0.08,peak_load
CapRes_1_z4,0.08,peak_load
CapRes_1_z5,0.08,peak_load
CapRes_1_z6,0.08,peak_load
CapRes_1_z7,0.08,peak_load
CapRes_1_z8,0.08,peak_load
CapRes_1_z9,0.08,peak_load
CapRes_1_z10,0.08,peak_load
CapRes_1_z11,0.08,peak_load
CapRes_1_z12,0.08,peak_load
CapRes_1_z13,0.08,peak_load
CapRes_1_z14,0.08,peak_load
CapRes_1_z15,0.08,peak_load
CapRes_1_z16,0.08,peak_load
CapRes_1_z17,0.08,peak_load
CapRes_1_z18,0.08,peak_load
CapRes_1_z19,0.08,peak_load
CapRes_1_z20,0.08,peak_load
CapRes_1_z21,0.08,peak_load
CapRes_1_z22,0.08,peak_load
CapRes_1_z23,0.08,peak_load
CapRes_1_z24,0.08,peak_load
CapRes_1_z25,0.08,peak_load
CapRes_1_z26,0.08,peak_load
CapRes_1_z27,0.08,peak_load
CapRes_1_z28,0.08,peak_load
CapRes_1_z29,0.08,peak_load
CapRes_1_z30,0.08,peak_load
CapRes_1_z31,0.08,peak_load
CapRes_1_z32,0.08,peak_load
CapRes_1_z33,0.08,peak_load
CapRes_1_z34,0.08,peak_load
CapRes_1_z35,0.08,peak_load
CapRes_1_z36,0.08,peak_load
CapRes_1_z37,0.08,peak_load
CapRes_1_z38,0.08,peak_load
CapRes_1_z39,0.08,peak_load
CapRes_1_z40,0.08,peak_load
CapRes_1_z41,0.08,peak_load
CapRes_1_z42,0.08,peak_load
CapRes_1_z43,0,peak_load
CapRes_1_z44,0.08,peak_load
CapRes_1_z45,0.08,peak_load
CapRes_1_z46,0.08,peak_load
CapRes_1_z47,0.08,peak_load
CapRes_1_z48,0.08,peak_load
CapRes_1_z49,0.08,peak_load
CapRes_1_z50,0.08,peak_load
CapRes_1_z51,0.08,peak_load
CapRes_1_z52,0.08,peak_load
CapRes_1_z53,0.08,peak_load
CapRes_1_z54,0.08,peak_load
CapRes_1_z55,0.08,peak_load
CapRes_1_z56,0.08,peak_load
CapRes_1_z57,0.08,peak_load
CapRes_1_z58,0.08,peak_load
CapRes_1_z59,0.08,peak_load
CapRes_1_z60,0.08,peak_load
CapRes_1_z61,0.08,peak_load
CapRes_1_z62,0.08,peak_load
CapRes_1_z63,0.08,peak_load
CapRes_1_z64,0.08,peak_load
CapRes_1_z65,0.08,peak_load
CapRes_1_z66,0.08,peak_load
CapRes_1_z67,0.08,peak_load
CapRes_1_z68,0.08,peak_load
CapRes_1_z69,0.08,peak_load
CapRes_1_z70,0.08,peak_load
CapRes_1_z71,0.08,peak_load
CapRes_1_z72,0.08,peak_load
CapRes_1_z73,0.08,peak_load
CapRes_1_z74,0.08,peak_load
CapRes_1_z75,0.08,peak_load
CapRes_1_z76,0.08,peak_load
CapRes_1_z77,0.08,peak_load
CapRes_1_z78,0.08,peak_load
CapRes_1_z79,0.08,peak_load
CapRes_1_z80,0.08,peak_load
CapRes_1_z81,0.08,peak_load
CapRes_1_z82,0.08,peak_load
CapRes_1_z83,0.08,peak_load
CapRes_1_z84,0.08,peak_load
CapRes_1_z85,0.08,peak_load
CapRes_1_z86,0.08,peak_load
CapRes_1_z87,0.08,peak_load
CapRes_1_z88,0.08,peak_load
CapRes_1_z89,0.08,peak_load
CapRes_1_z90,0.08,peak_load
CapRes_1_z91,0.08,peak_load
CapRes_1_z92,0.08,peak_load
CapRes_1_z93,0.08,peak_load
CapRes_1_z94,0.08,peak_load
CapRes_1_z95,0.08,peak_load
CapRes_1_z96,0.08,peak_load
CapRes_1_z97,0.08,peak_load
CapRes_1_z98,0.08,peak_load
CapRes_1_z99,0.08,peak_load
CapRes_1_z100,0.08,peak_load
CapRes_1_z101,0.08,peak_load
CapRes_1_z102,0.08,peak_load
CapRes_1_z103,0.08,peak_load
CapRes_1_z104,0.08,peak_load
CapRes_1_z105,0.08,peak_load
CapRes_1_z106,0.08,peak_load
CapRes_1_z107,0.08,peak_load
CapRes_1_z108,0.08,peak_load
CapRes_1_z109,0.08,peak_load
CapRes_1_z110,0.08,peak_load
CapRes_1_z111,0.08,peak_load
CapRes_1_z112,0.08,peak_load
CapRes_1_z113,0.08,peak_load
CapRes_1_z114,0.08,peak_load
CapRes_1_z115,0.08,peak_load
CapRes_1_z116,0.08,peak_load
CapRes_1_z117,0.08,peak_load
CapRes_1_z118,0.08,peak_load
CapRes_1_z119,0.08,peak_load
CapRes_1_z120,0.08,peak_load
CapRes_1_z121,0.08,peak_load
CapRes_1_z122,0.08,peak_load
CapRes_1_z123,0.08,peak_load
CapRes_1_z124,0.08,peak_load
CapRes_1_z125,0.08,peak_load
CapRes_1_z126,0.08,peak_load
CapRes_1_z127,0.08,peak_load
CapRes_1_z128,0.08,peak_load
CapRes_1_z129,0.08,peak_load
CapRes_1_z130,0.08,peak_load
CapRes_1_z131,0.08,peak_load
CapRes_1_z132,0.08,peak_load
CapRes_1_z133,0.08,peak_load
CapRes_1_z134,0.08,peak_load
