timeseries,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2028_p1685,2028,1,24,379.285714285714
2028_p705,2028,1,24,444.857142857143
2028_p1921,2028,1,24,270.428571428571
2028_p1662,2028,1,24,0.428571428571429
2030_p1685,2030,1,24,258.0
2030_p2251,2030,1,24,295.714285714286
2030_p1921,2030,1,24,176.0
2030_p1662,2030,1,24,0.285714285714286
2035_p2251,2035,1,24,727.857142857143
2035_p1685,2035,1,24,625.714285714286
2035_p1921,2035,1,24,470.714285714286
2035_p1662,2035,1,24,0.714285714285714
2028_p1662_prm,2028,1,24,0.0
2030_p1662_prm,2030,1,24,0.0
2035_p1662_prm,2035,1,24,0.0
