TRANSMISSION_LINE,PERIOD,trans_build_minimum_mw
10-28,2028,2500
104-105,2030,1792
105-112,2035,5500
107-112,2028,3200
107-108,2035,1792
12-13,2028,3417
121-122,2028,2500
122-123,2030,7200
127-128,2030,1638
15-16,2035,11208
16-21,2035,1700
16-25,2028,1340
24-32,2035,1792
36-37,2028,1792
36-38,2035,1792
37-38,2035,1792
37-43,2035,3584
38-44,2035,1792
38-43,2030,1792
40-45,2035,1792
41-45,2035,1792
43-68,2035,5500
44-68,2035,1792
45-70,2035,1792
46-68,2028,1792
46-76,2030,1792
47-48,2035,5300
48-50,2035,1792
49-50,2035,4000
5-6,2035,2482
5-7,2035,7966
50-56,2035,4000
51-55,2035,1792
51-56,2035,2598
53-54,2030,5000
54-72,2030,5000
54-70,2030,1792
56-85,2035,4000
60-61,2035,17216
60-62,2028,5300
60-63,2030,2988
61-65,2028,1983
63-87,2035,3000
70-80,2035,2100
70-71,2030,1792
70-81,2035,7292
71-72,2035,1792
71-81,2028,1792
72-81,2030,5000
74-75,2030,1792
76-79,2035,7292
79-80,2035,5500
80-105,2035,3584
80-83,2030,1792
81-83,2030,4292
81-82,2035,1792
83-107,2030,1000
9-12,2035,6195
98-99,2028,1100
99-100,2028,1560
99-118,2030,1530
121-99,2030,5000
115-99,2028,2500
122-99,2028,2500
12-15,2028,2000
24-25,2028,1700
39-52,2035,1792
41-53,2035,1792
90-94,2030,2500
38-68,2035,5500
68-70,2035,7292
43-76,2035,5500
