TRANSMISSION_LINE,PERIOD,trans_hurdle_cost_per_mwh
1-2,2028,5.353333333
1-4,2028,5.353333333
2-3,2028,5.353333333
2-4,2028,5.353333333
2-14,2028,5.353333333
3-4,2028,5.353333333
3-5,2028,5.353333333
3-17,2028,5.353333333
5-6,2028,5.353333333
5-10,2028,5.353333333
5-14,2028,5.353333333
5-15,2028,5.353333333
6-7,2028,5.353333333
6-9,2028,5.353333333
7-8,2028,5.353333333
7-15,2028,5.353333333
8-9,2028,5.353333333
9-12,2028,5.353333333
10-13,2028,5.353333333
10-25,2028,5.353333333
10-27,2028,5.353333333
10-28,2028,5.353333333
12-15,2028,5.353333333
12-25,2028,5.353333333
13-15,2028,5.353333333
13-27,2028,5.353333333
13-28,2028,5.353333333
14-15,2028,5.353333333
14-17,2028,5.353333333
15-17,2028,5.353333333
16-17,2028,5.353333333
16-21,2028,5.353333333
16-25,2028,5.353333333
18-21,2028,5.353333333
18-22,2028,5.353333333
18-23,2028,5.353333333
20-35,2028,5.353333333
21-24,2028,5.353333333
22-23,2028,5.353333333
22-24,2028,5.353333333
24-33,2028,5.353333333
24-39,2028,5.353333333
25-28,2028,5.353333333
25-31,2028,5.353333333
25-33,2028,5.353333333
26-33,2028,5.353333333
27-28,2028,5.353333333
28-31,2028,5.353333333
29-31,2028,5.353333333
31-34,2028,5.353333333
31-47,2028,5.353333333
31-48,2028,5.353333333
31-59,2028,5.353333333
32-38,2028,5.353333333
34-52,2028,5.353333333
36-37,2028,5.353333333
37-38,2028,5.353333333
38-43,2028,5.353333333
38-44,2028,5.353333333
38-45,2028,5.353333333
40-45,2028,5.353333333
41-45,2028,5.353333333
45-54,2028,5.353333333
50-60,2028,5.353333333
50-85,2028,5.353333333
54-70,2028,5.353333333
54-71,2028,5.353333333
54-72,2028,5.353333333
55-72,2028,5.353333333
55-84,2028,5.353333333
56-85,2028,5.353333333
57-58,2028,5.353333333
57-63,2028,5.353333333
57-66,2028,5.353333333
57-85,2028,5.353333333
70-80,2028,5.353333333
77-80,2028,5.353333333
78-80,2028,5.353333333
