TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_dbid,trans_derating_factor,trans_terrain_multiplier,trans_new_build_allowed
1-2,p1,p2,253.202280118024,0.98092361598036,8839.639,1,1.0,2.76798442605089,1
1-4,p1,p4,255.45603030838,0.980781448947483,11977.3255,2,1.0,2.79488233479499,1
2-3,p2,p3,287.097972958072,0.978521754425049,499.4875,3,1.0,1.73980447742255,1
2-4,p2,p4,115.612214341291,0.959788004366557,8737.108,4,1.0,3.89006757436094,1
2-5,p2,p5,266.595746701618,0.980001038760715,20927.086,5,1.0,2.26342081953316,1
2-14,p2,p14,360.245264538895,0.973029545979818,3036.893,6,1.0,1.7704186700262,1
3-4,p3,p4,264.279376616818,0.980243382995606,4064.0135,7,1.0,1.88936747452366,1
3-5,p3,p5,520.452992573605,0.970189299194336,352.0,8,1.0,1.45212920207884,1
3-14,p3,p14,30.5361641297162,0.989399329185486,1125.6275,9,1.0,5.11148615709567,1
3-17,p3,p17,353.975401136462,0.973370624905057,1905.3,10,1.0,2.26227248372197,1
5-6,p5,p6,481.59611803747,0.972363721862793,8440.3175,11,1.0,1.63002857525701,1
5-7,p5,p7,582.774169132226,0.966599214172363,3920.752,12,1.0,1.40714050595515,1
5-10,p5,p10,1578.69053511087,0.907579354190509,2780.0,13,1.0,1.02522240082056,0
5-14,p5,p14,570.927779501744,0.967295540283203,512.2715,14,1.0,1.41119675338278,1
5-15,p5,p15,656.175954820941,0.962399064941406,3664.195,15,1.0,1.32994272441013,1
6-7,p6,p7,660.523180537609,0.962031776062012,3117.7,16,1.0,1.23470624860313,1
6-8,p6,p8,144.828428907199,0.949618137105306,433.2875,17,1.0,3.71293869564166,1
6-9,p6,p9,547.848468277761,0.949055753554225,4800.0,18,1.0,2.05027251443811,0
7-8,p7,p8,671.789317025691,0.961404598632812,27.3865,19,1.0,1.19144002773759,1
7-15,p7,p15,74.711081348214,0.974048542340597,2961.166,20,1.0,3.39374547861951,1
8-9,p8,p9,396.461488687508,0.951929749915851,304.967,21,1.0,2.53299552812714,0
9-10,p9,p10,677.173707935504,0.939727614428083,7730.8825,22,1.0,2.10264913261875,1
9-12,p9,p12,328.341485476394,0.95698628115907,367.314,23,1.0,3.31599169475664,1
10-11,p10,p11,122.807841071155,0.968234853323301,3350.0385,24,1.0,4.37374643110448,1
10-13,p10,p13,398.945910594588,0.968773395579126,8400.6005,25,1.0,1.9690954184611,0
10-25,p10,p25,1051.15445913069,0.937648506717364,1920.0,26,1.0,1.14784231601756,0
10-27,p10,p27,431.469074842007,0.966396796179984,641.7675,27,1.0,1.90189695712963,0
10-28,p10,p28,531.28119335092,0.967521078128497,4662.3025,28,1.0,1.5891551817914,1
12-13,p12,p13,594.986089084173,0.965903131591797,1066.224,29,1.0,1.28011392745442,1
12-15,p12,p15,681.610632079222,0.961002460571289,500.0,30,1.0,1.17857224498467,1
12-25,p12,p25,862.576981602699,0.950682078979492,698.2615,31,1.0,1.10231308125412,1
13-15,p13,p15,992.567848164828,0.943077512207031,0.0,32,1.0,1.0,1
13-27,p13,p27,160.335569131242,0.9438540406545,1104.87,33,1.0,3.32693928103561,0
