LOAD_ZONE,PERIOD,dr_annual_cost
p1,2028,12151533.90124184
p1,2030,13253859.336689508
p1,2035,14264986.002538407
p10,2028,30427230.0
p10,2030,30427230.0
p10,2035,32856300.0
p100,2028,1314510.0
p100,2030,1566060.0
p100,2035,1633139.9999999998
p101,2028,41309670.0
p101,2030,41892750.0
p101,2035,44391479.99999999
p102,2028,23025210.0
p102,2030,23165820.0
p102,2035,24547410.0
p103,2028,24561599.999999996
p103,2030,25040189.999999996
p103,2035,26447579.999999996
p104,2028,2324580.0
p104,2030,2324580.0
p104,2035,2435520.0
p105,2028,16118549.999999998
p105,2030,16745490.0
p105,2035,17474340.0
p106,2028,5028420.0
p106,2030,5561189.999999999
p106,2035,5803710.0
p107,2028,7905120.0
p107,2030,8710080.0
p107,2035,9089340.0
p108,2028,2016270.0
p108,2030,2016270.0
p108,2035,2116890.0
p109,2028,12804539.999999998
p109,2030,13228949.999999998
p109,2035,13864920.0
p11,2028,4758810.0
p11,2030,4809120.0
p11,2035,5158710.0
p110,2028,1308060.0
p110,2030,1308060.0
p110,2035,1369980.0
p111,2028,14404139.999999998
p111,2030,15679949.999999998
p111,2035,16386869.999999998
p112,2028,15459360.0
p112,2030,15643830.0
p112,2035,16348170.0
p113,2028,3701009.9999999995
p113,2030,3846779.9999999995
p113,2035,4019639.9999999995
p114,2028,5841120.0
p114,2030,6012689.999999999
p114,2035,6282300.0
p115,2028,7456200.0
p115,2030,7518120.0
p115,2035,7866420.0
p116,2028,4622070.0
p116,2030,4815570.0
p116,2035,5051640.0
p117,2028,3461070.0
p117,2030,3461070.0
p117,2035,3630060.0
p118,2028,6764760.0
p118,2030,7147890.0
p118,2035,7396859.999999999
p119,2028,874620.0
p119,2030,874620.0
p119,2035,917189.9999999999
p12,2028,3323040.0
p12,2030,3344969.9999999995
p12,2035,3602969.9999999995
p120,2028,521159.99999999994
p120,2030,525030.0
p120,2035,549540.0
p121,2028,1626690.0
p121,2030,1626690.0
p121,2035,1700220.0
p122,2028,28586399.999999996
p122,2030,29293320.0
p122,2035,30727800.0
p123,2028,17722020.0
p123,2030,18043230.0
p123,2035,18910110.0
p124,2028,219299.99999999997
p124,2030,246389.99999999997
p124,2035,256710.0
p125,2028,3208230.0
p125,2030,3208230.0
p125,2035,3373350.0
p126,2028,20829630.0
p126,2030,20829630.0
p126,2035,21895170.0
p127,2028,30949680.0
p127,2030,30949680.0
p127,2035,32428020.0
p128,2028,11475840.0
p128,2030,15958590.0
p128,2035,17190540.0
p129,2028,1261620.0
p129,2030,1261620.0
p129,2035,1346760.0
p13,2028,8302439.999999999
p13,2030,9077730.0
p13,2035,9778200.0
p130,2028,2643210.0
p130,2030,2643210.0
p130,2035,2822520.0
p131,2028,13423740.0
p131,2030,13423740.0
p131,2035,14338350.0
p132,2028,7467809.999999999
p132,2030,7467809.999999999
p132,2035,7960590.0
p133,2028,2092379.9999999998
p133,2030,2092379.9999999998
p133,2035,2234280.0
p134,2028,2368440.0
p134,2030,2394240.0
p134,2035,2559360.0
p14,2028,1042319.9999999999
p14,2030,1108110.0
p14,2035,1193250.0
p15,2028,3261120.0
p15,2030,3293370.0
p15,2035,3572009.9999999995
p16,2028,1529940.0
p16,2030,1704089.9999999998
p16,2035,1848569.9999999998
p17,2028,1471973.7463796404
p17,2030,1425450.0
p17,2035,1544129.9999999998
p18,2028,975942.1553502732
p18,2030,1087362.014935626
p18,2035,1169793.840754855
p19,2028,22321.421596321405
p19,2030,23220.0
p19,2035,24509.999999999996
p2,2028,4882190.934706518
p2,2030,4639660.373007113
p2,2035,5044111.04838311
p20,2028,496031.5910293635
p20,2030,521159.99999999994
p20,2035,565020.0
p21,2028,1566060.0
p21,2030,1639589.9999999998
p21,2035,1768589.9999999998
p22,2028,251549.99999999997
p22,2030,256710.0
p22,2035,278640.0
p23,2028,313470.0
p23,2030,388290.0
p23,2035,420540.0
p24,2028,1546710.0
p24,2030,1742790.0
p24,2035,1887270.0
p25,2028,6986640.0
p25,2030,7269149.999999999
p25,2035,7905120.0
p26,2028,319920.0
p26,2030,336690.0
p26,2035,366360.0
p27,2028,2701260.0
p27,2030,2701260.0
p27,2035,2927009.9999999995
p28,2028,20093040.0
p28,2030,21639750.0
p28,2035,23450910.0
p29,2028,283800.0
p29,2030,283800.0
p29,2035,307020.0
p3,2028,2907985.202409648
p3,2030,2920806.3287789733
p3,2035,3106952.444568984
p30,2028,3940949.9999999995
p30,2030,4222170.0
p30,2035,4575630.0
p31,2028,5624399.999999999
p31,2030,6092670.0
p31,2035,6621569.999999999
p32,2028,565020.0
p32,2030,638550.0
p32,2035,694020.0
p33,2028,10118760.0
p33,2030,10580580.0
p33,2035,11523570.0
p34,2028,3281759.9999999995
p34,2030,3281759.9999999995
