GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
p1_batteries_1,2016,2,4.4
p1_batteries_1,2021,1,1.4
p1_batteries_1,2026,25,100
p1_biomass_1,2007,18.5188311030008,.
p1_biomass_1,2009,0.635778335360908,.
p1_biomass_1,2012,0.655508667883212,.
p1_biomass_1,2013,3.72871046228711,.
p1_conventional_hydroelectric_1,1912,24,.
p1_conventional_hydroelectric_1,1924,64,.
p1_conventional_hydroelectric_1,1927,31.4,.
p1_conventional_hydroelectric_1,1928,30.7,.
p1_conventional_hydroelectric_1,1929,32,.
p1_conventional_hydroelectric_1,1931,1.2,.
p1_conventional_hydroelectric_1,1932,30,.
p1_conventional_hydroelectric_1,1936,92.4,.
p1_conventional_hydroelectric_1,1937,90,.
p1_conventional_hydroelectric_1,1945,61,.
p1_conventional_hydroelectric_1,1947,21,.
p1_conventional_hydroelectric_1,1951,97,.
p1_conventional_hydroelectric_1,1952,163.5,.
p1_conventional_hydroelectric_1,1953,167.5,.
p1_conventional_hydroelectric_1,1954,112.5,.
p1_conventional_hydroelectric_1,1956,112.5,.
p1_conventional_hydroelectric_1,1957,21,.
p1_conventional_hydroelectric_1,1959,103.4,.
p1_conventional_hydroelectric_1,1960,79.3,.
p1_conventional_hydroelectric_1,1978,168,.
p1_conventional_hydroelectric_1,1979,168,.
p1_conventional_hydroelectric_1,1984,104,.
p1_conventional_hydroelectric_1,2013,35.7,.
p1_natural_gas_fired_combined_cycle_1,1993,137.3,.
p1_natural_gas_fired_combined_cycle_1,1994,286,.
p1_natural_gas_fired_combined_cycle_1,2002,265,.
p1_natural_gas_fired_combined_cycle_2,1993,182.5,.
p1_natural_gas_fired_combustion_turbine_1,1981,324.4,.
p1_natural_gas_fired_combustion_turbine_1,1984,228,.
p1_natural_gas_fired_combustion_turbine_1,1991,92,.
p1_natural_gas_fired_combustion_turbine_1,1993,46,.
p1_natural_gas_fired_combustion_turbine_1,2001,120,.
p1_onshore_wind_turbine_1,2006,228.6,.
p1_onshore_wind_turbine_1,2009,44,.
p1_onshore_wind_turbine_1,2010,190.7,.
p1_onshore_wind_turbine_1,2012,4.3,.
p1_onshore_wind_turbine_1,2020,136.8,.
p1_other_peaker_1,2023,3,.
p1_petroleum_liquids_1,1969,2.5,.
p1_petroleum_liquids_1,1993,4,.
p1_petroleum_liquids_1,1994,2,.
p1_petroleum_liquids_1,2003,4,.
p1_petroleum_liquids_1,2022,2,.
p1_small_hydroelectric_1,1898,0,.
p1_small_hydroelectric_1,1904,0,.
p1_small_hydroelectric_1,1906,2.36023671938362,.
p1_small_hydroelectric_1,1921,0,.
p1_small_hydroelectric_1,1929,0,.
p1_small_hydroelectric_1,1930,0,.
p1_small_hydroelectric_1,1955,0,.
p1_small_hydroelectric_1,1958,6.72636607866991,.
p1_small_hydroelectric_1,1989,0,.
p1_small_hydroelectric_1,1990,6.02140585265566,.
p1_small_hydroelectric_1,1994,1.14805099351176,.
p1_small_hydroelectric_1,1995,5.37056467964315,.
p1_small_hydroelectric_1,2011,1.75932684509327,.
p1_small_hydroelectric_1,2013,0,.
p1_small_hydroelectric_1,2018,3.19501405391593,.
p1_solar_photovoltaic_1,2007,0.3,.
p1_solar_photovoltaic_1,2019,0.5,.
p1_solar_photovoltaic_1,2022,15,.
p10_batteries_1,1541,11,44
p10_batteries_1,2015,1,3
p10_batteries_1,2016,92,148
p10_batteries_1,2017,5.5,22
p10_batteries_1,2018,31.6,78.8
p10_batteries_1,2019,17.6,94.3
p10_batteries_1,2020,100.4,94.1
p10_batteries_1,2021,1168.1,4452
p10_batteries_1,2022,1904.1,6394.5
p10_batteries_1,2023,1913,5778.2
p10_batteries_1,2024,3178.6,11651.4
