GROUP_NAME,PERIOD,min_annual_ratio,max_annual_ratio,min_peak_share,max_peak_share
AL,2028,0.884,0.975,,
AL,2030,0.884,0.975,,
AL,2035,0.884,0.975,,
AR,2028,0.726,0.922,,
AR,2030,0.726,0.922,,
AR,2035,0.726,0.922,,
AZ,2028,0.643,0.728,,
AZ,2030,0.643,0.728,,
AZ,2035,0.643,0.728,,
CA,2028,0.278,0.3,,
CA,2030,0.278,0.3,,
CA,2035,0.278,0.3,,
CO,2028,0.56,0.636,,
CO,2030,0.56,0.636,,
CO,2035,0.56,0.636,,
CT,2028,0.839,0.863,,
CT,2030,0.839,0.863,,
CT,2035,0.839,0.863,,
DE,2028,0.256,0.322,,
DE,2030,0.256,0.322,,
DE,2035,0.256,0.322,,
FL,2028,0.771,0.843,,
FL,2030,0.771,0.843,,
FL,2035,0.771,0.843,,
GA,2028,0.498,0.532,,
GA,2030,0.498,0.532,,
GA,2035,0.498,0.532,,
IA,2028,0.375,0.494,,
IA,2030,0.375,0.494,,
IA,2035,0.375,0.494,,
ID,2028,0.123,0.149,,
ID,2030,0.123,0.149,,
ID,2035,0.123,0.149,,
IL,2028,0.361,0.407,,
IL,2030,0.361,0.407,,
IL,2035,0.361,0.407,,
IN,2028,0.696,0.785,,
IN,2030,0.696,0.785,,
IN,2035,0.696,0.785,,
KS,2028,0.419,0.518,,
KS,2030,0.419,0.518,,
KS,2035,0.419,0.518,,
KY,2028,0.733,0.83,,
KY,2030,0.733,0.83,,
KY,2035,0.733,0.83,,
LA,2028,0.542,0.583,,
LA,2030,0.542,0.583,,
LA,2035,0.542,0.583,,
MA,2028,0.283,0.315,,
MA,2030,0.283,0.315,,
MA,2035,0.283,0.315,,
MD,2028,0.229,0.268,,
MD,2030,0.229,0.268,,
MD,2035,0.229,0.268,,
ME,2028,0.23,0.403,,
ME,2030,0.23,0.403,,
ME,2035,0.23,0.403,,
MI,2028,0.587,0.696,,
MI,2030,0.587,0.696,,
MI,2035,0.587,0.696,,
MN,2028,0.356,0.404,,
MN,2030,0.356,0.404,,
MN,2035,0.356,0.404,,
MO,2028,0.583,0.802,,
MO,2030,0.583,0.802,,
MO,2035,0.583,0.802,,
MS,2028,1.079,1.2,,
MS,2030,1.079,1.2,,
MS,2035,1.079,1.2,,
MT,2028,0.612,0.775,,
MT,2030,0.612,0.775,,
MT,2035,0.612,0.775,,
NC,2028,0.44,0.468,,
NC,2030,0.44,0.468,,
NC,2035,0.44,0.468,,
ND,2028,0.884,1.129,,
ND,2030,0.884,1.129,,
ND,2035,0.884,1.129,,
NE,2028,0.55,0.619,,
NE,2030,0.55,0.619,,
NE,2035,0.55,0.619,,
NH,2028,0.423,0.543,,
NH,2030,0.423,0.543,,
NH,2035,0.423,0.543,,
NJ,2028,0.389,0.416,,
NJ,2030,0.389,0.416,,
NJ,2035,0.389,0.416,,
NM,2028,0.673,0.923,,
NM,2030,0.673,0.923,,
NM,2035,0.673,0.923,,
NV,2028,0.61,0.704,,
NV,2030,0.61,0.704,,
NV,2035,0.61,0.704,,
NY,2028,0.346,0.389,,
NY,2030,0.346,0.389,,
NY,2035,0.346,0.389,,
OH,2028,0.664,0.71,,
OH,2030,0.664,0.71,,
OH,2035,0.664,0.71,,
OK,2028,0.612,0.773,,
OK,2030,0.612,0.773,,
OK,2035,0.612,0.773,,
OR,2028,0.343,0.404,,
OR,2030,0.343,0.404,,
OR,2035,0.343,0.404,,
PA,2028,0.998,1.061,,
PA,2030,0.998,1.061,,
PA,2035,0.998,1.061,,
RI,2028,0.873,1.182,,
RI,2030,0.873,1.182,,
RI,2035,0.873,1.182,,
SC,2028,0.423,0.457,,
SC,2030,0.423,0.457,,
SC,2035,0.423,0.457,,
SD,2028,0.171,0.197,,
SD,2030,0.171,0.197,,
SD,2035,0.171,0.197,,
TN,2028,0.274,0.289,,
TN,2030,0.274,0.289,,
TN,2035,0.274,0.289,,
TX,2028,0.62,0.645,,
TX,2030,0.62,0.645,,
TX,2035,0.62,0.645,,
UT,2028,0.736,1.085,,
UT,2030,0.736,1.085,,
UT,2035,0.736,1.085,,
VA,2028,0.381,0.53,,
VA,2030,0.381,0.53,,
VA,2035,0.381,0.53,,
VT,2028,0.06,0.078,,
VT,2030,0.06,0.078,,
VT,2035,0.06,0.078,,
WA,2028,0.191,0.234,,
WA,2030,0.191,0.234,,
WA,2035,0.191,0.234,,
WI,2028,0.599,0.658,,
WI,2030,0.599,0.658,,
WI,2035,0.599,0.658,,
WV,2028,1.353,1.826,,
WV,2030,1.353,1.826,,
WV,2035,1.353,1.826,,
WY,2028,1.904,2.192,,
WY,2030,1.904,2.192,,
WY,2035,1.904,2.192,,
