GENERATION_PROJECT,PERIOD,gen_fixed_om_by_period,gen_variable_om_by_period,gen_storage_energy_fixed_om_by_period
p10_conventional_steam_coal_1,2028,-483.333333333328,.,.
p10_conventional_steam_coal_2,2028,-483.333333333328,.,.
p10_other_peaker_1,2028,.,0.153333333333333,.
p101_biomass_1,2028,.,0.00666666666666682,.
p101_conventional_steam_coal_1,2028,-483.666666666672,.,.
p101_conventional_steam_coal_2,2028,-483.666666666672,.,.
p101_natural_gas_fired_combustion_turbine_1,2028,3.33333333333394,.,.
p103_conventional_steam_coal_1,2028,-483.333333333328,.,.
p103_conventional_steam_coal_2,2028,-4045.33333333333,.,.
p105_conventional_steam_coal_1,2028,-483.666666666672,.,.
p107_conventional_steam_coal_1,2028,-484,.,.
p107_conventional_steam_coal_2,2028,-483.333333333328,.,.
p108_conventional_steam_coal_1,2028,-484,.,.
p109_conventional_steam_coal_1,2028,-483.666666666672,.,.
p109_conventional_steam_coal_2,2028,-483.333333333328,.,.
p111_conventional_steam_coal_1,2028,-484,.,.
p111_conventional_steam_coal_2,2028,-483.333333333328,.,.
p112_conventional_steam_coal_1,2028,-483.333333333328,.,.
p112_conventional_steam_coal_2,2028,-484,.,.
p115_conventional_steam_coal_1,2028,-483.333333333328,.,.
p115_conventional_steam_coal_2,2028,-484,.,.
p116_conventional_steam_coal_1,2028,-484,.,.
p116_conventional_steam_coal_2,2028,-484,.,.
p117_conventional_steam_coal_1,2028,-483.666666666672,.,.
p117_conventional_steam_coal_2,2028,-484,.,.
p118_conventional_steam_coal_1,2028,-484,.,.
p118_other_peaker_1,2028,.,1.43333333333333,.
p12_conventional_steam_coal_1,2028,-483.333333333328,.,.
p12_conventional_steam_coal_2,2028,-483.333333333328,.,.
p122_conventional_steam_coal_1,2028,-483.666666666672,.,.
p122_conventional_steam_coal_2,2028,-483.333333333328,.,.
p123_conventional_steam_coal_1,2028,-484,.,.
p123_conventional_steam_coal_2,2028,-483.333333333328,.,.
p123_petroleum_liquids_1,2028,.,-1.26666666666667,.
p130_conventional_steam_coal_1,2028,-484,.,.
p130_conventional_steam_coal_2,2028,-484,.,.
p131_other_peaker_1,2028,.,0.0333333333333323,.
p132_other_peaker_1,2028,.,-0.00333333333333208,.
p18_conventional_steam_coal_1,2028,-484,.,.
p20_conventional_steam_coal_1,2028,-483.666666666672,.,.
p20_conventional_steam_coal_2,2028,-483.666666666672,.,.
p21_conventional_steam_coal_1,2028,-484,.,.
p21_conventional_steam_coal_2,2028,-484,.,.
p23_conventional_steam_coal_1,2028,-483.666666666672,.,.
p23_conventional_steam_coal_2,2028,-483.666666666672,.,.
p24_conventional_steam_coal_1,2028,-483.666666666672,.,.
p24_conventional_steam_coal_2,2028,-483.666666666672,.,.
p25_conventional_steam_coal_1,2028,-484,.,.
p25_conventional_steam_coal_2,2028,-484,.,.
p25_natural_gas_fired_combustion_turbine_1,2028,-116.666666666666,.,.
p25_other_peaker_1,2028,.,1.07,.
p26_conventional_steam_coal_1,2028,-483.666666666672,.,.
p28_conventional_steam_coal_1,2028,-483.333333333328,.,.
p29_conventional_steam_coal_1,2028,-175.666666666672,.,.
p29_conventional_steam_coal_2,2028,-483.666666666672,.,.
p31_conventional_steam_coal_1,2028,-484,.,.
p31_conventional_steam_coal_2,2028,-483.666666666672,.,.
p31_other_peaker_1,2028,.,-0.313333333333334,.
p33_conventional_steam_coal_1,2028,-2841.33333333333,.,.
p33_conventional_steam_coal_2,2028,-1451.33333333333,.,.
p34_conventional_steam_coal_1,2028,-484,.,.
p34_conventional_steam_coal_2,2028,-483.666666666672,.,.
p36_conventional_steam_coal_1,2028,-484,.,.
p36_conventional_steam_coal_2,2028,-484,.,.
p37_conventional_steam_coal_1,2028,-483.333333333328,.,.
p37_conventional_steam_coal_2,2028,-484,.,.
p38_conventional_steam_coal_1,2028,-483.333333333328,.,.
p40_conventional_steam_coal_1,2028,-483.666666666672,.,.
p40_conventional_steam_coal_2,2028,-484,.,.
p41_conventional_steam_coal_1,2028,-483.666666666672,.,.
p41_conventional_steam_coal_2,2028,-483.333333333328,.,.
p42_conventional_steam_coal_1,2028,-483.333333333328,.,.
p43_conventional_steam_coal_1,2028,-483.333333333328,.,.
p43_conventional_steam_coal_2,2028,-779,.,.
p44_conventional_steam_coal_1,2028,-483.333333333328,.,.
p45_conventional_steam_coal_1,2028,-483.333333333328,.,.
p45_conventional_steam_coal_2,2028,-484,.,.
p46_biomass_1,2028,.,-0.00666666666666682,.
p46_conventional_steam_coal_1,2028,-483.333333333328,.,.
p46_petroleum_liquids_1,2028,.,3.39333333333333,.
p48_conventional_steam_coal_2,2028,-483.666666666672,.,.
p48_other_peaker_1,2028,.,-0.00999999999999979,.
p50_conventional_steam_coal_1,2028,-484,.,.
p50_conventional_steam_coal_2,2028,-483.666666666672,.,.
p50_natural_gas_fired_combustion_turbine_1,2028,48,.,.
p51_conventional_steam_coal_1,2028,-484,.,.
p52_conventional_steam_coal_1,2028,-483.333333333328,.,.
p53_conventional_steam_coal_1,2028,-483.333333333328,.,.
p53_conventional_steam_coal_2,2028,-484,.,.
p54_conventional_steam_coal_1,2028,-484,.,.
p54_conventional_steam_coal_2,2028,-483.333333333328,.,.
p54_other_peaker_1,2028,.,0.173333333333334,.
p55_conventional_steam_coal_1,2028,-484,.,.
p55_conventional_steam_coal_2,2028,-483.666666666672,.,.
p55_natural_gas_fired_combustion_turbine_1,2028,-137.666666666666,.,.
p56_conventional_steam_coal_1,2028,-483.666666666672,.,.
p57_conventional_steam_coal_1,2028,-483.333333333328,.,.
p57_conventional_steam_coal_2,2028,-484,.,.
p58_conventional_steam_coal_1,2028,-483.666666666672,.,.
p58_conventional_steam_coal_2,2028,-484,.,.
p58_other_peaker_1,2028,.,-0.113333333333333,.
p59_natural_gas_fired_combustion_turbine_1,2028,272.666666666666,.,.
p59_other_peaker_1,2028,.,1.06666666666667,.
p63_conventional_steam_coal_1,2028,-483.666666666672,.,.
p63_conventional_steam_coal_2,2028,-483.666666666672,.,.
p64_conventional_steam_coal_1,2028,-484,.,.
p64_conventional_steam_coal_2,2028,-483.333333333328,.,.
p65_conventional_steam_coal_1,2028,-484,.,.
p65_conventional_steam_coal_2,2028,-483.666666666672,.,.
p65_other_peaker_1,2028,.,-0.0466666666666669,.
p66_other_peaker_1,2028,.,0.00333333333333297,.
p67_conventional_steam_coal_1,2028,-484,.,.
p67_conventional_steam_coal_2,2028,-483.666666666672,.,.
p70_conventional_steam_coal_1,2028,-483.333333333328,.,.
p70_conventional_steam_coal_2,2028,-483.666666666672,.,.
p70_natural_gas_fired_combustion_turbine_1,2028,66,.,.
p72_conventional_steam_coal_1,2028,-484,.,.
p72_conventional_steam_coal_2,2028,-483.666666666672,.,.
p74_conventional_steam_coal_1,2028,-483.333333333328,.,.
p75_conventional_steam_coal_1,2028,-484,.,.
p75_conventional_steam_coal_2,2028,-484,.,.
p76_conventional_steam_coal_1,2028,-483.333333333328,.,.
p76_conventional_steam_coal_2,2028,-482.666666666672,.,.
p79_conventional_steam_coal_1,2028,-484,.,.
p79_conventional_steam_coal_2,2028,-483.333333333328,.,.
p81_conventional_steam_coal_1,2028,-483.333333333328,.,.
p81_conventional_steam_coal_2,2028,-484,.,.
p82_conventional_steam_coal_1,2028,-484,.,.
p82_conventional_steam_coal_2,2028,-483.666666666672,.,.
p83_conventional_steam_coal_1,2028,-483.333333333328,.,.
p84_conventional_steam_coal_1,2028,-483.666666666672,.,.
p84_conventional_steam_coal_2,2028,-483.333333333328,.,.
p85_conventional_steam_coal_1,2028,-484,.,.
p85_conventional_steam_coal_2,2028,-483.333333333328,.,.
p87_other_peaker_1,2028,.,0.0633333333333335,.
p88_conventional_steam_coal_1,2028,-484,.,.
p89_conventional_steam_coal_1,2028,-483.666666666672,.,.
p89_conventional_steam_coal_2,2028,-484,.,.
p90_conventional_steam_coal_1,2028,-484,.,.
p90_conventional_steam_coal_2,2028,-483.333333333328,.,.
p92_conventional_steam_coal_2,2028,-422,.,.
p92_natural_gas_fired_combustion_turbine_1,2028,-10,.,.
p93_conventional_steam_coal_1,2028,-484,.,.
p93_conventional_steam_coal_2,2028,-532,.,.
p94_conventional_steam_coal_1,2028,-484,.,.
p94_conventional_steam_coal_2,2028,-484,.,.
p96_conventional_steam_coal_1,2028,-487.333333333328,.,.
p96_conventional_steam_coal_2,2028,-484,.,.
p96_petroleum_liquids_1,2028,.,0.723333333333333,.
p97_conventional_steam_coal_1,2028,-484,.,.
p97_conventional_steam_coal_2,2028,-405.333333333328,.,.
p97_other_peaker_1,2028,.,0.00999999999999979,.
p98_conventional_steam_coal_1,2028,-484,.,.
p98_conventional_steam_coal_2,2028,-484,.,.
p99_conventional_steam_coal_1,2028,-483.333333333328,.,.
p99_conventional_steam_coal_2,2028,-484,.,.
p1_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p1_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
