GENERATION_PROJECT,PERIOD,gen_ptc_value_per_mwh
p1_landbasedwind_class3_moderate_1,2030,27.5
p1_landbasedwind_class3_moderate_2,2030,27.5
p1_utilitypv_class1_moderate_1,2030,27.5
p1_utilitypv_class1_moderate_2,2030,27.5
p1_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p1_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p1_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p1_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p1_offshorewind_class12_moderate_floating_0_1,2030,27.5
p1_offshorewind_class12_moderate_floating_0_2,2030,27.5
p2_landbasedwind_class3_moderate_1,2030,27.5
p2_landbasedwind_class3_moderate_2,2030,27.5
p2_utilitypv_class1_moderate_1,2030,27.5
p2_utilitypv_class1_moderate_2,2030,27.5
p3_landbasedwind_class3_moderate_1,2030,27.5
p3_landbasedwind_class3_moderate_2,2030,27.5
p3_utilitypv_class1_moderate_1,2030,27.5
p3_utilitypv_class1_moderate_2,2030,27.5
p4_landbasedwind_class3_moderate_1,2030,27.5
p4_landbasedwind_class3_moderate_2,2030,27.5
p4_utilitypv_class1_moderate_1,2030,27.5
p4_utilitypv_class1_moderate_2,2030,27.5
p5_landbasedwind_class3_moderate_1,2030,27.5
p5_landbasedwind_class3_moderate_2,2030,27.5
p5_utilitypv_class1_moderate_1,2030,27.5
p5_utilitypv_class1_moderate_2,2030,27.5
p5_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p5_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p5_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p5_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p5_offshorewind_class12_moderate_floating_0_1,2030,27.5
p5_offshorewind_class12_moderate_floating_0_2,2030,27.5
p6_landbasedwind_class3_moderate_1,2030,27.5
p6_landbasedwind_class3_moderate_2,2030,27.5
p6_utilitypv_class1_moderate_1,2030,27.5
p6_utilitypv_class1_moderate_2,2030,27.5
p7_landbasedwind_class3_moderate_1,2030,27.5
p7_landbasedwind_class3_moderate_2,2030,27.5
p7_utilitypv_class1_moderate_1,2030,27.5
p7_utilitypv_class1_moderate_2,2030,27.5
p8_landbasedwind_class3_moderate_1,2030,27.5
p8_landbasedwind_class3_moderate_2,2030,27.5
p8_utilitypv_class1_moderate_1,2030,27.5
p8_utilitypv_class1_moderate_2,2030,27.5
p9_landbasedwind_class3_moderate_1,2030,27.5
p9_landbasedwind_class3_moderate_2,2030,27.5
p9_utilitypv_class1_moderate_1,2030,27.5
p9_utilitypv_class1_moderate_2,2030,27.5
p9_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p9_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p9_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p9_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p9_offshorewind_class12_moderate_floating_0_1,2030,27.5
p9_offshorewind_class12_moderate_floating_0_2,2030,27.5
p10_landbasedwind_class3_moderate_1,2030,27.5
p10_landbasedwind_class3_moderate_2,2030,27.5
p10_utilitypv_class1_moderate_1,2030,27.5
p10_utilitypv_class1_moderate_2,2030,27.5
p10_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p10_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p10_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p10_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p10_offshorewind_class12_moderate_floating_0_1,2030,27.5
p10_offshorewind_class12_moderate_floating_0_2,2030,27.5
p11_landbasedwind_class3_moderate_1,2030,27.5
p11_landbasedwind_class3_moderate_2,2030,27.5
p11_utilitypv_class1_moderate_1,2030,27.5
p11_utilitypv_class1_moderate_2,2030,27.5
p11_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p11_offshorewind_class3_moderate_fixed_1_2,2030,27.5
