HYDRO_GENERATION_PROJECTS,hydro_efficiency,hydraulic_location
p1_conventional_hydroelectric_1,0.980392156862745,p1_conventional_hydroelectric_1
p10_conventional_hydroelectric_1,0.980392156862745,p10_conventional_hydroelectric_1
p101_conventional_hydroelectric_1,0.980392156862745,p101_conventional_hydroelectric_1
p103_conventional_hydroelectric_1,0.980392156862745,p103_conventional_hydroelectric_1
p105_conventional_hydroelectric_1,0.980392156862745,p105_conventional_hydroelectric_1
p107_conventional_hydroelectric_1,0.980392156862745,p107_conventional_hydroelectric_1
p109_conventional_hydroelectric_1,0.980392156862745,p109_conventional_hydroelectric_1
p11_conventional_hydroelectric_1,0.980392156862745,p11_conventional_hydroelectric_1
p110_conventional_hydroelectric_1,0.980392156862745,p110_conventional_hydroelectric_1
p112_conventional_hydroelectric_1,0.980392156862745,p112_conventional_hydroelectric_1
p115_conventional_hydroelectric_1,0.980392156862745,p115_conventional_hydroelectric_1
p116_conventional_hydroelectric_1,0.980392156862745,p116_conventional_hydroelectric_1
p117_conventional_hydroelectric_1,0.980392156862745,p117_conventional_hydroelectric_1
p118_conventional_hydroelectric_1,0.980392156862745,p118_conventional_hydroelectric_1
p122_conventional_hydroelectric_1,0.980392156862745,p122_conventional_hydroelectric_1
p123_conventional_hydroelectric_1,0.980392156862745,p123_conventional_hydroelectric_1
p127_conventional_hydroelectric_1,0.980392156862745,p127_conventional_hydroelectric_1
p129_conventional_hydroelectric_1,0.980392156862745,p129_conventional_hydroelectric_1
p13_conventional_hydroelectric_1,0.980392156862745,p13_conventional_hydroelectric_1
p130_conventional_hydroelectric_1,0.980392156862745,p130_conventional_hydroelectric_1
p131_conventional_hydroelectric_1,0.980392156862745,p131_conventional_hydroelectric_1
p132_conventional_hydroelectric_1,0.980392156862745,p132_conventional_hydroelectric_1
p134_conventional_hydroelectric_1,0.980392156862745,p134_conventional_hydroelectric_1
p14_conventional_hydroelectric_1,0.980392156862745,p14_conventional_hydroelectric_1
p15_conventional_hydroelectric_1,0.980392156862745,p15_conventional_hydroelectric_1
p16_conventional_hydroelectric_1,0.980392156862745,p16_conventional_hydroelectric_1
p17_conventional_hydroelectric_1,0.980392156862745,p17_conventional_hydroelectric_1
p18_conventional_hydroelectric_1,0.980392156862745,p18_conventional_hydroelectric_1
p19_conventional_hydroelectric_1,0.980392156862745,p19_conventional_hydroelectric_1
p2_conventional_hydroelectric_1,0.980392156862745,p2_conventional_hydroelectric_1
p24_conventional_hydroelectric_1,0.980392156862745,p24_conventional_hydroelectric_1
p26_conventional_hydroelectric_1,0.980392156862745,p26_conventional_hydroelectric_1
p27_conventional_hydroelectric_1,0.980392156862745,p27_conventional_hydroelectric_1
p28_conventional_hydroelectric_1,0.980392156862745,p28_conventional_hydroelectric_1
p3_conventional_hydroelectric_1,0.980392156862745,p3_conventional_hydroelectric_1
p33_conventional_hydroelectric_1,0.980392156862745,p33_conventional_hydroelectric_1
p34_conventional_hydroelectric_1,0.980392156862745,p34_conventional_hydroelectric_1
p36_conventional_hydroelectric_1,0.980392156862745,p36_conventional_hydroelectric_1
p38_conventional_hydroelectric_1,0.980392156862745,p38_conventional_hydroelectric_1
p39_conventional_hydroelectric_1,0.980392156862745,p39_conventional_hydroelectric_1
p4_conventional_hydroelectric_1,0.980392156862745,p4_conventional_hydroelectric_1
p40_conventional_hydroelectric_1,0.980392156862745,p40_conventional_hydroelectric_1
p42_conventional_hydroelectric_1,0.980392156862745,p42_conventional_hydroelectric_1
p43_conventional_hydroelectric_1,0.980392156862745,p43_conventional_hydroelectric_1
p5_conventional_hydroelectric_1,0.980392156862745,p5_conventional_hydroelectric_1
p50_conventional_hydroelectric_1,0.980392156862745,p50_conventional_hydroelectric_1
p51_conventional_hydroelectric_1,0.980392156862745,p51_conventional_hydroelectric_1
p55_conventional_hydroelectric_1,0.980392156862745,p55_conventional_hydroelectric_1
p56_conventional_hydroelectric_1,0.980392156862745,p56_conventional_hydroelectric_1
p58_conventional_hydroelectric_1,0.980392156862745,p58_conventional_hydroelectric_1
p6_conventional_hydroelectric_1,0.980392156862745,p6_conventional_hydroelectric_1
p61_conventional_hydroelectric_1,0.980392156862745,p61_conventional_hydroelectric_1
p63_conventional_hydroelectric_1,0.980392156862745,p63_conventional_hydroelectric_1
p64_conventional_hydroelectric_1,0.980392156862745,p64_conventional_hydroelectric_1
p65_conventional_hydroelectric_1,0.980392156862745,p65_conventional_hydroelectric_1
p66_conventional_hydroelectric_1,0.980392156862745,p66_conventional_hydroelectric_1
p7_conventional_hydroelectric_1,0.980392156862745,p7_conventional_hydroelectric_1
p70_conventional_hydroelectric_1,0.980392156862745,p70_conventional_hydroelectric_1
p72_conventional_hydroelectric_1,0.980392156862745,p72_conventional_hydroelectric_1
p76_conventional_hydroelectric_1,0.980392156862745,p76_conventional_hydroelectric_1
p77_conventional_hydroelectric_1,0.980392156862745,p77_conventional_hydroelectric_1
p80_conventional_hydroelectric_1,0.980392156862745,p80_conventional_hydroelectric_1
p85_conventional_hydroelectric_1,0.980392156862745,p85_conventional_hydroelectric_1
p89_conventional_hydroelectric_1,0.980392156862745,p89_conventional_hydroelectric_1
p9_conventional_hydroelectric_1,0.980392156862745,p9_conventional_hydroelectric_1
p90_conventional_hydroelectric_1,0.980392156862745,p90_conventional_hydroelectric_1
p92_conventional_hydroelectric_1,0.980392156862745,p92_conventional_hydroelectric_1
p93_conventional_hydroelectric_1,0.980392156862745,p93_conventional_hydroelectric_1
p94_conventional_hydroelectric_1,0.980392156862745,p94_conventional_hydroelectric_1
p95_conventional_hydroelectric_1,0.980392156862745,p95_conventional_hydroelectric_1
p96_conventional_hydroelectric_1,0.980392156862745,p96_conventional_hydroelectric_1
p97_conventional_hydroelectric_1,0.980392156862745,p97_conventional_hydroelectric_1
p98_conventional_hydroelectric_1,0.980392156862745,p98_conventional_hydroelectric_1
p99_conventional_hydroelectric_1,0.980392156862745,p99_conventional_hydroelectric_1
