MAX_CAP_PROGRAM,PERIOD,max_cap_mw
MaxCapTag_Ban,2028,0.0
MaxCapTag_NuclearGrowth,2028,100016.40000000001
MaxCapTag_GasTurbineSupply,2028,490110.86666666664
MaxCapTag_SolarGrowth,2028,319391.27968
MaxCapTag_WindGrowth,2028,209901.5
MaxCapTag_WindGrowth_CAISO,2028,8973.3
MaxCapTag_WindGrowth_ERCOT,2028,57936.5
MaxCapTag_WindGrowth_ISONE,2028,1729.8999999999999
MaxCapTag_WindGrowth_MISO,2028,45081.7
MaxCapTag_WindGrowth_NYISO,2028,3495.3
MaxCapTag_WindGrowth_NorthernGrid,2028,19013.5
MaxCapTag_WindGrowth_PJM,2028,15477.7
MaxCapTag_WindGrowth_SPP,2028,45454.1
MaxCapTag_WindGrowth_WestConnect,2028,22839.7
MaxCapTag_Ban,2030,0.0
MaxCapTag_NuclearGrowth,2030,100016.40000000001
MaxCapTag_GasTurbineSupply,2030,509444.19999999995
MaxCapTag_SolarGrowth,2030,487957.6907392
MaxCapTag_WindGrowth,2030,238881.5
MaxCapTag_WindGrowth_CAISO,2030,8211.5
MaxCapTag_WindGrowth_ERCOT,2030,64427.9
MaxCapTag_WindGrowth_ISONE,2030,2288.8
MaxCapTag_WindGrowth_MISO,2030,51574.2
MaxCapTag_WindGrowth_NYISO,2030,3996.8
MaxCapTag_WindGrowth_NorthernGrid,2030,11801.52
MaxCapTag_WindGrowth_PJM,2030,16253.0
MaxCapTag_WindGrowth_SPP,2030,56377.6
MaxCapTag_WindGrowth_WestConnect,2030,22658.4
MaxCapTag_Ban,2035,0.0
MaxCapTag_NuclearGrowth,2035,110016.40000000001
MaxCapTag_GasTurbineSupply,2035,557777.5333333333
MaxCapTag_SolarGrowth,2035,1309021.999164166
MaxCapTag_WindGrowth,2035,311331.5
