MIN_CAP_PROGRAM,PERIOD,min_cap_mw
MinCapTag_CT_offshorewind,2028,0
MinCapTag_MA_offshorewind,2028,0
MinCapTag_NY_offshorewind,2028,0
MinCapTag_RI_offshorewind,2028,0
MinCapTag_VA_offshorewind,2028,0
MinCapTag_CT_offshorewind,2030,0
MinCapTag_MA_offshorewind,2030,0
MinCapTag_MD_offshorewind,2030,0
MinCapTag_NY_offshorewind,2030,0
MinCapTag_RI_offshorewind,2030,0
MinCapTag_VA_offshorewind,2030,0
MinCapTag_CA_offshorewind,2035,0
MinCapTag_CT_offshorewind,2035,0
MinCapTag_MA_offshorewind,2035,0
MinCapTag_MD_offshorewind,2035,0
MinCapTag_ME_offshorewind,2035,0
MinCapTag_NJ_offshorewind,2035,0
MinCapTag_NY_offshorewind,2035,0
MinCapTag_RI_offshorewind,2035,0
MinCapTag_VA_offshorewind,2035,0
