LOAD_ZONE,TIMESERIES,planning_reserve_margin
p1,2028_p1662_prm,0.08
p10,2028_p1662_prm,0.08
p100,2028_p1662_prm,0.08
p101,2028_p1662_prm,0.08
p102,2028_p1662_prm,0.08
p103,2028_p1662_prm,0.08
p104,2028_p1662_prm,0.08
p105,2028_p1662_prm,0.08
p106,2028_p1662_prm,0.08
p107,2028_p1662_prm,0.08
p108,2028_p1662_prm,0.08
p109,2028_p1662_prm,0.08
p11,2028_p1662_prm,0.08
p110,2028_p1662_prm,0.08
p111,2028_p1662_prm,0.08
p112,2028_p1662_prm,0.08
p113,2028_p1662_prm,0.08
p114,2028_p1662_prm,0.08
p115,2028_p1662_prm,0.08
p116,2028_p1662_prm,0.08
p117,2028_p1662_prm,0.08
p118,2028_p1662_prm,0.08
p119,2028_p1662_prm,0.08
p12,2028_p1662_prm,0.08
p120,2028_p1662_prm,0.08
p121,2028_p1662_prm,0.08
p122,2028_p1662_prm,0.08
p123,2028_p1662_prm,0.08
p124,2028_p1662_prm,0.08
p125,2028_p1662_prm,0.08
p126,2028_p1662_prm,0.08
p127,2028_p1662_prm,0.08
p128,2028_p1662_prm,0.08
p129,2028_p1662_prm,0.08
p13,2028_p1662_prm,0.08
p130,2028_p1662_prm,0.08
p131,2028_p1662_prm,0.08
p132,2028_p1662_prm,0.08
p133,2028_p1662_prm,0.08
p134,2028_p1662_prm,0.08
p14,2028_p1662_prm,0.08
p15,2028_p1662_prm,0.08
p16,2028_p1662_prm,0.08
p17,2028_p1662_prm,0.08
p18,2028_p1662_prm,0.08
p19,2028_p1662_prm,0.08
p2,2028_p1662_prm,0.08
p20,2028_p1662_prm,0.08
p21,2028_p1662_prm,0.08
p22,2028_p1662_prm,0.08
p23,2028_p1662_prm,0.08
p24,2028_p1662_prm,0.08
p25,2028_p1662_prm,0.08
p26,2028_p1662_prm,0.08
p27,2028_p1662_prm,0.08
p28,2028_p1662_prm,0.08
p29,2028_p1662_prm,0.08
p3,2028_p1662_prm,0.08
p30,2028_p1662_prm,0.08
p31,2028_p1662_prm,0.08
p32,2028_p1662_prm,0.08
p33,2028_p1662_prm,0.08
p34,2028_p1662_prm,0.08
p35,2028_p1662_prm,0.08
p36,2028_p1662_prm,0.08
p37,2028_p1662_prm,0.08
p38,2028_p1662_prm,0.08
p39,2028_p1662_prm,0.08
p4,2028_p1662_prm,0.08
p40,2028_p1662_prm,0.08
p41,2028_p1662_prm,0.08
p42,2028_p1662_prm,0.08
p43,2028_p1662_prm,0.0
p44,2028_p1662_prm,0.08
p45,2028_p1662_prm,0.08
p46,2028_p1662_prm,0.08
p47,2028_p1662_prm,0.08
p48,2028_p1662_prm,0.08
p49,2028_p1662_prm,0.08
p5,2028_p1662_prm,0.08
p50,2028_p1662_prm,0.08
p51,2028_p1662_prm,0.08
p52,2028_p1662_prm,0.08
p53,2028_p1662_prm,0.08
p54,2028_p1662_prm,0.08
p55,2028_p1662_prm,0.08
p56,2028_p1662_prm,0.08
p57,2028_p1662_prm,0.08
p58,2028_p1662_prm,0.08
p59,2028_p1662_prm,0.08
p6,2028_p1662_prm,0.08
p60,2028_p1662_prm,0.08
p61,2028_p1662_prm,0.08
p62,2028_p1662_prm,0.08
p63,2028_p1662_prm,0.08
p64,2028_p1662_prm,0.08
p65,2028_p1662_prm,0.08
p66,2028_p1662_prm,0.08
p67,2028_p1662_prm,0.08
p68,2028_p1662_prm,0.08
p69,2028_p1662_prm,0.08
p7,2028_p1662_prm,0.08
p70,2028_p1662_prm,0.08
p71,2028_p1662_prm,0.08
p72,2028_p1662_prm,0.08
p73,2028_p1662_prm,0.08
p74,2028_p1662_prm,0.08
p75,2028_p1662_prm,0.08
p76,2028_p1662_prm,0.08
p77,2028_p1662_prm,0.08
p78,2028_p1662_prm,0.08
p79,2028_p1662_prm,0.08
p8,2028_p1662_prm,0.08
p80,2028_p1662_prm,0.08
p81,2028_p1662_prm,0.08
p82,2028_p1662_prm,0.08
p83,2028_p1662_prm,0.08
p84,2028_p1662_prm,0.08
p85,2028_p1662_prm,0.08
p86,2028_p1662_prm,0.08
p87,2028_p1662_prm,0.08
p88,2028_p1662_prm,0.08
p89,2028_p1662_prm,0.08
p9,2028_p1662_prm,0.08
p90,2028_p1662_prm,0.08
p91,2028_p1662_prm,0.08
p92,2028_p1662_prm,0.08
p93,2028_p1662_prm,0.08
p94,2028_p1662_prm,0.08
p95,2028_p1662_prm,0.08
p96,2028_p1662_prm,0.08
