RPS_PROGRAM,RPS_GEN,send_bundled_recs,send_unbundled_recs
ESR_AZ_rps,p10_biomass_1,1,0
ESR_AZ_rps,p10_conventional_hydroelectric_1,1,0
ESR_AZ_rps,p10_distributed_generation_1,1,0
ESR_AZ_rps,p10_geothermal_1,1,0
ESR_AZ_rps,p10_landbasedwind_class3_moderate_1,1,0
ESR_AZ_rps,p10_landbasedwind_class3_moderate_2,1,0
ESR_AZ_rps,p10_offshorewind_class12_moderate_floating_0_1,1,0
ESR_AZ_rps,p10_offshorewind_class12_moderate_floating_0_2,1,0
ESR_AZ_rps,p10_offshorewind_class3_moderate_fixed_0_1,1,0
ESR_AZ_rps,p10_offshorewind_class3_moderate_fixed_0_2,1,0
ESR_AZ_rps,p10_offshorewind_class3_moderate_fixed_1_1,1,0
ESR_AZ_rps,p10_offshorewind_class3_moderate_fixed_1_2,1,0
ESR_AZ_rps,p10_onshore_wind_turbine_1,1,0
ESR_AZ_rps,p10_small_hydroelectric_1,1,0
ESR_AZ_rps,p10_solar_photovoltaic_1,1,0
ESR_AZ_rps,p10_utilitypv_class1_moderate_1,1,0
ESR_AZ_rps,p10_utilitypv_class1_moderate_2,1,0
ESR_AZ_rps,p11_biomass_1,1,0
ESR_AZ_rps,p11_conventional_hydroelectric_1,1,0
ESR_AZ_rps,p11_distributed_generation_1,1,0
ESR_AZ_rps,p11_landbasedwind_class3_moderate_1,1,0
ESR_AZ_rps,p11_landbasedwind_class3_moderate_2,1,0
ESR_AZ_rps,p11_offshorewind_class12_moderate_floating_0_1,1,0
ESR_AZ_rps,p11_offshorewind_class12_moderate_floating_0_2,1,0
ESR_AZ_rps,p11_offshorewind_class3_moderate_fixed_0_1,1,0
ESR_AZ_rps,p11_offshorewind_class3_moderate_fixed_0_2,1,0
ESR_AZ_rps,p11_offshorewind_class3_moderate_fixed_1_1,1,0
ESR_AZ_rps,p11_offshorewind_class3_moderate_fixed_1_2,1,0
ESR_AZ_rps,p11_onshore_wind_turbine_1,1,0
ESR_AZ_rps,p11_small_hydroelectric_1,1,0
ESR_AZ_rps,p11_solar_photovoltaic_1,1,0
ESR_AZ_rps,p11_utilitypv_class1_moderate_1,1,0
ESR_AZ_rps,p11_utilitypv_class1_moderate_2,1,0
ESR_AZ_rps,p27_conventional_hydroelectric_1,0,0
ESR_AZ_rps,p27_distributed_generation_1,0,0
ESR_AZ_rps,p27_landbasedwind_class3_moderate_1,0,0
ESR_AZ_rps,p27_landbasedwind_class3_moderate_2,0,0
ESR_AZ_rps,p27_onshore_wind_turbine_1,0,0
ESR_AZ_rps,p27_solar_photovoltaic_1,0,0
ESR_AZ_rps,p27_utilitypv_class1_moderate_1,0,0
ESR_AZ_rps,p27_utilitypv_class1_moderate_2,0,0
ESR_AZ_rps,p28_biomass_1,0,0
ESR_AZ_rps,p28_conventional_hydroelectric_1,0,0
ESR_AZ_rps,p28_distributed_generation_1,0,0
ESR_AZ_rps,p28_landbasedwind_class3_moderate_1,0,0
ESR_AZ_rps,p28_landbasedwind_class3_moderate_2,0,0
ESR_AZ_rps,p28_onshore_wind_turbine_1,0,0
ESR_AZ_rps,p28_small_hydroelectric_1,0,0
ESR_AZ_rps,p28_solar_photovoltaic_1,0,0
ESR_AZ_rps,p28_utilitypv_class1_moderate_1,0,0
ESR_AZ_rps,p28_utilitypv_class1_moderate_2,0,0
ESR_AZ_rps,p29_distributed_generation_1,0,0
ESR_AZ_rps,p29_landbasedwind_class3_moderate_1,0,0
ESR_AZ_rps,p29_landbasedwind_class3_moderate_2,0,0
ESR_AZ_rps,p29_solar_photovoltaic_1,0,0
ESR_AZ_rps,p29_utilitypv_class1_moderate_1,0,0
ESR_AZ_rps,p29_utilitypv_class1_moderate_2,0,0
ESR_AZ_rps,p30_distributed_generation_1,0,0
ESR_AZ_rps,p30_landbasedwind_class3_moderate_1,0,0
ESR_AZ_rps,p30_landbasedwind_class3_moderate_2,0,0
ESR_AZ_rps,p30_solar_photovoltaic_1,0,0
ESR_AZ_rps,p30_utilitypv_class1_moderate_1,0,0
ESR_AZ_rps,p30_utilitypv_class1_moderate_2,0,0
ESR_AZ_rps,p31_biomass_1,1,0
ESR_AZ_rps,p31_distributed_generation_1,1,0
ESR_AZ_rps,p31_geothermal_1,1,0
ESR_AZ_rps,p31_landbasedwind_class3_moderate_1,1,0
ESR_AZ_rps,p31_landbasedwind_class3_moderate_2,1,0
ESR_AZ_rps,p31_onshore_wind_turbine_1,1,0
ESR_AZ_rps,p31_small_hydroelectric_1,1,0
ESR_AZ_rps,p31_solar_photovoltaic_1,1,0
ESR_AZ_rps,p31_utilitypv_class1_moderate_1,1,0
ESR_AZ_rps,p31_utilitypv_class1_moderate_2,1,0
ESR_AZ_rps,p33_biomass_1,1,0
ESR_AZ_rps,p33_conventional_hydroelectric_1,1,0
ESR_AZ_rps,p33_distributed_generation_1,1,0
