RPS_PROGRAM,LOAD_ZONE,PERIOD,rps_share,unbundled_rec_limit_fraction
ESR_AZ_rps,p27,2028,0.0883171188723898,1
ESR_AZ_rps,p28,2028,0.0883171188723898,1
ESR_AZ_rps,p29,2028,0.0883171188723898,1
ESR_AZ_rps,p30,2028,0.0883171188723898,1
ESR_CA_ces,p8,2028,0.5488462160521055,0.25
ESR_CA_ces,p9,2028,0.5488462160521055,0.25
ESR_CA_ces,p10,2028,0.5488462160521055,0.25
ESR_CA_ces,p11,2028,0.5488462160521055,0.25
ESR_CA_rps,p8,2028,0.528057418756667,0.25
ESR_CA_rps,p9,2028,0.528057418756667,0.25
ESR_CA_rps,p10,2028,0.528057418756667,0.25
ESR_CA_rps,p11,2028,0.528057418756667,0.25
ESR_CO_ces,p33,2028,0.5089321635886886,0.083
ESR_CO_ces,p34,2028,0.5089321635886886,0.083
ESR_CO_rps,p33,2028,0.1973970889036206,0.083
ESR_CO_rps,p34,2028,0.1973970889036206,0.083
ESR_CT_ces,p132,2028,0.4276923076923076,0.59
ESR_CT_rps,p132,2028,0.4000000000000001,0.59
ESR_DE_rps,p125,2028,0.2029493766049792,0.94
ESR_DE_rps_solar,p125,2028,0.0338183769431707,0.94
ESR_IA_rps,p45,2028,0.0052426409504667,.
ESR_IA_rps,p69,2028,0.0052426409504667,.
ESR_IA_rps,p70,2028,0.0052426409504667,.
ESR_IL_ces,p80,2028,0.2805423682222886,0.08
ESR_IL_ces,p81,2028,0.2805423682222886,0.08
ESR_IL_ces,p82,2028,0.2805423682222886,0.08
ESR_IL_ces,p83,2028,0.2805423682222886,0.08
ESR_IL_rps,p80,2028,0.2805423682222886,0.08
ESR_IL_rps,p81,2028,0.2805423682222886,0.08
ESR_IL_rps,p82,2028,0.2805423682222886,0.08
ESR_IL_rps,p83,2028,0.2805423682222886,0.08
ESR_IL_rps_solar,p80,2028,0.1313769480538958,0.08
ESR_IL_rps_solar,p81,2028,0.1313769480538958,0.08
ESR_IL_rps_solar,p82,2028,0.1313769480538958,0.08
ESR_IL_rps_solar,p83,2028,0.1313769480538958,0.08
ESR_IL_rps_wind,p80,2028,0.1074902302259148,0.08
ESR_IL_rps_wind,p81,2028,0.1074902302259148,0.08
ESR_IL_rps_wind,p82,2028,0.1074902302259148,0.08
ESR_IL_rps_wind,p83,2028,0.1074902302259148,0.08
ESR_MA_ces,p131,2028,0.6215742114462052,0.62
ESR_MA_rps,p131,2028,0.3510160060928547,0.62
ESR_MA_rps_solar,p131,2028,0.0894264418738551,0.62
ESR_MD_rps,p121,2028,0.4654169045803244,0.71
ESR_MD_rps,p123,2028,0.4654169045803244,0.71
ESR_MD_rps_solar,p121,2028,0.0816881080334935,0.71
ESR_MD_rps_solar,p123,2028,0.0816881080334935,0.71
ESR_MD_rps_wind,p121,2028,0.1078020420967551,0.71
ESR_MD_rps_wind,p123,2028,0.1078020420967551,0.71
ESR_ME_ces,p134,2028,0.7008320533713877,1
ESR_ME_rps,p134,2028,0.7007540756810113,1
ESR_MI_ces,p74,2028,0.3124450720919533,.
ESR_MI_ces,p103,2028,0.3124450720919533,.
ESR_MI_ces,p104,2028,0.3124450720919533,.
ESR_MI_rps,p74,2028,0.3124450720919533,.
ESR_MI_rps,p103,2028,0.3124450720919533,.
ESR_MI_rps,p104,2028,0.3124450720919533,.
ESR_MN_ces,p42,2028,0.5715277040709164,0.24
ESR_MN_ces,p43,2028,0.5715277040709164,0.24
ESR_MN_ces,p44,2028,0.5715277040709164,0.24
ESR_MN_ces,p68,2028,0.5715277040709164,0.24
ESR_MN_rps,p42,2028,0.3455374550507284,0.24
ESR_MN_rps,p43,2028,0.3455374550507284,0.24
ESR_MN_rps,p44,2028,0.3455374550507284,0.24
ESR_MN_rps,p68,2028,0.3455374550507284,0.24
ESR_MN_rps_solar,p42,2028,0.0077088269517162,0.24
ESR_MN_rps_solar,p43,2028,0.0077088269517162,0.24
ESR_MN_rps_solar,p44,2028,0.0077088269517162,0.24
ESR_MN_rps_solar,p68,2028,0.0077088269517162,0.24
ESR_MO_rps,p54,2028,0.0983027817684033,0.94
ESR_MO_rps,p55,2028,0.0983027817684033,0.94
ESR_MO_rps,p71,2028,0.0983027817684033,0.94
ESR_MO_rps,p72,2028,0.0983027817684033,0.94
ESR_MO_rps,p73,2028,0.0983027817684033,0.94
ESR_MO_rps,p84,2028,0.0983027817684033,0.94
ESR_MO_rps_solar,p54,2028,0.0014662134584295,0.94
ESR_MO_rps_solar,p55,2028,0.0014662134584295,0.94
ESR_MO_rps_solar,p71,2028,0.0014662134584295,0.94
ESR_MO_rps_solar,p72,2028,0.0014662134584295,0.94
ESR_MO_rps_solar,p73,2028,0.0014662134584295,0.94
ESR_MO_rps_solar,p84,2028,0.0014662134584295,0.94
ESR_NC_ces,p97,2028,0.3716919230232424,0.25
ESR_NC_ces,p98,2028,0.3716919230232424,0.25
ESR_NC_rps,p97,2028,0.0481261846804933,0.25
ESR_NC_rps,p98,2028,0.0481261846804933,0.25
ESR_NC_rps_solar,p97,2028,0.0020669160910395,0.25
ESR_NC_rps_solar,p98,2028,0.0020669160910395,0.25
ESR_NE_ces,p39,2028,0.0288716755307393,.
ESR_NE_ces,p40,2028,0.0288716755307393,.
ESR_NE_ces,p41,2028,0.0288716755307393,.
ESR_NH_rps,p130,2028,0.208,0.35
ESR_NH_rps_solar,p130,2028,0.007,0.35
ESR_NJ_rps,p126,2028,0.4561850749161462,0.76
ESR_NJ_rps_solar,p126,2028,0.0366910146276642,0.76
ESR_NM_ces,p31,2028,0.415034099019966,.
ESR_NM_ces,p47,2028,0.415034099019966,.
ESR_NM_rps,p31,2028,0.415034099019966,.
ESR_NM_rps,p47,2028,0.415034099019966,.
ESR_NV_ces,p12,2028,0.4013174725051283,0
ESR_NV_ces,p13,2028,0.4013174725051283,0
ESR_NV_rps,p12,2028,0.4023304834923306,0
ESR_NV_rps,p13,2028,0.4023304834923306,0
ESR_NY_ces,p127,2028,0.6155555555555554,0
ESR_NY_ces,p128,2028,0.6155555555555554,0
ESR_NY_rps,p127,2028,0.6155555555555554,0
ESR_NY_rps,p128,2028,0.6155555555555554,0
ESR_OR_ces,p5,2028,0.4062712388972971,1
ESR_OR_ces,p6,2028,0.4062712388972971,1
ESR_OR_ces,p7,2028,0.4062712388972971,1
ESR_OR_rps,p5,2028,0.1984195061151577,1
ESR_OR_rps,p6,2028,0.1984195061151577,1
ESR_OR_rps,p7,2028,0.1984195061151577,1
ESR_OR_rps_solar,p5,2028,0.0001967981793754,1
ESR_OR_rps_solar,p6,2028,0.0001967981793754,1
ESR_OR_rps_solar,p7,2028,0.0001967981793754,1
ESR_PA_rps,p115,2028,0.0809434845413701,0.47
ESR_PA_rps,p119,2028,0.0809434845413701,0.47
ESR_PA_rps,p120,2028,0.0809434845413701,0.47
ESR_PA_rps,p122,2028,0.0809434845413701,0.47
ESR_PA_rps_solar,p115,2028,0.0050589677838356,0.47
ESR_PA_rps_solar,p119,2028,0.0050589677838356,0.47
ESR_PA_rps_solar,p120,2028,0.0050589677838356,0.47
ESR_PA_rps_solar,p122,2028,0.0050589677838356,0.47
ESR_RI_rps,p133,2028,0.5497863533792778,0.77
ESR_TX_rps,p48,2028,0.0298434947938827,.
ESR_TX_rps,p57,2028,0.0298434947938827,.
ESR_TX_rps,p59,2028,0.0298434947938827,.
ESR_TX_rps,p60,2028,0.0298434947938827,.
ESR_TX_rps,p61,2028,0.0298434947938827,.
ESR_TX_rps,p62,2028,0.0298434947938827,.
ESR_TX_rps,p63,2028,0.0298434947938827,.
ESR_TX_rps,p64,2028,0.0298434947938827,.
ESR_TX_rps,p65,2028,0.0298434947938827,.
ESR_TX_rps,p66,2028,0.0298434947938827,.
ESR_TX_rps,p67,2028,0.0298434947938827,.
ESR_VA_ces,p99,2028,0.3768038893472042,0.25
ESR_VA_ces,p100,2028,0.3768038893472042,0.25
ESR_VA_ces,p118,2028,0.3768038893472042,0.25
ESR_VA_ces,p124,2028,0.3768038893472042,0.25
ESR_VA_rps,p99,2028,0.1761548244211442,0.25
ESR_VA_rps,p100,2028,0.1761548244211442,0.25
ESR_VA_rps,p118,2028,0.1761548244211442,0.25
ESR_VA_rps,p124,2028,0.1761548244211442,0.25
ESR_VT_rps,p129,2028,0.7006524169885254,0.8
ESR_WA_ces,p1,2028,0.7494378679481278,0.43
ESR_WA_ces,p2,2028,0.7494378679481278,0.43
ESR_WA_ces,p3,2028,0.7494378679481278,0.43
ESR_WA_ces,p4,2028,0.7494378679481278,0.43
ESR_WA_rps,p1,2028,0.1312738354889925,0.43
ESR_WA_rps,p2,2028,0.1312738354889925,0.43
ESR_WA_rps,p3,2028,0.1312738354889925,0.43
ESR_WA_rps,p4,2028,0.1312738354889925,0.43
ESR_WI_rps,p46,2028,0.1000131029837826,0.41
ESR_WI_rps,p75,2028,0.1000131029837826,0.41
ESR_WI_rps,p76,2028,0.1000131029837826,0.41
ESR_WI_rps,p77,2028,0.1000131029837826,0.41
ESR_WI_rps,p78,2028,0.1000131029837826,0.41
ESR_WI_rps,p79,2028,0.1000131029837826,0.41
ESR_AZ_rps,p27,2030,0.0883171188723898,1
ESR_AZ_rps,p28,2030,0.0883171188723898,1
ESR_AZ_rps,p29,2030,0.0883171188723898,1
ESR_AZ_rps,p30,2030,0.0883171188723898,1
ESR_CA_ces,p8,2030,0.6407064604451216,0.25
ESR_CA_ces,p9,2030,0.6407064604451216,0.25
ESR_CA_ces,p10,2030,0.6407064604451216,0.25
ESR_CA_ces,p11,2030,0.6407064604451216,0.25
ESR_CA_rps,p8,2030,0.5802733110521615,0.25
ESR_CA_rps,p9,2030,0.5802733110521615,0.25
ESR_CA_rps,p10,2030,0.5802733110521615,0.25
ESR_CA_rps,p11,2030,0.5802733110521615,0.25
ESR_CO_ces,p33,2030,0.6349179495644708,0.083
ESR_CO_ces,p34,2030,0.6349179495644708,0.083
ESR_CO_rps,p33,2030,0.1987688450053755,0.083
ESR_CO_rps,p34,2030,0.1987688450053755,0.083
ESR_CT_ces,p132,2030,0.523076923076923,0.59
ESR_CT_rps,p132,2030,0.44,0.59
ESR_DE_rps,p125,2030,0.217043914768211,0.94
ESR_DE_rps_solar,p125,2030,0.039997389382843,0.94
ESR_IA_rps,p45,2030,0.0051462397601057,.
ESR_IA_rps,p69,2030,0.0051462397601057,.
ESR_IA_rps,p70,2030,0.0051462397601057,.
