zone_from,zone_to,PERIOD,trans_directional_cap_mw
p1,p2,2028,8287.031
p2,p1,2028,9392.247
p1,p4,2028,9136.039
p4,p1,2028,14818.612
p2,p3,2028,796.505
p3,p2,2028,202.47
p2,p4,2028,6951.939
p4,p2,2028,10522.277
p2,p5,2028,23673.977
p5,p2,2028,18180.195
p2,p14,2028,2753.315
p14,p2,2028,3320.471
p3,p4,2028,4073.454
p4,p3,2028,4054.573
p3,p5,2028,352
p5,p3,2028,352
p3,p14,2028,477.317
p14,p3,2028,1773.938
p3,p17,2028,1905.3
p17,p3,2028,1905.3
p5,p6,2028,8904.33
p6,p5,2028,7976.305
p5,p7,2028,4138.304
p7,p5,2028,3703.2
p5,p10,2028,2780
p10,p5,2028,2780
p5,p14,2028,573.7
p14,p5,2028,450.843
p5,p15,2028,3800.762
p15,p5,2028,3527.628
p6,p7,2028,3117.7
p7,p6,2028,3117.7
p6,p8,2028,488.117
p8,p6,2028,378.458
p6,p9,2028,4800
p9,p6,2028,4800
p7,p8,2028,24.111
p8,p7,2028,30.662
p7,p15,2028,3938.4
p15,p7,2028,1983.932
p8,p9,2028,300.953
p9,p8,2028,308.981
p9,p10,2028,9328.34
p10,p9,2028,6133.425
p9,p12,2028,297.86
p12,p9,2028,436.768
p10,p11,2028,1998.433
p11,p10,2028,4701.644
p10,p13,2028,8751.271
p13,p10,2028,8049.93
p10,p25,2028,1920
p25,p10,2028,1920
p10,p27,2028,472.535
p27,p10,2028,811
p10,p28,2028,4899.847
p28,p10,2028,4424.758
p12,p13,2028,1195.72
p13,p12,2028,936.728
p12,p15,2028,500
p15,p12,2028,500
p12,p25,2028,894.873
p25,p12,2028,501.65
p13,p15,2028,0
p15,p13,2028,0
p13,p27,2028,732.565
p27,p13,2028,1477.175
p13,p28,2028,4939.872
p28,p13,2028,5757.3
p14,p15,2028,1850.43
p15,p14,2028,2609.012
p14,p17,2028,627.498
p17,p14,2028,822.752
p15,p16,2028,2715.636
p16,p15,2028,2891.905
p15,p17,2028,1810.939
p17,p15,2028,2099.148
p16,p17,2028,253.186
p17,p16,2028,271
p16,p21,2028,2000.056
p21,p16,2028,2612.697
p16,p25,2028,1497.656
p25,p16,2028,1876.703
p17,p18,2028,248.996
p18,p17,2028,483.517
p17,p20,2028,573.579
p20,p17,2028,3200.397
p18,p20,2028,844.379
p20,p18,2028,408.15
p18,p21,2028,414
p21,p18,2028,231.279
p18,p22,2028,402
p22,p18,2028,402
p18,p23,2028,0
p23,p18,2028,17.04
p20,p35,2028,200
p35,p20,2028,200
p21,p24,2028,2218.432
p24,p21,2028,3545.316
p21,p25,2028,345.109
p25,p21,2028,325.541
p21,p26,2028,587.302
p26,p21,2028,580.51
p22,p23,2028,599.02
p23,p22,2028,813.609
p22,p24,2028,402
p24,p22,2028,310.391
p23,p24,2028,939
p24,p23,2028,939
p23,p32,2028,911.352
p32,p23,2028,542.78
p24,p33,2028,5506.697
p33,p24,2028,3297.451
p24,p39,2028,310
p39,p24,2028,310
p25,p26,2028,634.935
p26,p25,2028,695.224
p25,p28,2028,144.702
p28,p25,2028,181.29
p25,p31,2028,700
p31,p25,2028,614.357
p25,p33,2028,2189.623
p33,p25,2028,2247.495
p26,p33,2028,232.06
p33,p26,2028,105.452
p27,p28,2028,641.178
p28,p27,2028,383.368
p28,p29,2028,928.135
p29,p28,2028,2010.057
p28,p30,2028,797.852
p30,p28,2028,1639.965
p28,p31,2028,2251.442
p31,p28,2028,4080.2
p29,p30,2028,445.307
p30,p29,2028,1176.046
p29,p31,2028,1811.38
p31,p29,2028,1222.739
p31,p34,2028,1657.636
p34,p31,2028,1176.285
p31,p47,2028,200
p47,p31,2028,200
p31,p48,2028,200
p48,p31,2028,200
p31,p59,2028,1025
p59,p31,2028,835.332
p32,p38,2028,200
p38,p32,2028,200
p33,p34,2028,2324.652
p34,p33,2028,4320.285
p34,p52,2028,210
p52,p34,2028,210
p35,p36,2028,508.11
p36,p35,2028,189.155
p36,p37,2028,2832.693
p37,p36,2028,1874.624
p36,p38,2028,3694.892
