TRANSMISSION_LINE,trans_new_build_derate_factor
2-14,0.85
3-14,0.85
3-17,0.85
5-10,0.85
5-14,0.85
5-15,0.85
6-8,0.85
6-9,0.85
7-8,0.85
7-15,0.85
8-9,0.85
9-12,0.85
10-13,0.85
10-25,0.85
10-27,0.85
10-28,0.85
12-15,0.85
13-15,0.85
13-27,0.85
13-28,0.85
16-25,0.85
18-23,0.85
20-35,0.85
21-24,0.85
21-25,0.85
21-26,0.85
22-23,0.85
22-24,0.85
24-39,0.85
25-28,0.85
25-31,0.85
25-33,0.85
26-33,0.85
31-34,0.85
31-47,0.85
31-48,0.85
32-38,0.85
34-52,0.85
36-37,0.85
37-38,0.85
38-43,0.85
38-44,0.85
38-45,0.85
40-45,0.85
40-52,0.85
40-53,0.85
41-45,0.85
41-53,0.85
41-54,0.85
45-54,0.85
50-60,0.85
50-85,0.85
54-70,0.85
54-71,0.85
54-72,0.85
55-72,0.85
55-84,0.85
56-85,0.85
57-58,0.85
57-63,0.85
57-66,0.85
57-85,0.85
70-71,0.85
70-80,0.85
70-81,0.85
74-103,0.85
77-80,0.85
78-80,0.85
79-80,0.85
80-81,0.85
80-82,0.85
80-83,0.85
80-105,0.85
81-93,0.85
84-85,0.85
84-92,0.85
85-92,0.85
87-88,0.85
87-89,0.85
87-90,0.85
87-92,0.85
91-101,0.85
92-108,0.85
92-109,0.85
92-118,0.85
93-108,0.85
93-109,0.85
94-101,0.85
97-99,0.85
97-118,0.85
98-99,0.85
103-104,0.85
103-111,0.85
104-105,0.85
105-112,0.85
107-109,0.85
107-112,0.85
107-114,0.85
108-109,0.85
122-127,0.85
126-127,0.85
127-129,0.85
127-131,0.85
127-132,0.85
63-87,0.85
24-25,0.85
39-52,0.85
38-68,0.85
