TRANSMISSION_LINE,PERIOD,trans_path_expansion_limit_mw
1-2,2028,0
1-4,2028,0
2-3,2028,0
2-4,2028,0
2-5,2028,0
2-14,2028,0
3-4,2028,0
3-5,2028,0
3-14,2028,0
3-17,2028,0
5-14,2028,0
5-15,2028,0
6-7,2028,0
6-8,2028,0
7-8,2028,0
7-15,2028,0
9-10,2028,0
10-11,2028,0
12-25,2028,0
13-15,2028,0
14-15,2028,0
14-17,2028,0
15-17,2028,0
16-17,2028,0
17-18,2028,0
17-20,2028,0
18-20,2028,0
18-21,2028,0
18-22,2028,0
21-25,2028,0
21-26,2028,0
23-24,2028,0
23-32,2028,0
24-33,2028,0
25-26,2028,0
27-28,2028,0
28-29,2028,0
28-30,2028,0
28-31,2028,0
29-30,2028,0
29-31,2028,0
31-34,2028,0
31-59,2028,0
33-34,2028,0
35-36,2028,0
37-42,2028,0
38-39,2028,0
38-40,2028,0
39-40,2028,0
40-41,2028,0
40-52,2028,0
40-53,2028,0
41-54,2028,0
42-43,2028,0
43-44,2028,0
43-46,2028,0
44-45,2028,0
45-68,2028,0
45-69,2028,0
46-74,2028,0
46-75,2028,0
46-77,2028,0
46-78,2028,0
48-49,2028,0
49-52,2028,0
49-53,2028,0
50-51,2028,0
50-53,2028,0
50-57,2028,0
51-53,2028,0
52-53,2028,0
53-55,2028,0
54-55,2028,0
55-56,2028,0
56-57,2028,0
58-66,2028,0
58-85,2028,0
58-86,2028,0
58-87,2028,0
61-62,2028,0
61-63,2028,0
61-64,2028,0
63-64,2028,0
64-65,2028,0
64-67,2028,0
65-67,2028,0
66-86,2028,0
68-69,2028,0
68-77,2028,0
69-70,2028,0
69-77,2028,0
70-77,2028,0
72-73,2028,0
72-84,2028,0
73-84,2028,0
74-103,2028,0
75-76,2028,0
75-79,2028,0
76-77,2028,0
76-78,2028,0
77-78,2028,0
78-79,2028,0
81-108,2028,0
82-83,2028,0
83-105,2028,0
84-85,2028,0
85-86,2028,0
85-87,2028,0
86-87,2028,0
88-89,2028,0
88-92,2028,0
89-90,2028,0
89-92,2028,0
89-94,2028,0
90-91,2028,0
91-94,2028,0
92-93,2028,0
92-94,2028,0
92-97,2028,0
94-95,2028,0
94-96,2028,0
94-97,2028,0
95-96,2028,0
95-97,2028,0
95-98,2028,0
96-98,2028,0
97-98,2028,0
99-116,2028,0
99-123,2028,0
100-116,2028,0
101-102,2028,0
103-105,2028,0
105-106,2028,0
105-107,2028,0
106-107,2028,0
109-110,2028,0
109-112,2028,0
109-113,2028,0
109-114,2028,0
109-118,2028,0
110-112,2028,0
110-117,2028,0
110-118,2028,0
111-112,2028,0
111-115,2028,0
111-116,2028,0
111-122,2028,0
112-113,2028,0
112-114,2028,0
112-115,2028,0
112-116,2028,0
112-117,2028,0
112-118,2028,0
113-114,2028,0
115-116,2028,0
115-122,2028,0
116-117,2028,0
116-118,2028,0
116-120,2028,0
116-121,2028,0
117-118,2028,0
119-122,2028,0
120-121,2028,0
120-122,2028,0
121-123,2028,0
122-125,2028,0
122-126,2028,0
123-124,2028,0
123-125,2028,0
125-126,2028,0
129-130,2028,0
129-131,2028,0
130-131,2028,0
130-134,2028,0
131-132,2028,0
131-133,2028,0
132-133,2028,0
1-2,2030,0
1-4,2030,0
2-3,2030,0
2-4,2030,0
2-5,2030,0
2-14,2030,0
3-4,2030,0
3-5,2030,0
3-14,2030,0
3-17,2030,0
5-14,2030,0
5-15,2030,0
6-7,2030,0
6-8,2030,0
7-8,2030,0
7-15,2030,0
9-10,2030,0
10-11,2030,0
12-25,2030,0
13-15,2030,0
14-15,2030,0
14-17,2030,0
15-17,2030,0
16-17,2030,0
17-18,2030,0
17-20,2030,0
18-20,2030,0
18-21,2030,0
18-22,2030,0
21-25,2030,0
21-26,2030,0
23-24,2030,0
23-32,2030,0
24-33,2030,0
25-26,2030,0
27-28,2030,0
28-29,2030,0
28-30,2030,0
28-31,2030,0
29-30,2030,0
29-31,2030,0
31-34,2030,0
31-59,2030,0
33-34,2030,0
35-36,2030,0
37-42,2030,0
38-39,2030,0
38-40,2030,0
39-40,2030,0
40-41,2030,0
40-52,2030,0
40-53,2030,0
41-54,2030,0
42-43,2030,0
43-44,2030,0
43-46,2030,0
44-45,2030,0
45-68,2030,0
45-69,2030,0
46-74,2030,0
46-75,2030,0
46-77,2030,0
46-78,2030,0
48-49,2030,0
49-52,2030,0
49-53,2030,0
50-51,2030,0
50-53,2030,0
50-57,2030,0
51-53,2030,0
52-53,2030,0
53-55,2030,0
54-55,2030,0
55-56,2030,0
56-57,2030,0
58-66,2030,0
58-85,2030,0
58-86,2030,0
58-87,2030,0
61-62,2030,0
61-63,2030,0
61-64,2030,0
63-64,2030,0
64-65,2030,0
64-67,2030,0
65-67,2030,0
66-86,2030,0
68-69,2030,0
68-77,2030,0
69-70,2030,0
69-77,2030,0
70-77,2030,0
72-73,2030,0
72-84,2030,0
73-84,2030,0
74-103,2030,0
75-76,2030,0
75-79,2030,0
76-77,2030,0
76-78,2030,0
77-78,2030,0
78-79,2030,0
81-108,2030,0
82-83,2030,0
83-105,2030,0
84-85,2030,0
85-86,2030,0
85-87,2030,0
86-87,2030,0
88-89,2030,0
88-92,2030,0
89-90,2030,0
89-92,2030,0
89-94,2030,0
90-91,2030,0
91-94,2030,0
92-93,2030,0
92-94,2030,0
92-97,2030,0
94-95,2030,0
94-96,2030,0
94-97,2030,0
95-96,2030,0
95-97,2030,0
95-98,2030,0
96-98,2030,0
97-98,2030,0
99-116,2030,0
99-123,2030,0
100-116,2030,0
101-102,2030,0
103-105,2030,0
105-106,2030,0
105-107,2030,0
106-107,2030,0
109-110,2030,0
109-112,2030,0
109-113,2030,0
109-114,2030,0
109-118,2030,0
110-112,2030,0
110-117,2030,0
110-118,2030,0
111-112,2030,0
111-115,2030,0
111-116,2030,0
111-122,2030,0
112-113,2030,0
112-114,2030,0
112-115,2030,0
112-116,2030,0
112-117,2030,0
112-118,2030,0
113-114,2030,0
115-116,2030,0
115-122,2030,0
116-117,2030,0
116-118,2030,0
116-120,2030,0
116-121,2030,0
117-118,2030,0
119-122,2030,0
120-121,2030,0
120-122,2030,0
121-123,2030,0
122-125,2030,0
122-126,2030,0
123-124,2030,0
123-125,2030,0
125-126,2030,0
129-130,2030,0
129-131,2030,0
130-131,2030,0
130-134,2030,0
131-132,2030,0
131-133,2030,0
132-133,2030,0
1-2,2035,0
1-4,2035,0
2-3,2035,0
2-4,2035,0
2-5,2035,0
2-14,2035,0
3-4,2035,0
3-5,2035,0
3-14,2035,0
3-17,2035,0
5-14,2035,0
5-15,2035,0
6-7,2035,0
6-8,2035,0
7-8,2035,0
7-15,2035,0
9-10,2035,0
10-11,2035,0
12-25,2035,0
13-15,2035,0
14-15,2035,0
14-17,2035,0
15-17,2035,0
16-17,2035,0
17-18,2035,0
17-20,2035,0
18-20,2035,0
18-21,2035,0
18-22,2035,0
21-25,2035,0
21-26,2035,0
23-24,2035,0
23-32,2035,0
24-33,2035,0
25-26,2035,0
27-28,2035,0
28-29,2035,0
28-30,2035,0
28-31,2035,0
29-30,2035,0
29-31,2035,0
31-34,2035,0
31-59,2035,0
33-34,2035,0
35-36,2035,0
37-42,2035,0
38-39,2035,0
38-40,2035,0
39-40,2035,0
40-41,2035,0
40-52,2035,0
40-53,2035,0
41-54,2035,0
42-43,2035,0
43-44,2035,0
43-46,2035,0
44-45,2035,0
45-68,2035,0
45-69,2035,0
46-74,2035,0
46-75,2035,0
46-77,2035,0
46-78,2035,0
48-49,2035,0
49-52,2035,0
49-53,2035,0
50-51,2035,0
50-53,2035,0
50-57,2035,0
51-53,2035,0
52-53,2035,0
53-55,2035,0
54-55,2035,0
55-56,2035,0
56-57,2035,0
58-66,2035,0
58-85,2035,0
58-86,2035,0
58-87,2035,0
61-62,2035,0
61-63,2035,0
61-64,2035,0
63-64,2035,0
64-65,2035,0
64-67,2035,0
65-67,2035,0
66-86,2035,0
68-69,2035,0
68-77,2035,0
69-70,2035,0
69-77,2035,0
70-77,2035,0
72-73,2035,0
72-84,2035,0
73-84,2035,0
74-103,2035,0
75-76,2035,0
75-79,2035,0
76-77,2035,0
76-78,2035,0
77-78,2035,0
78-79,2035,0
81-108,2035,0
82-83,2035,0
83-105,2035,0
84-85,2035,0
85-86,2035,0
85-87,2035,0
86-87,2035,0
88-89,2035,0
88-92,2035,0
89-90,2035,0
89-92,2035,0
89-94,2035,0
90-91,2035,0
91-94,2035,0
92-93,2035,0
92-94,2035,0
92-97,2035,0
