WATER_CONNECTIONS,water_node_from,water_node_to,wc_capacity
p1_conventional_hydroelectric_1,p1_conventional_hydroelectric_1_inlet,p1_conventional_hydroelectric_1_outlet,.
p10_conventional_hydroelectric_1,p10_conventional_hydroelectric_1_inlet,p10_conventional_hydroelectric_1_outlet,.
p101_conventional_hydroelectric_1,p101_conventional_hydroelectric_1_inlet,p101_conventional_hydroelectric_1_outlet,.
p103_conventional_hydroelectric_1,p103_conventional_hydroelectric_1_inlet,p103_conventional_hydroelectric_1_outlet,.
p105_conventional_hydroelectric_1,p105_conventional_hydroelectric_1_inlet,p105_conventional_hydroelectric_1_outlet,.
p107_conventional_hydroelectric_1,p107_conventional_hydroelectric_1_inlet,p107_conventional_hydroelectric_1_outlet,.
p109_conventional_hydroelectric_1,p109_conventional_hydroelectric_1_inlet,p109_conventional_hydroelectric_1_outlet,.
p11_conventional_hydroelectric_1,p11_conventional_hydroelectric_1_inlet,p11_conventional_hydroelectric_1_outlet,.
p110_conventional_hydroelectric_1,p110_conventional_hydroelectric_1_inlet,p110_conventional_hydroelectric_1_outlet,.
p112_conventional_hydroelectric_1,p112_conventional_hydroelectric_1_inlet,p112_conventional_hydroelectric_1_outlet,.
p115_conventional_hydroelectric_1,p115_conventional_hydroelectric_1_inlet,p115_conventional_hydroelectric_1_outlet,.
p116_conventional_hydroelectric_1,p116_conventional_hydroelectric_1_inlet,p116_conventional_hydroelectric_1_outlet,.
p117_conventional_hydroelectric_1,p117_conventional_hydroelectric_1_inlet,p117_conventional_hydroelectric_1_outlet,.
p118_conventional_hydroelectric_1,p118_conventional_hydroelectric_1_inlet,p118_conventional_hydroelectric_1_outlet,.
p122_conventional_hydroelectric_1,p122_conventional_hydroelectric_1_inlet,p122_conventional_hydroelectric_1_outlet,.
p123_conventional_hydroelectric_1,p123_conventional_hydroelectric_1_inlet,p123_conventional_hydroelectric_1_outlet,.
p127_conventional_hydroelectric_1,p127_conventional_hydroelectric_1_inlet,p127_conventional_hydroelectric_1_outlet,.
p129_conventional_hydroelectric_1,p129_conventional_hydroelectric_1_inlet,p129_conventional_hydroelectric_1_outlet,.
p13_conventional_hydroelectric_1,p13_conventional_hydroelectric_1_inlet,p13_conventional_hydroelectric_1_outlet,.
p130_conventional_hydroelectric_1,p130_conventional_hydroelectric_1_inlet,p130_conventional_hydroelectric_1_outlet,.
p131_conventional_hydroelectric_1,p131_conventional_hydroelectric_1_inlet,p131_conventional_hydroelectric_1_outlet,.
p132_conventional_hydroelectric_1,p132_conventional_hydroelectric_1_inlet,p132_conventional_hydroelectric_1_outlet,.
p134_conventional_hydroelectric_1,p134_conventional_hydroelectric_1_inlet,p134_conventional_hydroelectric_1_outlet,.
p14_conventional_hydroelectric_1,p14_conventional_hydroelectric_1_inlet,p14_conventional_hydroelectric_1_outlet,.
p15_conventional_hydroelectric_1,p15_conventional_hydroelectric_1_inlet,p15_conventional_hydroelectric_1_outlet,.
p16_conventional_hydroelectric_1,p16_conventional_hydroelectric_1_inlet,p16_conventional_hydroelectric_1_outlet,.
p17_conventional_hydroelectric_1,p17_conventional_hydroelectric_1_inlet,p17_conventional_hydroelectric_1_outlet,.
p18_conventional_hydroelectric_1,p18_conventional_hydroelectric_1_inlet,p18_conventional_hydroelectric_1_outlet,.
p19_conventional_hydroelectric_1,p19_conventional_hydroelectric_1_inlet,p19_conventional_hydroelectric_1_outlet,.
p2_conventional_hydroelectric_1,p2_conventional_hydroelectric_1_inlet,p2_conventional_hydroelectric_1_outlet,.
p24_conventional_hydroelectric_1,p24_conventional_hydroelectric_1_inlet,p24_conventional_hydroelectric_1_outlet,.
p26_conventional_hydroelectric_1,p26_conventional_hydroelectric_1_inlet,p26_conventional_hydroelectric_1_outlet,.
p27_conventional_hydroelectric_1,p27_conventional_hydroelectric_1_inlet,p27_conventional_hydroelectric_1_outlet,.
p28_conventional_hydroelectric_1,p28_conventional_hydroelectric_1_inlet,p28_conventional_hydroelectric_1_outlet,.
p3_conventional_hydroelectric_1,p3_conventional_hydroelectric_1_inlet,p3_conventional_hydroelectric_1_outlet,.
p33_conventional_hydroelectric_1,p33_conventional_hydroelectric_1_inlet,p33_conventional_hydroelectric_1_outlet,.
p34_conventional_hydroelectric_1,p34_conventional_hydroelectric_1_inlet,p34_conventional_hydroelectric_1_outlet,.
p36_conventional_hydroelectric_1,p36_conventional_hydroelectric_1_inlet,p36_conventional_hydroelectric_1_outlet,.
p38_conventional_hydroelectric_1,p38_conventional_hydroelectric_1_inlet,p38_conventional_hydroelectric_1_outlet,.
p39_conventional_hydroelectric_1,p39_conventional_hydroelectric_1_inlet,p39_conventional_hydroelectric_1_outlet,.
p4_conventional_hydroelectric_1,p4_conventional_hydroelectric_1_inlet,p4_conventional_hydroelectric_1_outlet,.
p40_conventional_hydroelectric_1,p40_conventional_hydroelectric_1_inlet,p40_conventional_hydroelectric_1_outlet,.
p42_conventional_hydroelectric_1,p42_conventional_hydroelectric_1_inlet,p42_conventional_hydroelectric_1_outlet,.
p43_conventional_hydroelectric_1,p43_conventional_hydroelectric_1_inlet,p43_conventional_hydroelectric_1_outlet,.
p5_conventional_hydroelectric_1,p5_conventional_hydroelectric_1_inlet,p5_conventional_hydroelectric_1_outlet,.
p50_conventional_hydroelectric_1,p50_conventional_hydroelectric_1_inlet,p50_conventional_hydroelectric_1_outlet,.
p51_conventional_hydroelectric_1,p51_conventional_hydroelectric_1_inlet,p51_conventional_hydroelectric_1_outlet,.
p55_conventional_hydroelectric_1,p55_conventional_hydroelectric_1_inlet,p55_conventional_hydroelectric_1_outlet,.
p56_conventional_hydroelectric_1,p56_conventional_hydroelectric_1_inlet,p56_conventional_hydroelectric_1_outlet,.
p58_conventional_hydroelectric_1,p58_conventional_hydroelectric_1_inlet,p58_conventional_hydroelectric_1_outlet,.
p6_conventional_hydroelectric_1,p6_conventional_hydroelectric_1_inlet,p6_conventional_hydroelectric_1_outlet,.
p61_conventional_hydroelectric_1,p61_conventional_hydroelectric_1_inlet,p61_conventional_hydroelectric_1_outlet,.
p63_conventional_hydroelectric_1,p63_conventional_hydroelectric_1_inlet,p63_conventional_hydroelectric_1_outlet,.
p64_conventional_hydroelectric_1,p64_conventional_hydroelectric_1_inlet,p64_conventional_hydroelectric_1_outlet,.
p65_conventional_hydroelectric_1,p65_conventional_hydroelectric_1_inlet,p65_conventional_hydroelectric_1_outlet,.
p66_conventional_hydroelectric_1,p66_conventional_hydroelectric_1_inlet,p66_conventional_hydroelectric_1_outlet,.
p7_conventional_hydroelectric_1,p7_conventional_hydroelectric_1_inlet,p7_conventional_hydroelectric_1_outlet,.
p70_conventional_hydroelectric_1,p70_conventional_hydroelectric_1_inlet,p70_conventional_hydroelectric_1_outlet,.
p72_conventional_hydroelectric_1,p72_conventional_hydroelectric_1_inlet,p72_conventional_hydroelectric_1_outlet,.
p76_conventional_hydroelectric_1,p76_conventional_hydroelectric_1_inlet,p76_conventional_hydroelectric_1_outlet,.
p77_conventional_hydroelectric_1,p77_conventional_hydroelectric_1_inlet,p77_conventional_hydroelectric_1_outlet,.
p80_conventional_hydroelectric_1,p80_conventional_hydroelectric_1_inlet,p80_conventional_hydroelectric_1_outlet,.
p85_conventional_hydroelectric_1,p85_conventional_hydroelectric_1_inlet,p85_conventional_hydroelectric_1_outlet,.
p89_conventional_hydroelectric_1,p89_conventional_hydroelectric_1_inlet,p89_conventional_hydroelectric_1_outlet,.
p9_conventional_hydroelectric_1,p9_conventional_hydroelectric_1_inlet,p9_conventional_hydroelectric_1_outlet,.
p90_conventional_hydroelectric_1,p90_conventional_hydroelectric_1_inlet,p90_conventional_hydroelectric_1_outlet,.
p92_conventional_hydroelectric_1,p92_conventional_hydroelectric_1_inlet,p92_conventional_hydroelectric_1_outlet,.
p93_conventional_hydroelectric_1,p93_conventional_hydroelectric_1_inlet,p93_conventional_hydroelectric_1_outlet,.
p94_conventional_hydroelectric_1,p94_conventional_hydroelectric_1_inlet,p94_conventional_hydroelectric_1_outlet,.
p95_conventional_hydroelectric_1,p95_conventional_hydroelectric_1_inlet,p95_conventional_hydroelectric_1_outlet,.
p96_conventional_hydroelectric_1,p96_conventional_hydroelectric_1_inlet,p96_conventional_hydroelectric_1_outlet,.
p97_conventional_hydroelectric_1,p97_conventional_hydroelectric_1_inlet,p97_conventional_hydroelectric_1_outlet,.
p98_conventional_hydroelectric_1,p98_conventional_hydroelectric_1_inlet,p98_conventional_hydroelectric_1_outlet,.
p99_conventional_hydroelectric_1,p99_conventional_hydroelectric_1_inlet,p99_conventional_hydroelectric_1_outlet,.
