WATER_NODES,wn_is_sink,wnode_constant_consumption,wnode_constant_inflow
p1_conventional_hydroelectric_1_inlet,0,0,0
p10_conventional_hydroelectric_1_inlet,0,0,0
p101_conventional_hydroelectric_1_inlet,0,0,0
p103_conventional_hydroelectric_1_inlet,0,0,0
p105_conventional_hydroelectric_1_inlet,0,0,0
p107_conventional_hydroelectric_1_inlet,0,0,0
p109_conventional_hydroelectric_1_inlet,0,0,0
p11_conventional_hydroelectric_1_inlet,0,0,0
p110_conventional_hydroelectric_1_inlet,0,0,0
p112_conventional_hydroelectric_1_inlet,0,0,0
p115_conventional_hydroelectric_1_inlet,0,0,0
p116_conventional_hydroelectric_1_inlet,0,0,0
p117_conventional_hydroelectric_1_inlet,0,0,0
p118_conventional_hydroelectric_1_inlet,0,0,0
p122_conventional_hydroelectric_1_inlet,0,0,0
p123_conventional_hydroelectric_1_inlet,0,0,0
p127_conventional_hydroelectric_1_inlet,0,0,0
p129_conventional_hydroelectric_1_inlet,0,0,0
p13_conventional_hydroelectric_1_inlet,0,0,0
p130_conventional_hydroelectric_1_inlet,0,0,0
p131_conventional_hydroelectric_1_inlet,0,0,0
p132_conventional_hydroelectric_1_inlet,0,0,0
p134_conventional_hydroelectric_1_inlet,0,0,0
p14_conventional_hydroelectric_1_inlet,0,0,0
p15_conventional_hydroelectric_1_inlet,0,0,0
p16_conventional_hydroelectric_1_inlet,0,0,0
p17_conventional_hydroelectric_1_inlet,0,0,0
p18_conventional_hydroelectric_1_inlet,0,0,0
p19_conventional_hydroelectric_1_inlet,0,0,0
p2_conventional_hydroelectric_1_inlet,0,0,0
p24_conventional_hydroelectric_1_inlet,0,0,0
p26_conventional_hydroelectric_1_inlet,0,0,0
p27_conventional_hydroelectric_1_inlet,0,0,0
p28_conventional_hydroelectric_1_inlet,0,0,0
p3_conventional_hydroelectric_1_inlet,0,0,0
p33_conventional_hydroelectric_1_inlet,0,0,0
p34_conventional_hydroelectric_1_inlet,0,0,0
p36_conventional_hydroelectric_1_inlet,0,0,0
p38_conventional_hydroelectric_1_inlet,0,0,0
