from_zone,to_zone,from_transreg,to_transreg,transreg,line_type,region,project_name,existing_cap_mw,new_cap_mw,new_cap_year,total_cap_mw,trans_length_km,trans_efficiency
p1,p2,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,9000.0,,,9000.0,253.2022801,0.980923616
p1,p4,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,9804.0,,,9804.0,255.4560303,0.980781449
p10,p12,CAISO,NorthernGrid,CAISO / NorthernGrid,Existing,Cross-Region,,7.9,,,7.9,333.7771906,0.966393045
p10,p13,CAISO,NorthernGrid,CAISO / NorthernGrid,Existing,Cross-Region,,2283.0,,,2283.0,398.9459106,0.968773396
p10,p25,CAISO,NorthernGrid,CAISO / NorthernGrid,Existing,Cross-Region,,1920.0,,,1920.0,1051.154459,0.937648507
p10,p27,CAISO,WestConnect,CAISO / WestConnect,Existing,Cross-Region,,1746.0,,,1746.0,431.4690748,0.966396796
p10,p28,CAISO,WestConnect,CAISO / WestConnect,Existing,Cross-Region,New Delaney-Colorado River 500 kV line,1204.4,2500.0,2024.0,3704.4,531.2811934,0.967521078
p100,p116,PJM,PJM,PJM,Existing,PJM,,1319.0,,,1319.0,189.7223341,0.93388614
p101,p102,FRCC,FRCC,FRCC,Existing,FRCC,,12071.6,,,12071.6,418.7453669,0.956837572
p103,p104,MISO,PJM,MISO / PJM,Existing,Cross-Region,,1134.6,,,1134.6,259.395176,0.958401605
p103,p111,MISO,PJM,MISO / PJM,Existing,Cross-Region,,391.0,,,391.0,449.890345,0.961490122
p103,p105,MISO,MISO,MISO,Existing,MISO,,378.4,,,378.4,447.8510745,0.961599438
p104,p105,PJM,MISO,PJM / MISO,Existing,Cross-Region,LRTP-17: Hiple Duck Lake,2076.9,1792.0,2030.0,3868.9,153.6156063,0.946632992
p105,p112,MISO,PJM,MISO / PJM,Existing,Cross-Region,LRTP-33: Greentown - Sorenson - Lulu,3978.8,5500.0,2035.0,9478.8,257.2584924,0.98078336
p105,p106,MISO,MISO,MISO,Existing,MISO,,2323.2,,,2323.2,125.2693942,0.956540946
p105,p107,MISO,MISO,MISO,Existing,MISO,,8378.5,,,8378.5,484.1406128,0.972301484
p106,p107,MISO,MISO,MISO,Existing,MISO,,4428.5,,,4428.5,276.602335,0.979279646
p107,p109,MISO,PJM,MISO / PJM,Existing,Cross-Region,,96.9,,,96.9,281.1822319,0.978919981
p107,p112,MISO,PJM,MISO / PJM,Existing,Cross-Region,n5034,1719.7,3200.0,2028.0,4919.7,545.7219651,0.968761652
p107,p114,MISO,PJM,MISO / PJM,Existing,Cross-Region,,1364.9,,,1364.9,386.0199481,0.971032589
p107,p108,MISO,MISO,MISO,Existing,MISO,LRTP-35: Southwest Indiana-Kentucky,24.3,1792.0,2035.0,1816.3,75.15300903,0.973839373
p108,p109,MISO,PJM,MISO / PJM,Existing,Cross-Region,,672.3,,,672.3,113.1989434,0.960535412
p109,p110,PJM,PJM,PJM,Existing,PJM,,82.4,,,82.4,315.9307766,0.976263116
p109,p112,PJM,PJM,PJM,Existing,PJM,,45.8,,,45.8,294.8481941,0.977895807
p109,p113,PJM,PJM,PJM,Existing,PJM,,0.0,,,0.0,254.8964635,0.980923295
p109,p114,PJM,PJM,PJM,Existing,PJM,,137.6,,,137.6,293.778925,0.977937285
p109,p118,PJM,PJM,PJM,Existing,PJM,,22.8,,,22.8,620.5230152,0.964282754
p110,p112,PJM,PJM,PJM,Existing,PJM,,83.2,,,83.2,323.0170423,0.975763709
